stratum,rank,stem,sample,frame,diff,laplacian_var,pixel_entropy,exg_sep,green_ratio,dyn_range,is_h1_failure
hard,1,ChangShouHua2_0050,ChangShouHua2,0050,0.734543694591955,365.21673583984375,0.9580825594245096,35.84372329711914,0.11463146314631463,0.30551996132150416,False
hard,2,ChangShouHua2_0100,ChangShouHua2,0100,0.6999109075238349,398.41888427734375,0.9625013990643634,59.50475311279297,0.4483009412052316,0.251569488519976,True
hard,3,ChangShouHua2_0000,ChangShouHua2,0000,0.6950867646099362,466.34625244140625,0.9623456760729876,59.93479537963867,0.5034959051460701,0.2812441930053228,False
hard,4,DouBanLv1_0050,DouBanLv1,0050,0.668366955619423,298.1864318847656,0.9208742767277706,48.70207977294922,0.11895856252291896,0.2664847932467993,False
hard,5,DouBanLv1_0000,DouBanLv1,0000,0.6282207788668794,376.304931640625,0.9292566493544813,79.51620483398438,0.5003544798924336,0.24158267818611556,True
hard,6,CaoMei1_0000,CaoMei1,0000,0.6169703529402906,289.7370300292969,0.9396036664176244,107.08665466308594,0.4919264148637086,0.22314602393081423,False
hard,7,KongQueZhuYu_0075,KongQueZhuYu,0075,0.6136521835875024,377.0655822753906,0.9598556965556508,74.69881439208984,0.3990649064906491,0.24544697359293852,False
mid,8,CaoMei1_0100,CaoMei1,0100,0.61220007403911,377.9783630371094,0.9433508149109263,93.33472442626953,0.46563989732306565,0.2281668219938862,True
mid,9,CaoMei1_0075,CaoMei1,0075,0.5403671117559353,263.7504577636719,0.9581038177839635,90.9746322631836,0.4023835716905024,0.2780153595552945,False
mid,10,ChangShouHua2_0025,ChangShouHua2,0025,0.5356833056243865,341.43621826171875,0.9491666209656868,77.57400512695312,0.3604204864930938,0.2512104055298581,False
mid,11,ChangShouHua2_0075,ChangShouHua2,0075,0.535050045517397,158.20651245117188,0.9416867186734902,54.62871551513672,0.3058428065028725,0.2728202170306165,False
mid,12,XianKeLai1_0000,XianKeLai1,0000,0.5338726334622385,470.3389892578125,0.8919359719727632,79.11799621582031,0.4257059039237257,0.17588635691681814,False
mid,13,DouBanLv1_0100,DouBanLv1,0100,0.5331314582664576,157.7736053466797,0.9006390603626017,72.77938842773438,0.41345801246791347,0.23718565141547432,False
mid,14,DouBanLv1_0025,DouBanLv1,0025,0.5308005209195906,305.3707275390625,0.9566393987500003,95.39754486083984,0.4295685124067962,0.2861483742488664,False
easy,15,KongQueZhuYu_0050,KongQueZhuYu,0050,0.5276975475791036,624.67041015625,0.9662982968580209,60.384193420410156,0.2682190441266349,0.2719669605905669,False
easy,16,DouBanLv1_0075,DouBanLv1,0075,0.5160804430996198,328.3258056640625,0.9452189053385565,71.9366455078125,0.21438699425498106,0.2978913378625891,False
easy,17,KongQueZhuYu_0025,KongQueZhuYu,0025,0.5057302403372378,948.1539306640625,0.955681257471021,53.36602020263672,0.36006600660066007,0.24333992008048191,False
easy,18,KongQueZhuYu_0100,KongQueZhuYu,0100,0.49085275988306576,923.85791015625,0.952659613123528,55.57726287841797,0.36331744285539663,0.2491747621832549,False
easy,19,KongQueZhuYu_0000,KongQueZhuYu,0000,0.47844110871408835,1114.6190185546875,0.9508962067920359,82.00782775878906,0.4335594670578169,0.22732015643525588,False
easy,20,CaoMei1_0050,CaoMei1,0050,0.47620821916417055,201.28440856933594,0.9200054194411025,61.907588958740234,0.300323921281017,0.257839029828922,False
easy,21,CaoMei1_0025,CaoMei1,0025,0.42954731098846416,270.690185546875,0.9348771555809753,107.50334167480469,0.39619850873976287,0.27439016452237425,False
