rank,sample,frame,diff,laplacian_var,pixel_entropy,exg_sep,green_ratio,dyn_range,c_laplacian,c_entropy,c_exg_sep,c_green_ratio,c_dyn_range,path
1,XiangPiShu2,0052.jpg,0.7746238132223333,287.7508239746094,0.9650488363020864,25.487035751342773,0.040661288351057326,0.2623722043770985,0.7638503422225384,0.9570125391447037,0.9262809857793848,1.0,0.22597519896503893,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/XiangPiShu2/0052.jpg
2,XiangPiShu1,0180.jpg,0.7592480823665868,217.4962921142578,0.9481349086986475,20.781539916992188,0.10522552255225523,0.2517005621695831,0.8309829988829367,0.8795673315190246,0.9742307811317064,0.8340989218942624,0.2773603784050035,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/XiangPiShu1/0180.jpg
3,XiangPiShu1,0103.jpg,0.7457327392814476,344.5425720214844,0.9567254242632499,19.52942657470703,0.04881432587703215,0.28144455532132895,0.7095822285248604,0.9189014399006282,0.9869900270505312,0.9790503560968332,0.13413964483438479,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/XiangPiShu1/0103.jpg
4,XiangPiShu2,0223.jpg,0.7447310018687568,100.14542388916016,0.9254528666736153,18.252708435058594,0.2726011490037893,0.18452759869124838,0.9431191890580384,0.7757111784605326,1.0,0.4040187510305999,0.6008058907946131,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/XiangPiShu2/0223.jpg
5,XiangPiShu1,0034.jpg,0.7380206617311718,318.2520751953125,0.9676128448502177,26.33013343811035,0.06845740129568513,0.2801485390807259,0.7347044640607966,0.9687525784200093,0.9176896783028369,0.928576476408094,0.140380111464122,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/XiangPiShu1/0034.jpg
6,XiangPiShu1,0223.jpg,0.7317981531021069,92.40786743164062,0.9564983499209838,41.47323226928711,0.14768365725461435,0.24653428461563937,0.9505129145202709,0.9178617157161824,0.763378949844798,0.7250005889142777,0.3022365965150057,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/XiangPiShu1/0223.jpg
7,WanNianQing1,0223.jpg,0.7305949267825032,68.1668701171875,0.9306078367426571,62.75956344604492,0.8190074563011857,0.24003828203500208,0.9736767234123664,0.7993146688302052,0.5464676487495446,1.0,0.3335155929203991,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/WanNianQing1/0223.jpg
8,XiangPiShu1,0112.jpg,0.7282609772781848,349.6100158691406,0.962410397338671,25.388525009155273,0.06579269038014912,0.2825275691604526,0.7047399648450345,0.9449316991340225,0.9272848268397494,0.9354235864094289,0.12892480916268834,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/XiangPiShu1/0112.jpg
9,XiangPiShu2,0215.jpg,0.7175826953231572,63.6142463684082,0.9120369320736015,19.617870330810547,0.3145703459234812,0.1819248608648814,0.9780270438676829,0.7142825224469316,0.9860887702744874,0.29617676850957575,0.613338371517108,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/XiangPiShu2/0215.jpg
10,XiangPiShu2,0155.jpg,0.7018990096748892,473.37933349609375,0.9480957585608698,32.105403900146484,0.10792690380149127,0.23502810847836528,0.586470539580652,0.8793880715257306,0.8588386992545982,0.8271575856085055,0.35764015240495917,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/XiangPiShu2/0155.jpg
11,XiangPiShu2,0206.jpg,0.6928812564851715,468.5303039550781,0.9473839774685557,24.486276626586914,0.16060383816159393,0.23269116773100854,0.591104094551315,0.8761289802152601,0.9364788898724472,0.6918015280362457,0.36889278975058926,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/XiangPiShu2/0206.jpg
12,ChangShouHua1,0043.jpg,0.6828466191746028,276.73779296875,0.9431303039461263,26.00104522705078,0.10603226989365604,0.30304361741767816,0.7743739911563366,0.8566523313351133,0.9210431426195991,0.8320259436369775,0.030137687124987322,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/ChangShouHua1/0043.jpg
13,ChangShouHua1,0094.jpg,0.6763299277082374,309.92889404296875,0.942446276234133,26.199989318847656,0.1980320254247647,0.2530572519833813,0.7426577910252872,0.8535203167363121,0.9190158688053125,0.5956279004028173,0.2708277615714577,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/ChangShouHua1/0094.jpg
14,ChangShouHua3,0163.jpg,0.6759454445311593,121.781982421875,0.9265385606313488,62.558799743652344,0.7262131768732428,0.2331825041709532,0.9224440864443507,0.7806823357189757,0.5485134647023765,0.761560387270029,0.3665269485200643,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/ChangShouHua3/0163.jpg
15,WanNianQing1,0111.jpg,0.6659106204805675,130.407958984375,0.9199390330660671,80.74102783203125,0.7434237868231267,0.20632067490693853,0.9142014192797324,0.75046452974819,0.36323349706909824,0.8057839234254394,0.4958697328803775,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/WanNianQing1/0111.jpg
16,ChangShouHua3,0240.jpg,0.6447416411746072,146.38351440429688,0.9291012086486083,55.50121307373047,0.6544065517662877,0.23975591621716758,0.8989357638328125,0.7924161454183771,0.6204314619586064,0.5770496179909386,0.33487521667230113,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/ChangShouHua3/0240.jpg
17,ChangShouHua1,0069.jpg,0.6430232118596593,235.9077606201172,0.9346080334840914,40.36273193359375,0.2010573279550177,0.26329199217573485,0.8133896741380722,0.8176307024829066,0.7746951353669408,0.5878542319379991,0.22154631537237757,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/ChangShouHua1/0069.jpg
18,ChangShouHua3,0180.jpg,0.6382418631776559,93.90583801269531,0.9439794609513261,75.0140151977539,0.694328321721061,0.2510767685101372,0.9490815087156572,0.8605404371681505,0.42159272072180776,0.6796306329650657,0.2803640163175981,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/ChangShouHua3/0180.jpg
19,CaoMei2,0052.jpg,0.6375640651105874,270.1564636230469,0.9065779969727992,47.48785400390625,0.2714399217699548,0.18287181254321994,0.7806628683523633,0.6892872420952062,0.7020889410021027,0.4070025833706311,0.6087786907326329,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/CaoMei2/0052.jpg
20,ChangShouHua3,0189.jpg,0.6342728313182981,97.46558380126953,0.9361405853142504,72.58684539794922,0.6720877643319888,0.24030570845433696,0.9456799460620525,0.8246479250622232,0.44632598992085115,0.6224823914630988,0.33222790408326464,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/ChangShouHua3/0189.jpg
21,WanNianQing1,0162.jpg,0.6319270853289104,146.05577087402344,0.9151163467042478,73.64358520507812,0.688027136046938,0.21937598096575192,0.8992489435424752,0.7283824944361382,0.4355576332425637,0.6634394164252118,0.433006938998163,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/WanNianQing1/0162.jpg
22,ChangShouHua1,0060.jpg,0.6315176886387437,255.8026123046875,0.9390100985270539,35.1215705871582,0.2508984231756509,0.2599716180872812,0.7943788827758206,0.8377868039648982,0.8281034525384227,0.4597850070277103,0.23753429688686678,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/ChangShouHua1/0060.jpg
23,ChangShouHua1,0129.jpg,0.629777476889724,234.13426208496094,0.9296310507908943,32.18340301513672,0.3137085930815304,0.2298598557839069,0.8150843643608329,0.7948421777202905,0.8580438751312527,0.29839108619349364,0.38252588104274987,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/ChangShouHua1/0129.jpg
24,ChangShouHua3,0197.jpg,0.626431157412258,137.5684814453125,0.9255027433578452,69.04701232910156,0.6427148270382593,0.22219095330791616,0.9073590863632636,0.7759395529845601,0.4823974852972892,0.5470071376410448,0.41945252477513184,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/ChangShouHua3/0197.jpg
25,BaiZhang,0215.jpg,0.6247738060789129,203.2044219970703,0.9421788107941188,70.58988952636719,0.7398178706759565,0.27529718269461595,0.8446397863414213,0.8522956504719027,0.46667530670718516,0.7965183387906056,0.16373994808344927,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/BaiZhang/0215.jpg
26,XianKeLai2,0249.jpg,0.6238163815372342,211.04452514648438,0.9322043214271696,62.4997444152832,0.27217944016623885,0.2010826113472429,0.8371480710175199,0.8066246260892245,0.5491152484483302,0.4051023533014534,0.5210916088296429,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/XianKeLai2/0249.jpg
27,XianKeLai3,0043.jpg,0.623190165700049,167.4075164794922,0.9094854805450506,53.49734878540039,0.3071262681823738,0.18919143791080317,0.8788459977270887,0.7025999790419745,0.6408511766755601,0.31530470424724966,0.578348970808372,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/XianKeLai3/0043.jpg
28,DouBanLv2,0240.jpg,0.6199674320401946,47.80494689941406,0.8910889020564662,87.32823181152344,0.6245141180784746,0.1655907421100158,0.9931338312191813,0.618366034445874,0.29610877868025687,0.5002394918062396,0.6919890240494209,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/DouBanLv2/0240.jpg
29,XianKeLai3,0223.jpg,0.6190078824543644,180.14450073242188,0.902578925101461,54.29584503173828,0.5200342256447867,0.1654014302033472,0.8666750022325846,0.6709763589788075,0.6327143653916154,0.23177310310711197,0.6929005825617027,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/XianKeLai3/0223.jpg
30,BaiZhang,0223.jpg,0.6153679392592545,148.0731658935547,0.940496658938923,71.13653564453125,0.6877154382104878,0.2654445140460708,0.8973211947751246,0.8445934418106172,0.46110489066202354,0.6626384930076246,0.21118167604088223,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/BaiZhang/0223.jpg
31,WanNianQing2,0232.jpg,0.612864759216109,113.94984436035156,0.9070430887466734,71.01998901367188,0.698343723261215,0.24892233147547058,0.9299281906220889,0.691416796497778,0.46229252046671143,0.6899484111092788,0.29073787738468737,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/WanNianQing2/0232.jpg
32,WanNianQing1,0017.jpg,0.6038489972633306,330.05596923828125,0.9517393972422581,68.90206146240234,0.638008800880088,0.23018525131651432,0.7234250953843746,0.8960715031218136,0.48387455905084154,0.5349147644735501,0.38095906428607307,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/WanNianQing1/0017.jpg
33,WanNianQing1,0232.jpg,0.5983127041408558,229.57781982421875,0.9137179804120727,76.70448303222656,0.6271910524385772,0.1974338257289995,0.8194383336462785,0.7219796783443733,0.404366568671918,0.5071180105690483,0.5386609294726605,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/WanNianQing1/0232.jpg
34,WanNianQing2,0120.jpg,0.5980840295394362,167.13023376464844,0.9299640202904944,75.52490234375,0.6050177239946217,0.21617641739963714,0.87911095893031,0.7963667728725311,0.41638669462784883,0.4501425172551885,0.4484132040113019,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/WanNianQing2/0120.jpg
35,BaiZhang,0137.jpg,0.595504382976111,192.75001525878906,0.9244742345635852,75.25564575195312,0.6677484415108178,0.24259612201029526,0.8546296343919962,0.7712302341921522,0.41913046466365955,0.6113322811398241,0.3211993004929232,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/BaiZhang/0137.jpg
36,WangWenCao2,0052.jpg,0.5903128371653911,116.77626037597656,0.9038305045538075,63.08747863769531,0.3062400684512896,0.20817898277017027,0.9272273710317801,0.6767070699537856,0.5431261376981968,0.31758183945411567,0.486921767689077,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/WangWenCao2/0052.jpg
37,BaiZhang,0197.jpg,0.5877118954870144,236.34071350097656,0.9317246130743452,67.4526138305664,0.6028663977508862,0.2308213613123125,0.8129759602276495,0.8044281455404544,0.49864467462783946,0.4446145752357622,0.3778961218033664,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/BaiZhang/0197.jpg
38,XianKeLai2,0240.jpg,0.5851028836251587,353.3018798828125,0.9316786797124729,62.594581604003906,0.30595281750397263,0.1943280386895829,0.7012121548560737,0.8042178266346065,0.5481488415167267,0.31831994534875496,0.553615649769631,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/XianKeLai2/0240.jpg
39,BaiZhang,0120.jpg,0.5848778370644508,265.91650390625,0.934771044846753,70.0831298828125,0.6215927148270383,0.23521804216186615,0.7847144185141014,0.818377096172336,0.4718392728558485,0.4927327978139502,0.3567255999660184,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/BaiZhang/0120.jpg
40,WangWenCao1,0215.jpg,0.5822248333923172,263.4820556640625,0.9156439914777289,64.18214416503906,0.5490343478792323,0.19403569623031905,0.7870406880610274,0.730798465462675,0.5319713115410469,0.30629038970420797,0.5550233121926285,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/WangWenCao1/0215.jpg
41,DouBanLv2,0060.jpg,0.5801264405359178,360.73492431640625,0.9410412798600646,64.53868103027344,0.25321476592103653,0.23095254397185103,0.6941094099271938,0.8470871429369319,0.528338140813587,0.45383304672838487,0.37726446227349086,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/DouBanLv2/0060.jpg
42,WangWenCao2,0137.jpg,0.5784280702104837,259.655029296875,0.9308997009218843,70.42862701416016,0.2578535631340912,0.22819141291282,0.7906976542429298,0.8006510516319238,0.4683185988767118,0.44191342174899684,0.3905596245518561,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/WangWenCao2/0137.jpg
43,HongZhang,0052.jpg,0.5770777809465549,538.3381958007812,0.9066928480769749,43.0255012512207,0.11009045348979342,0.2881155063963863,0.5243982307249191,0.6898131204019763,0.7475610673865629,0.8215982348276052,0.10201825139171117,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/HongZhang/0052.jpg
44,WangWenCao1,0060.jpg,0.5747241276142138,201.11947631835938,0.9269577395682487,55.957881927490234,0.3878376726561545,0.20116470734444378,0.8466320840437631,0.7826016651947579,0.615777929397445,0.10791265223434077,0.5206963072007615,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/WangWenCao1/0060.jpg
45,CaoMei2,0189.jpg,0.5746194964669423,94.0252685546875,0.9329229289199183,83.90678405761719,0.3313225767021147,0.19920964539442526,0.9489673852654255,0.8099149740073498,0.33097390775142244,0.2531310609094406,0.5301101544010733,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/CaoMei2/0189.jpg
