variant,num_eval_images,gaussians_30000,PSNR,SSIM,LPIPS,PSNR_fg,SSIM_fg,LPIPS_fg_black_bg,leakage_energy_ratio_mean,outside_nonblack_ratio_mean
A6,27,591623,6.2554980560585305,0.2683636134973279,0.556709905465444,25.007228992603444,0.8547798549687421,0.04384410257140795,0.018883968703448772,0.029438171466743504
A6+M1/H-VQG,17,597116,6.317433020647834,0.2757231807884048,0.5577906913617078,12.547784580903894,0.6017746899057838,0.1178701618576751,0.30202971913797017,0.1742568127810955
Delta A6+M1 - A6,-10,5493,0.06193496458930326,0.007359567291076919,0.0010807858962638208,-12.45944441169955,-0.2530051650629583,0.07402605928626715,0.2831457504345214,0.14481864131435198
