图像,提示词编号,实例编号,提示词文本,SAM3分数,外接框,面积比例,掩膜阈值,来源阶段,候选模式,排名,是否空掩膜
BaiZhang_0035.jpg,P6,0,whole potted plant including the pot,0.320312,"-6,1631,216,2147",0.00642505787037037,0.5,raw,per_instance,2,0
BaiZhang_0035.jpg,P6,1,whole potted plant including the pot,0.308594,"145,1545,484,2248",0.010617886766975308,0.5,raw,per_instance,3,0
BaiZhang_0035.jpg,P6,2,whole potted plant including the pot,0.408203,"-5,2154,237,2563",0.009178964120370371,0.5,raw,per_instance,1,0
BaiZhang_0035.jpg,P6,3,whole potted plant including the pot,0.957031,"-1,288,1932,2914",0.2891341145833333,0.5,raw,per_instance,0,0
