图像,重提示分数,IoU下降,面积变化,SSIM下降,边界变化,是否标记
0000.jpg,0.0,0.0,0.0,0.0,0.0,0
0001.jpg,0.5577201003913684,0.6902140804829413,1.9974183550825535,0.23728967370835308,0.045485025301671145,0
0002.jpg,0.09447985960330042,0.0837389889215826,0.017823289458420478,0.2407749119332233,0.00347775421890377,0
0003.jpg,0.11244782464067304,0.12125132208876577,0.04188609867550703,0.23469112337760578,0.0057703759755121445,0
0004.jpg,0.13495980808806773,0.1804559022611889,0.04353993379313771,0.2435155057399787,0.0002425494224833301,0
0005.jpg,0.12594964711822754,0.12960117993832143,0.06257643293734347,0.2567321249712978,0.005080631084364624,0
0006.jpg,0.15320611266795012,0.1920797892430659,0.07074077515330797,0.25823624479180907,0.024892876310652137,0
0007.jpg,0.1055065974008408,0.11495913656339729,0.013107767848878942,0.23985473655621725,0.013535156682518042,0
0008.jpg,0.08621471465204551,0.04988008480361472,0.01926522729834026,0.24924161433917458,0.010866497076011006,0
0009.jpg,0.12506871429021496,0.15091610530698496,0.01064977497296346,0.26488160414631123,0.02243488435301038,0
0010.jpg,0.19204382179481017,0.3141884342057376,0.05101047993832055,0.2741563433412788,0.005241093352681063,0
0011.jpg,0.17425116748596944,0.2284846791843952,0.058472738919411626,0.28204227798053305,0.06101850364296654,0
0012.jpg,0.14830299778108763,0.18593674801074656,0.011324450361770204,0.30076062041708396,0.034692455217418726,0
0013.jpg,0.09669868503636628,0.04700705798266769,0.012466375711684173,0.27765972276633255,0.05143126748618941,0
0014.jpg,0.13570395762516418,0.16001072409217876,0.01475829170031506,0.2977151104428766,0.01054569104735824,0
0015.jpg,0.14731603915894842,0.17453596549478745,0.040144734929501345,0.298537164218058,0.010386509659219998,0
0016.jpg,0.1780965443309445,0.22665255505948445,0.06372205245619891,0.2959959280011609,0.058924366305233164,0
0017.jpg,0.191287831387619,0.282421347790364,0.06252751893752195,0.3070984867525536,0.0002257215898182729,0
0018.jpg,0.13337057398423025,0.1407120792947565,0.02605506371016274,0.3092379306534394,0.0019873176010996767,0
0019.jpg,0.10696969521642345,0.0584463485980643,0.03149570874131757,0.29514431389916884,0.03235645031319555,0
0020.jpg,0.1522152364367539,0.18651692949127463,0.021617245273272048,0.3090011827078196,0.028531360796899163,0
0021.jpg,0.13466577261967363,0.15550342359405123,0.0009432533702630452,0.3172396218053066,0.004625703785755417,0
