图像,提示词编号,实例编号,提示词文本,SAM3分数,外接框,面积比例,掩膜阈值,来源阶段,候选模式,排名,是否空掩膜
DouBanLv2_0042.jpg,P6,0,whole potted plant including the pot,0.304688,"1197,1795,1589,2316",0.016421802662037036,0.5,raw,per_instance,9,0
DouBanLv2_0042.jpg,P6,1,whole potted plant including the pot,0.824219,"1678,1716,2172,2553",0.029643012152777776,0.5,raw,per_instance,0,0
DouBanLv2_0042.jpg,P6,2,whole potted plant including the pot,0.378906,"1156,1283,1403,1616",0.004736207561728395,0.5,raw,per_instance,7,0
DouBanLv2_0042.jpg,P6,3,whole potted plant including the pot,0.792969,"1195,1785,1478,2280",0.010844304591049382,0.5,raw,per_instance,1,0
DouBanLv2_0042.jpg,P6,4,whole potted plant including the pot,0.330078,"1149,1101,1720,1678",0.01679591049382716,0.5,raw,per_instance,8,0
DouBanLv2_0042.jpg,P6,5,whole potted plant including the pot,0.957031,"193,876,1315,2644",0.1554564525462963,0.5,raw,per_instance,6,0
DouBanLv2_0042.jpg,P6,6,whole potted plant including the pot,0.408203,"1308,1115,1721,1636",0.012376422646604938,0.5,raw,per_instance,5,0
DouBanLv2_0042.jpg,P6,7,whole potted plant including the pot,0.341797,"1147,1116,1722,1835",0.019120490933641977,0.5,raw,per_instance,12,0
DouBanLv2_0042.jpg,P6,8,whole potted plant including the pot,0.65625,"1347,1548,1911,2392",0.023160566165123457,0.5,raw,per_instance,2,0
DouBanLv2_0042.jpg,P6,9,whole potted plant including the pot,0.566406,"1423,1888,1579,2317",0.0054607928240740745,0.5,raw,per_instance,4,0
DouBanLv2_0042.jpg,P6,10,whole potted plant including the pot,0.378906,"2050,1958,2171,2503",0.0028521653163580247,0.5,raw,per_instance,13,0
DouBanLv2_0042.jpg,P6,11,whole potted plant including the pot,0.605469,"1530,1784,1800,2407",0.01470799575617284,0.5,raw,per_instance,3,0
DouBanLv2_0042.jpg,P6,12,whole potted plant including the pot,0.5,"1308,1113,1724,1867",0.015210141782407408,0.5,raw,per_instance,11,0
DouBanLv2_0042.jpg,P6,13,whole potted plant including the pot,0.335938,"2055,2303,2173,2504",0.0020323350694444442,0.5,raw,per_instance,10,0
