图像,提示词编号,实例编号,提示词文本,SAM3分数,外接框,面积比例,掩膜阈值,来源阶段,候选模式,排名,是否空掩膜
DouBanLv2_0045.jpg,P6,0,whole potted plant including the pot,0.4375,"1889,1083,2163,1845",0.011489920910493827,0.5,raw,per_instance,5,0
DouBanLv2_0045.jpg,P6,1,whole potted plant including the pot,0.388672,"1901,1083,2164,1687",0.007202811535493827,0.5,raw,per_instance,8,0
DouBanLv2_0045.jpg,P6,2,whole potted plant including the pot,0.820312,"1682,1770,2026,2376",0.01700147087191358,0.5,raw,per_instance,0,0
DouBanLv2_0045.jpg,P6,3,whole potted plant including the pot,0.949219,"450,820,1480,2503",0.14003580729166668,0.5,raw,per_instance,4,0
DouBanLv2_0045.jpg,P6,4,whole potted plant including the pot,0.574219,"2066,1938,2167,2414",0.003347198109567901,0.5,raw,per_instance,7,0
DouBanLv2_0045.jpg,P6,5,whole potted plant including the pot,0.589844,"1961,1875,2128,2339",0.006183931327160494,0.5,raw,per_instance,2,0
DouBanLv2_0045.jpg,P6,6,whole potted plant including the pot,0.388672,"1876,1096,2168,2404",0.015462962962962963,0.5,raw,per_instance,6,0
DouBanLv2_0045.jpg,P6,7,whole potted plant including the pot,0.369141,"1892,1499,2164,2367",0.009680145640432099,0.5,raw,per_instance,9,0
DouBanLv2_0045.jpg,P6,8,whole potted plant including the pot,0.742188,"1342,1835,1735,2266",0.013608820408950617,0.5,raw,per_instance,1,0
DouBanLv2_0045.jpg,P6,9,whole potted plant including the pot,0.570312,"1641,1244,2013,1770",0.010361689814814815,0.5,raw,per_instance,3,0
