image_name,fft_score,is_fft_blurry,fft_kept,exposure_mean,exposure_score,contrast_score,entropy_score,contrast_norm,entropy_norm,raw_score,accepted
0000,0.620647,False,True,0.5311111787727091,0.9377776424545818,0.8491377423265459,7.621734619140625,0.3130593001842499,0.6593539714813232,0.630296982824031,True
0001,0.615275,False,True,0.5307897045331872,0.9384205909336256,0.8565831799091397,7.626969814300537,0.33079004287719727,0.6720300316810608,0.6343581330983769,True
0002,0.580897,False,True,0.5292307578954497,0.9415384842091006,0.863752144390442,7.635514259338379,0.3478623032569885,0.6927188038825989,0.6287827182697376,True
0003,0.472586,False,True,0.5280593219156339,0.9438813561687323,0.8657945782728141,7.637777328491211,0.3527262508869171,0.6981983780860901,0.5879955970283479,True
0004,0.31561,True,False,0.5151006955839975,0.969798608832005,0.9052894516501078,7.662890434265137,0.4467799961566925,0.759005069732666,0.5613607349442727,True
0005,0.447797,False,True,0.5142716827527237,0.9714566344945526,0.9057920201770228,7.644153594970703,0.4479767382144928,0.7136373519897461,0.6057329449397583,True
0006,0.455185,False,True,0.512483336949,0.9750333261020001,0.909845860024643,7.644139289855957,0.4576307237148285,0.7136027216911316,0.6113273543015921,True
0007,0.526251,False,True,0.5169741910690009,0.9660516178619982,0.894884387910715,7.634428977966309,0.4220012128353119,0.6900910139083862,0.6261291689211392,True
0008,0.471166,False,True,0.524255614749695,0.9514887705006101,0.8834534248568051,7.645923614501953,0.3947792947292328,0.717923104763031,0.6013046339985748,True
0009,0.350178,True,False,0.5213782062448467,0.9572435875103067,0.8963955360926179,7.672657012939453,0.4255999028682709,0.7826530337333679,0.5731705048223891,True
0010,0.423083,False,True,0.5256161291131624,0.9487677417736753,0.8864293763279315,7.668118953704834,0.40186625719070435,0.7716649770736694,0.5936929952076099,True
0011,0.559066,False,True,0.5242430609209088,0.9515138781581824,0.896662679330474,7.704869270324707,0.42623594403266907,0.8606489896774292,0.6713061623736561,True
0012,0.495526,False,True,0.5162710990738526,0.9674578018522948,0.8970111579701731,7.724023342132568,0.427065908908844,0.9070269465446472,0.6585205314611573,True
0013,0.658588,False,True,0.5094666154910773,0.9810667690178454,0.8950427259786755,7.728199005126953,0.42237821221351624,0.9171375632286072,0.7275517088919937,True
0014,0.659794,False,True,0.501376721918542,0.997246556162916,0.8946297153275695,7.725335121154785,0.4213946759700775,0.9102031588554382,0.7296864781976864,True
0015,0.717747,False,True,0.497131325696616,0.994262651393232,0.8954377292371278,7.716228485107422,0.42331886291503906,0.8881531953811646,0.7482457419378872,True
0016,0.754796,False,True,0.4874052092729309,0.9748104185458618,0.8984035258592254,7.6895880699157715,0.4303816854953766,0.8236483931541443,0.7476864994390766,True
