image_name,registered,matched_points,matched_norm,inlier_ratio,reprojection_error,reprojection_score,geo_score,accepted
0000,1.0,4234.0,0.718900203704834,0.3131425190444494,1.1926022553827096,0.0,0.6080106806873208,True
0001,1.0,4168.0,0.30471450090408325,0.31809509272685643,1.1926022553827096,0.0,0.5057023984077349,False
0002,1.0,4276.0,0.18891793489456177,0.3142731148022931,1.1926022553827096,0.0,0.4757977624242137,False
0003,1.0,3097.0,0.06890444457530975,0.3673348357252995,1.1926022553827096,0.0,0.4590598200751523,False
0004,1.0,4066.0,0.17196592688560486,0.5223535457348407,1.1926022553827096,0.0,0.5235798681551114,False
0005,1.0,3816.0,0.01796407252550125,0.4870453095086152,1.1926022553827096,0.0,0.4762523455085291,False
0006,1.0,4640.0,0.2057856172323227,0.4253758709204254,1.1926022553827096,0.0,0.507790372038187,False
0007,1.0,3801.0,0.36822131276130676,0.44539489102413876,1.1926022553827096,0.0,0.5534040509463614,True
0008,1.0,2486.0,0.6612128019332886,0.41433333333333333,1.1926022553827096,0.0,0.6188865338166555,True
0009,1.0,3891.0,0.45551151037216187,0.3922774473233189,1.1926022553827096,0.0,0.5619472394238701,True
0010,1.0,2570.0,0.2761238217353821,0.38698991115795817,1.1926022553827096,0.0,0.515778433223335,False
0011,1.0,4235.0,0.3604621887207031,0.37755193010608895,1.1926022553827096,0.0,0.534503529706698,False
0012,1.0,4041.0,0.34494391083717346,0.418539616778871,1.1926022553827096,0.0,0.5408708819040111,False
0013,1.0,4731.0,0.6435860395431519,0.44856357257988055,1.1926022553827096,0.0,0.623037403030758,True
0014,1.0,5467.0,0.24028000235557556,0.43340732519422864,1.1926022553827096,0.0,0.5184218318874511,False
0015,1.0,5917.0,0.08855528384447098,0.4422602586142462,1.1926022553827096,0.0,0.48270388561467925,False
0016,1.0,5968.0,0.21961709856987,0.4723761279088175,1.1926022553827096,0.0,0.5229983066196718,False
0017,1.0,6213.0,0.7403221726417542,0.4772622522660931,1.1926022553827096,0.0,0.6543961062269618,True
0018,1.0,3675.0,0.6621404886245728,0.44871794871794873,1.1926022553827096,0.0,0.6277146093356304,True
0019,1.0,2678.0,0.18554440140724182,0.388961510530138,1.1926022553827096,0.0,0.49362647798434495,False
0020,1.0,3284.0,0.5617778301239014,0.4075958793595631,1.1926022553827096,0.0,0.5923434273708661,True
0021,1.0,3224.0,0.39588427543640137,0.44450572177030195,1.1926022553827096,0.0,0.5600974993016758,True
0022,1.0,4387.0,0.1054229587316513,0.348119346135534,1.1926022553827096,0.0,0.4633855762167963,False
0023,1.0,3603.0,0.5433920621871948,0.42160074888836885,1.1926022553827096,0.0,0.5912482027688909,True
0024,1.0,3638.0,0.3747996985912323,0.4306344696969697,1.1926022553827096,0.0,0.5513585420720505,True
0025,1.0,4163.0,0.6195496320724487,0.4093814534369161,1.1926022553827096,0.0,0.6072327713773412,True
0026,1.0,3947.0,0.34224510192871094,0.34182038624751016,1.1926022553827096,0.0,0.5210163720440553,False
0027,1.0,4162.0,0.2965337038040161,0.34576721774528535,1.1926022553827096,0.0,0.5105752303873253,False
0028,1.0,2544.0,0.2215568870306015,0.3909635776855694,1.1926022553827096,0.0,0.5031301161790427,False
0029,1.0,2591.0,0.11756768077611923,0.39115338164251207,1.1926022553827096,0.0,0.4771802656046578,False
0030,1.0,2202.0,0.4071856141090393,0.35723556132381573,1.1926022553827096,0.0,0.5411052938582137,False
0031,1.0,3652.0,0.03626549616456032,0.38715148945192407,1.1926022553827096,0.0,0.4558542464041211,False
0032,1.0,4786.0,0.04537403956055641,0.3415887516950967,1.1926022553827096,0.0,0.44674069781391323,False
0033,1.0,4368.0,0.06882010400295258,0.3585029546946816,1.1926022553827096,0.0,0.45683076467440853,False
0034,1.0,3796.0,0.28177449107170105,0.3098016812209255,1.1926022553827096,0.0,0.4978940430731566,False
0035,1.0,2217.0,0.4146917462348938,0.33050089445438285,1.1926022553827096,0.0,0.5362981601723191,False
0036,1.0,980.0,0.00514464033767581,0.2698237885462555,1.1926022553827096,0.0,0.4187421072209828,False
0037,1.0,1888.0,0.5639706254005432,0.20813581744019402,1.1926022553827096,0.0,0.5430266107101843,False
0038,1.0,1864.0,0.44058361649513245,0.2923921568627451,1.1926022553827096,0.0,0.5332439433394693,False
0043,1.0,2742.0,0.30463019013404846,0.3038563829787234,1.1926022553827096,0.0,0.502121643278193,False
0044,1.0,1570.0,0.8052626848220825,0.17154720279720279,1.1926022553827096,0.0,0.5942024719048213,True
0045,1.0,1366.0,0.8475162386894226,0.12412539754656975,1.1926022553827096,0.0,0.5929104090589981,True
0046,1.0,607.0,0.3103651702404022,0.131985214176995,1.1926022553827096,0.0,0.4605875961043493,False
0047,1.0,1800.0,0.3107868731021881,0.1842374616171955,1.1926022553827096,0.0,0.4737560836798459,False
0048,1.0,2064.0,0.1351100653409958,0.27619429947812124,1.1926022553827096,0.0,0.45282609120477924,False
0049,1.0,1801.0,0.29602766036987305,0.3001666666666667,1.1926022553827096,0.0,0.4990485817591349,False
0050,1.0,1945.0,0.11621826887130737,0.3083875059457745,1.1926022553827096,0.0,0.45615144370427047,False
0051,1.0,1291.0,0.2757021188735962,0.29102795311091073,1.1926022553827096,0.0,0.4916825179961267,False
0052,1.0,1367.0,0.39200472831726074,0.3164351851851852,1.1926022553827096,0.0,0.5271099783756115,False
0053,1.0,1908.0,0.7204183340072632,0.28418230563002683,1.1926022553827096,0.0,0.6011501599093225,True
0054,1.0,2152.0,0.28261786699295044,0.3190984578884935,1.1926022553827096,0.0,0.500429081220361,False
0055,1.0,1993.0,0.4569452702999115,0.3445116681071737,1.1926022553827096,0.0,0.5503642346017713,True
0056,1.0,2589.0,1.0,0.23201003674164353,1.1926022553827096,0.0,0.6580025091854108,True
0057,1.0,1772.0,0.2795816957950592,0.2994254815816154,1.1926022553827096,0.0,0.4947517943441686,False
0058,1.0,1600.0,0.18453234434127808,0.303951367781155,1.1926022553827096,0.0,0.47212092803060823,False
0059,1.0,1373.0,0.4900059103965759,0.31885740826753367,1.1926022553827096,0.0,0.5522158296660273,True
0060,1.0,3207.0,0.452644020318985,0.28718545715053284,1.1926022553827096,0.0,0.5349573693673795,False
0061,1.0,2810.0,0.665935754776001,0.437626537922442,1.1926022553827096,0.0,0.6258905731746107,True
0062,1.0,3410.0,0.17205026745796204,0.39038351459645104,1.1926022553827096,0.0,0.4906084455136033,False
0063,1.0,2750.0,0.1030614823102951,0.40867885272700255,1.1926022553827096,0.0,0.47793508375932436,False
0064,1.0,3064.0,0.17795395851135254,0.3251618380558209,1.1926022553827096,0.0,0.4757789491417933,False
0065,1.0,2642.0,0.13317027688026428,0.29785794813979705,1.1926022553827096,0.0,0.4577570562550153,False
0066,1.0,1749.0,0.17036350071430206,0.3264887063655031,1.1926022553827096,0.0,0.47421305176995127,False
0067,1.0,1544.0,0.36501646041870117,0.3017393003713113,1.1926022553827096,0.0,0.5166889401975031,False
0068,1.0,864.0,0.3371847867965698,0.25300146412884333,1.1926022553827096,0.0,0.4975465627313533,False
0069,1.0,763.0,0.11765202134847641,0.14158470959361663,1.1926022553827096,0.0,0.41480918273552325,False
0070,1.0,571.0,0.35725730657577515,0.12599293909973522,1.1926022553827096,0.0,0.47081256141887756,False
0071,1.0,600.0,0.16817070543766022,0.18198362147406733,1.1926022553827096,0.0,0.43753858172793186,False
0072,1.0,611.0,0.2741840183734894,0.2483739837398374,1.1926022553827096,0.0,0.48063950052833165,False
