image_name,weight
0000,0.864633
0001,0.865115
0002,0.872505
0003,0.866960
0004,0.878723
0005,0.881104
0006,0.869077
0007,0.857770
0008,0.884189
0009,0.863319
0010,0.864231
0011,0.876259
0012,0.875225
0013,0.869628
0014,0.875620
0015,0.860298
0016,0.864415
0017,0.858949
0018,0.867402
0019,0.873333
0020,0.862786
0021,0.877937
0022,0.872337
0023,0.876973
0024,0.863805
0025,0.863277
0026,0.876482
0027,0.853540
0028,0.850486
0029,0.862782
0030,0.862389
0031,0.856499
0032,0.854981
0033,0.849189
0034,0.835904
0035,0.831842
0036,0.835277
0037,0.847687
0038,0.833814
0039,0.834468
0040,0.834807
0041,0.838858
0042,0.846939
0043,0.839165
0044,0.899731
0045,0.897857
0046,0.881321
0047,0.883617
0048,0.888918
0049,0.878613
0050,0.888237
0051,0.825128
0052,0.842798
0053,0.846397
0054,0.810678
0055,0.797829
0056,0.845495
0057,0.862628
0058,0.860095
0059,0.864341
0060,0.861613
0061,0.871518
0062,0.865058
0063,0.865947
0064,0.865600
0065,0.870658
0066,0.875094
0067,0.882165
0068,0.884087
0069,0.883706
0071,0.870941
0073,0.872220
0074,0.873632
0075,0.872059
0076,0.870514
0077,0.876481
0078,0.856635
0079,0.858401
0080,0.861377
0081,0.848120
0082,0.835181
0083,0.837179
0084,0.826105
0085,0.830016
0086,0.831821
0088,0.832352
0089,0.902652
0091,0.835835
0092,0.831197
0093,0.891598
0094,0.832157
0095,0.843180
0096,0.846057
0097,0.858059
0098,0.866103
0099,0.863736
0100,0.863973
0101,0.870643
0102,0.864934
0103,0.876808
0104,0.861675
0105,0.855287
0106,0.888771
0107,0.863240
0108,0.859562
0109,0.859535
0110,0.859566
0111,0.851899
0112,0.877086
0113,0.883805
0114,0.866225
0115,0.859237
0116,0.900051
0117,0.895648
0118,0.909479
0119,0.882390
0120,0.872672
0121,0.875427
0122,0.868315
0123,0.870547
0124,0.874516
0125,0.876573
0126,0.891687
0127,0.888912
0128,0.880601
0129,0.888965
0130,0.902676
0131,0.812519
0133,0.841036
0135,0.850465
0136,0.850200
0137,0.850004
0139,0.848220
0140,0.857591
0141,0.869912
0142,0.843814
0143,0.869259
0144,0.862711
0145,0.875147
0146,0.873929
0147,0.858858
0148,0.855547
0149,0.848402
0150,0.847700
0151,0.850311
0152,0.855947
0153,0.849726
0154,0.842859
0155,0.840457
0156,0.901169
0157,0.839129
0158,0.837882
0159,0.900413
0160,0.895898
0161,0.894200
0162,0.835959
0163,0.832337
0164,0.835682
0165,0.838545
0166,0.899181
0167,0.899272
0168,0.893520
0169,0.897307
0170,0.897278
0171,0.844610
0172,0.900960
0173,0.895071
0174,0.894026
0175,0.837615
0176,0.856153
0177,0.898797
0178,0.896973
0179,0.889933
0180,0.885773
0181,0.894919
0182,0.891631
0183,0.890381
0184,0.889934
0185,0.892743
0186,0.889483
0187,0.895806
0188,0.899089
0189,0.889512
0190,0.899598
0191,0.895776
0192,0.851181
0193,0.880268
0194,0.888825
0195,0.891891
0196,0.860025
0197,0.902183
0198,0.854206
0199,0.890004
0200,0.867785
0201,0.859020
0202,0.896179
0203,0.899889
0204,0.890349
0205,0.902589
0206,0.901560
0207,0.822122
0208,0.853457
0209,0.831030
