image_name,foreground_ratio,largest_component_ratio,hole_ratio,boundary_ratio,area_score,hole_score,boundary_score,temporal_score,mask_score,accepted,accept_rule
0000,0.10994200906635802,0.8688347335178535,0.0,0.0017535927854936157,0.3141200259038801,1.0,0.5772556960582733,1.0,0.7205924291217142,True,threshold_0.450
0001,0.11015649112654322,0.8683283680745945,0.0,0.0017490113811726286,0.31473283179012346,1.0,0.5799942314624786,0.9959307606332004,0.7200446156439017,True,threshold_0.450
0002,0.10977623456790124,0.8682687407736299,0.0,0.0017428626543207774,0.31364638447971793,1.0,0.5836696326732635,0.9975168218370527,0.7198843800755481,True,threshold_0.450
0003,0.10980661651234568,0.8708403785756486,0.0,0.001742259837962753,0.31373319003527345,1.0,0.5840299725532532,0.9853113982826471,0.7188554398274374,True,threshold_0.450
0004,0.10821457851080248,0.8707439489726533,2.2282260535306484e-06,0.0017344232253084328,0.3091845100308642,0.9977467055432498,0.5887143015861511,0.9904558919370174,0.717555488101801,True,threshold_0.450
0005,0.10784481095679012,0.8715215515111419,0.0,0.0017175443672837435,0.30812803130511457,1.0,0.5988036394119263,0.9935104297474027,0.718327840872243,True,threshold_0.450
0006,0.10796790605709876,0.8712682671349881,0.0,0.001720196759259052,0.3084797315917108,1.0,0.5972181856632233,0.9978753090836108,0.7190296825601368,True,threshold_0.450
0007,0.10969196084104939,0.8712604236610711,0.0,0.0016705246913578233,0.3134056024029982,1.0,0.6269097328186035,0.9902233015745878,0.7196035831755588,True,threshold_0.450
0008,0.10938645351080246,0.8634281022149759,0.0,0.0016370081018516544,0.3125327243165784,1.0,0.6469443142414093,0.9540613330900669,0.7115240841388052,True,threshold_0.450
0009,0.11352225597993827,0.8697269219690444,0.0,0.0016178385416664716,0.32434930279982366,1.0,0.6584030091762543,0.9410957582294941,0.7156046963050756,True,threshold_0.450
0010,0.1173974006558642,0.8715695446726885,0.0,0.0016892119984565864,0.33542114473104057,1.0,0.6157393455505371,0.9677227661013603,0.7240266789728749,True,threshold_0.450
0011,0.1176193576388889,0.8671961967309081,0.0,0.0017259837962960883,0.3360553075396826,1.0,0.5937589704990387,0.9740591514855623,0.7238870893809957,True,threshold_0.450
0012,0.11639274691358024,0.8724901803166407,0.0,0.001696084104938067,0.3325507054673722,1.0,0.6116315424442291,0.963190745562315,0.7226184128429198,True,threshold_0.450
0013,0.11400559413580247,0.8766962631440547,0.0,0.0017053674768516462,0.3257302689594357,1.0,0.6060824394226074,0.9627806767821312,0.7214315745963386,True,threshold_0.450
0014,0.11720389660493827,0.8812645555756795,0.0,0.0017022328317899181,0.3348682760141094,1.0,0.6079561412334442,0.9561569765210152,0.7250068097557943,True,threshold_0.450
0015,0.11881196952160494,0.8867509442147771,0.0,0.0016781201774689334,0.3394627700617284,1.0,0.6223694980144501,0.9599512219429016,0.7288299360774733,True,threshold_0.450
0016,0.120522159529321,0.8886430272714109,0.0,0.0016905381944442405,0.3443490272266314,1.0,0.6149466037750244,0.9796648919582367,0.7340648015044797,True,threshold_0.450
