image_name,registered,matched_points,matched_norm,inlier_ratio,reprojection_error,reprojection_score,geo_score,accepted,accept_rule
0000,1.0,3808.0,0.20582467317581177,0.6035821841813283,1.1657978011059642,0.0,0.552351714339285,True,threshold_0.550
0001,1.0,3915.0,0.07923122495412827,0.6235069278547539,1.1657978011059642,0.0,0.5256845382022205,False,threshold_0.550
0002,1.0,4481.0,0.2236713021993637,0.6121584699453552,1.1657978011059642,0.0,0.5589574430361797,True,threshold_0.550
0003,1.0,2632.0,0.21847420930862427,0.543577034283354,1.1657978011059642,0.0,0.5405128108979945,False,threshold_0.550
0004,1.0,4905.0,0.13404588401317596,0.5442743009320905,1.1657978011059642,0.0,0.5195800462363166,False,threshold_0.550
0005,1.0,4683.0,0.2635810971260071,0.5870628055660022,1.1657978011059642,0.0,0.5626609756730023,True,threshold_0.550
0006,1.0,2814.0,0.08403608202934265,0.6860068259385665,1.1657978011059642,0.0,0.5425107269919773,False,threshold_0.550
0007,1.0,842.0,0.20023533701896667,0.41807348560079444,1.1657978011059642,0.0,0.5045772056549402,False,threshold_0.550
0008,1.0,4035.0,0.30908021330833435,0.5603388418275239,1.1657978011059642,0.0,0.5673547637839645,True,threshold_0.550
0009,1.0,950.0,0.18042753636837006,0.36964980544747084,1.1657978011059642,0.0,0.4875193354539602,False,threshold_0.550
0010,1.0,951.0,0.08207491785287857,0.36605080831408776,1.1657978011059642,0.0,0.46203143154174153,False,threshold_0.550
0011,1.0,3286.0,0.03030005842447281,0.34023607372126735,1.1657978011059642,0.0,0.442634033036435,False,threshold_0.550
0012,1.0,3130.0,0.2510296106338501,0.4600911362634132,1.1657978011059642,0.0,0.5277801867243158,False,threshold_0.550
0013,1.0,2739.0,0.05638360604643822,0.44990144546649147,1.1657978011059642,0.0,0.47657126287823237,False,threshold_0.550
0014,1.0,1485.0,1.0,0.43181157313172436,1.1657978011059642,0.0,0.7079528932829311,True,threshold_0.550
0015,1.0,1459.0,0.09697979688644409,0.3904201230933904,1.1657978011059642,0.0,0.4718499799949586,False,threshold_0.550
0016,1.0,2414.0,0.18366345763206482,0.320159151193634,1.1657978011059642,0.0,0.47595565220642466,False,threshold_0.550
0017,1.0,680.0,0.3501667082309723,0.30262572318647085,1.1657978011059642,0.0,0.5131981078543608,False,threshold_0.550
0018,1.0,1870.0,0.11512061208486557,0.420319172847831,1.1657978011059642,0.0,0.48385994623317413,False,threshold_0.550
0019,1.0,2331.0,0.3053539991378784,0.41220159151193636,1.1657978011059642,0.0,0.5293888976624537,False,threshold_0.550
0020,1.0,1873.0,0.10766816884279251,0.4215620076524871,1.1657978011059642,0.0,0.4823075441238199,False,threshold_0.550
0021,1.0,3028.0,0.31810158491134644,0.43257142857142855,1.1657978011059642,0.0,0.5376682533706937,False,threshold_0.550
0022,1.0,3250.0,0.07776034623384476,0.4041283262869933,1.1657978011059642,0.0,0.4704721681302095,False,threshold_0.550
0023,1.0,2386.0,0.36193370819091797,0.5278761061946903,1.1657978011059642,0.0,0.5724524535964021,True,threshold_0.550
0024,1.0,1314.0,0.0942341610789299,0.4263465282284231,1.1657978011059642,0.0,0.48014517232683823,False,threshold_0.550
0025,1.0,1152.0,0.09815650433301926,0.39792746113989635,1.1657978011059642,0.0,0.4740209913682289,False,threshold_0.550
0026,1.0,2443.0,0.17209257185459137,0.44025950621733645,1.1657978011059642,0.0,0.5030880195179819,False,threshold_0.550
0027,1.0,993.0,0.032947637140750885,0.35861321776814736,1.1657978011059642,0.0,0.44789021372722454,False,threshold_0.550
0028,1.0,838.0,0.1343400627374649,0.3874248728617661,1.1657978011059642,0.0,0.48044123389980775,False,threshold_0.550
0029,1.0,1714.0,0.26534613966941833,0.43370445344129555,1.1657978011059642,0.0,0.5247626482776785,False,threshold_0.550
0030,1.0,2477.0,0.13590900599956512,0.3456118320078136,1.1657978011059642,0.0,0.47038020950184467,False,threshold_0.550
0031,1.0,2271.0,0.061286527663469315,0.4710640945861854,1.1657978011059642,0.0,0.4830876555624137,False,threshold_0.550
0032,1.0,2655.0,0.07766228914260864,0.42486797887662026,1.1657978011059642,0.0,0.4756325670048072,False,threshold_0.550
0033,1.0,2256.0,0.15483428537845612,0.3748753738783649,1.1657978011059642,0.0,0.48242741481420526,False,threshold_0.550
0034,1.0,2607.0,0.3198666274547577,0.3412303664921466,1.1657978011059642,0.0,0.5152742484867261,False,threshold_0.550
0035,1.0,2027.0,0.06864091008901596,0.44855056428413365,1.1657978011059642,0.0,0.4792978685932874,False,threshold_0.550
0036,1.0,2540.0,0.22906452417373657,0.4299255247122546,1.1657978011059642,0.0,0.5147475122214977,False,threshold_0.550
0037,1.0,2680.0,0.8383015990257263,0.42158250747207804,1.1657978011059642,0.0,0.6649710266244511,True,threshold_0.550
0038,1.0,2904.0,0.10217689722776413,0.33056346044393853,1.1657978011059642,0.0,0.45818508941792563,False,threshold_0.550
0039,1.0,2218.0,0.10894293338060379,0.41512259030507204,1.1657978011059642,0.0,0.48101638092141896,False,threshold_0.550
0040,1.0,1443.0,0.09511668980121613,0.37267561983471076,1.1657978011059642,0.0,0.4669480774089817,False,threshold_0.550
0041,1.0,1828.0,0.07501471042633057,0.4302188750294187,1.1657978011059642,0.0,0.4763083963639373,False,threshold_0.550
0042,1.0,2250.0,0.2631888687610626,0.3636657507677388,1.1657978011059642,0.0,0.5067136548822003,False,threshold_0.550
0043,1.0,2341.0,0.1596391499042511,0.3758831085420681,1.1657978011059642,0.0,0.4838805646115798,False,threshold_0.550
0051,1.0,2818.0,0.19229260087013245,0.36559418785677217,1.1657978011059642,0.0,0.4894716971817261,False,threshold_0.550
