图像,重提示分数,IoU下降,面积变化,SSIM下降,边界变化,是否标记,几何分数,几何标记,最终重提示标记
0000.jpg,0.0,0.0,0.0,0.0,0.0,0,0.60108644307983,low,1
0001.jpg,0.13210104175585224,0.11470653496103111,0.010277161200917477,0.35644466607853176,0.0018219846641937736,0,0.597168905950096,low,1
0002.jpg,0.1320496468417331,0.12321049772636605,0.0006262483801443082,0.35365776975272767,0.0023664540285797983,0,0.6096819457436857,low,1
0003.jpg,0.1416289979311049,0.13587090536896207,0.007048924536858561,0.34877325162499884,0.03412424674335891,0,0.6270584436551502,low,1
0004.jpg,0.2182245324596714,0.31029843975518656,0.012341009479509325,0.3803481653878562,0.07631856552343166,0,0.5553369404820462,low,1
0005.jpg,0.15250127958960458,0.15813131438500683,0.021213113599924935,0.34791630694625575,0.03248642945538019,0,0.5673480083857443,low,1
0006.jpg,0.3011341214639884,0.5234646367600325,0.057663698990685054,0.35653467336699296,0.09581270339038368,0,0.5073275862068966,low,1
0007.jpg,0.2620906390461414,0.3224004938550489,0.21921454976364355,0.3475474705835857,0.05039974073377959,0,0.6921862667719021,low,1
0008.jpg,0.209243319275083,0.24947721681204038,0.09222262977919228,0.34669669939776937,0.08130974064418976,0,0.6226870474658085,low,1
0009.jpg,0.24122417994245698,0.34345340906352173,0.08020648291939937,0.3449142048513356,0.09823543218360423,0,0.586224620920072,low,1
