图像,提示词编号,实例编号,提示词文本,SAM3分数,外接框,面积比例,掩膜阈值,来源阶段,候选模式,排名,是否空掩膜
XianKeLai3_0133.jpg,P6,0,whole potted plant including the pot,0.753906,"-4,15,775,1093",0.06752049575617285,0.5,raw,per_instance,1,0
XianKeLai3_0133.jpg,P6,1,whole potted plant including the pot,0.960938,"-8,378,1692,2531",0.28759886188271605,0.5,raw,per_instance,0,0
