method,mask_dir,gt_frames,eval_frames,missing_frames,precision,recall,f1,miou,iou_fg,hd95_px,boundary_f1,temporal_iou,area_cv,component_count_mean,outside_nonblack_ratio,leakage_energy
A0,00-论文优化重构/数据管理/03-分割Mask/05-RAP-FSAM3掩膜/E3v2_KongQueZhuYu_GT5_A0_单提示词P2/最终掩膜,5,5,,0.9806085462896663,0.9640689142377665,0.9722683948394714,0.962617576818623,0.9460333709282063,114.22745780944824,0.34788882867866794,0.4017491508636861,0.1909152073214325,1.0,0.007309098519386843,0.005283468364197531
A1,00-论文优化重构/数据管理/03-分割Mask/05-RAP-FSAM3掩膜/E3v2_KongQueZhuYu_GT5_A1_旧多提示词选择/最终掩膜,5,5,,0.9806085462896663,0.9640689142377665,0.9722683948394714,0.962617576818623,0.9460333709282063,114.22745780944824,0.34788882867866794,0.4017491508636861,0.1909152073214325,1.0,0.007309098519386843,0.005283468364197531
A1s,00-论文优化重构/数据管理/03-分割Mask/05-RAP-FSAM3掩膜/E3v2_KongQueZhuYu_GT5_A1s_语义门控选择/最终掩膜,5,5,,0.9806085462896663,0.9640689142377665,0.9722683948394714,0.962617576818623,0.9460333709282063,114.22745780944824,0.34788882867866794,0.4017491508636861,0.1909152073214325,1.0,0.007309098519386843,0.005283468364197531
A2,00-论文优化重构/数据管理/03-分割Mask/05-RAP-FSAM3掩膜/E3v2_KongQueZhuYu_GT5_A2_A1s结构化正负提示/最终掩膜,5,5,,0.9949199825597348,0.9694612786351628,0.9820256561043801,0.97561873862993,0.9646860571616469,84.09152774810791,0.42834747946837853,0.4126283937978389,0.1630427562852766,1.0,0.0018977917726842207,0.0013718412422839507
A5c,00-论文优化重构/数据管理/03-分割Mask/05-RAP-FSAM3掩膜/E3v2_KongQueZhuYu_GT5_A5c_完整RAPFSAM3v2/最终掩膜,5,5,,0.9946158592820342,0.9697597958632873,0.9820305705105865,0.9756225224293567,0.9646955419900448,83.75592842102051,0.43200731736768,0.41276909532373307,0.16297605304862303,1.0,0.0020126406481759643,0.0014548611111111112
