method,frame,mask_path,gt_path,precision,recall,f1,miou,iou_fg,hd95_px,boundary_f1,area_ratio,component_count,temporal_iou,outside_nonblack_ratio,leakage_energy
A0,0000,00-论文优化重构/数据管理/03-分割Mask/05-RAP-FSAM3掩膜/E3v2_KongQueZhuYu_GT5_A0_单提示词P2/最终掩膜/mask_0000.png,00-论文优化重构/数据管理/05-评测结果/S21_KongQueZhuYu_E2_E3/gt_masks/mask_0000.png,0.9964365609702595,0.9516113418056596,0.9735082299135822,0.9663372612965784,0.9483838626700583,15.062299728393555,0.337270442384181,0.22478913483796295,1,,0.001047605337236993,0.0008010223765432099
A0,0025,00-论文优化重构/数据管理/03-分割Mask/05-RAP-FSAM3掩膜/E3v2_KongQueZhuYu_GT5_A0_单提示词P2/最终掩膜/mask_0025.png,00-论文优化重构/数据管理/05-评测结果/S21_KongQueZhuYu_E2_E3/gt_masks/mask_0025.png,0.9375929788683491,0.9818809243964477,0.9592260246237624,0.9386173051469358,0.9216468198842158,163.96615600585938,0.36821448211326746,0.3659862075617284,1,0.39331968863239836,0.035110450254064035,0.02284010898919753
A0,0050,00-论文优化重构/数据管理/03-分割Mask/05-RAP-FSAM3掩膜/E3v2_KongQueZhuYu_GT5_A0_单提示词P2/最终掩膜/mask_0050.png,00-论文优化重构/数据管理/05-评测结果/S21_KongQueZhuYu_E2_E3/gt_masks/mask_0050.png,0.9950029742314279,0.9611285944721508,0.9777724826070513,0.9715771330632752,0.9565116042862222,51.539066314697266,0.3597706956786603,0.22821735146604938,1,0.5698032077283607,0.0014931901908186247,0.0011404079861111111
A0,0075,00-论文优化重构/数据管理/03-分割Mask/05-RAP-FSAM3掩膜/E3v2_KongQueZhuYu_GT5_A0_单提示词P2/最终掩膜/mask_0075.png,00-论文优化重构/数据管理/05-评测结果/S21_KongQueZhuYu_E2_E3/gt_masks/mask_0075.png,0.9958641395850527,0.9497135387319976,0.9722414752617157,0.9632693536964446,0.9459823994252874,290.3199462890625,0.2892765636357258,0.2550687210648148,1,0.30742852073422194,0.0014401040166558317,0.0010549286265432098
A0,0100,00-论文优化重构/数据管理/03-分割Mask/05-RAP-FSAM3掩膜/E3v2_KongQueZhuYu_GT5_A0_单提示词P2/最终掩膜/mask_0100.png,00-论文优化重构/数据管理/05-评测结果/S21_KongQueZhuYu_E2_E3/gt_masks/mask_0100.png,0.9979848778002796,0.9682476495859157,0.9828913913218098,0.9761494804712809,0.9663583445617983,50.249820709228516,0.3849119595815051,0.2882573784722222,1,0.3364451863597636,0.0008264084320418,0.0005808738425925926
A1,0000,00-论文优化重构/数据管理/03-分割Mask/05-RAP-FSAM3掩膜/E3v2_KongQueZhuYu_GT5_A1_旧多提示词选择/最终掩膜/mask_0000.png,00-论文优化重构/数据管理/05-评测结果/S21_KongQueZhuYu_E2_E3/gt_masks/mask_0000.png,0.9964365609702595,0.9516113418056596,0.9735082299135822,0.9663372612965784,0.9483838626700583,15.062299728393555,0.337270442384181,0.22478913483796295,1,,0.001047605337236993,0.0008010223765432099
A1,0025,00-论文优化重构/数据管理/03-分割Mask/05-RAP-FSAM3掩膜/E3v2_KongQueZhuYu_GT5_A1_旧多提示词选择/最终掩膜/mask_0025.png,00-论文优化重构/数据管理/05-评测结果/S21_KongQueZhuYu_E2_E3/gt_masks/mask_0025.png,0.9375929788683491,0.9818809243964477,0.9592260246237624,0.9386173051469358,0.9216468198842158,163.96615600585938,0.36821448211326746,0.3659862075617284,1,0.39331968863239836,0.035110450254064035,0.02284010898919753
A1,0050,00-论文优化重构/数据管理/03-分割Mask/05-RAP-FSAM3掩膜/E3v2_KongQueZhuYu_GT5_A1_旧多提示词选择/最终掩膜/mask_0050.png,00-论文优化重构/数据管理/05-评测结果/S21_KongQueZhuYu_E2_E3/gt_masks/mask_0050.png,0.9950029742314279,0.9611285944721508,0.9777724826070513,0.9715771330632752,0.9565116042862222,51.539066314697266,0.3597706956786603,0.22821735146604938,1,0.5698032077283607,0.0014931901908186247,0.0011404079861111111
A1,0075,00-论文优化重构/数据管理/03-分割Mask/05-RAP-FSAM3掩膜/E3v2_KongQueZhuYu_GT5_A1_旧多提示词选择/最终掩膜/mask_0075.png,00-论文优化重构/数据管理/05-评测结果/S21_KongQueZhuYu_E2_E3/gt_masks/mask_0075.png,0.9958641395850527,0.9497135387319976,0.9722414752617157,0.9632693536964446,0.9459823994252874,290.3199462890625,0.2892765636357258,0.2550687210648148,1,0.30742852073422194,0.0014401040166558317,0.0010549286265432098
A1,0100,00-论文优化重构/数据管理/03-分割Mask/05-RAP-FSAM3掩膜/E3v2_KongQueZhuYu_GT5_A1_旧多提示词选择/最终掩膜/mask_0100.png,00-论文优化重构/数据管理/05-评测结果/S21_KongQueZhuYu_E2_E3/gt_masks/mask_0100.png,0.9979848778002796,0.9682476495859157,0.9828913913218098,0.9761494804712809,0.9663583445617983,50.249820709228516,0.3849119595815051,0.2882573784722222,1,0.3364451863597636,0.0008264084320418,0.0005808738425925926
