图像,选择提示词,选择分数,前景面积比例,恢复细结构像素,重提示标记,SPNP后端,SPNP接受,SPNP原因,SPNP正框数,SPNP负框数,SPNP细化IoU,几何分数,几何标记
0000.jpg,P2,0.7563640091851446,0.2282888454861111,9,1,sam3_if_supported,1,ok,1,9,0.9845964462193222,0.60108644307983,low
0025.jpg,P2,0.6713168871022747,0.3458503327546296,8,0,sam3_if_supported,1,ok,1,9,0.9326498867759998,0.9135239010329089,ok
0050.jpg,P2,0.593699449274176,0.2296820746527778,5,1,sam3_if_supported,1,ok,1,9,0.9934700488814684,0.6493573264781491,low
0075.jpg,P2,0.6431032756485802,0.256567684220679,9,1,sam3_if_supported,1,ok,1,9,0.9937135579213822,0.5162866449511401,low
0100.jpg,P2,0.6571258544917549,0.2898438705632716,5,0,sam3_if_supported,1,ok,1,9,0.994524731467258,0.9019029355362148,ok
