image,mask_stem,registered_points,inside_mask_points,geometry_score,geometry_flag
0095.jpg,,0,0,,missing_mask
0156.jpg,,0,0,,missing_mask
0153.jpg,,0,0,,missing_mask
0083.jpg,,0,0,,missing_mask
0084.jpg,,0,0,,missing_mask
0085.jpg,,0,0,,missing_mask
0082.jpg,,0,0,,missing_mask
0081.jpg,,0,0,,missing_mask
0092.jpg,,0,0,,missing_mask
0166.jpg,,0,0,,missing_mask
0122.jpg,,0,0,,missing_mask
0096.jpg,,0,0,,missing_mask
0079.jpg,,0,0,,missing_mask
0111.jpg,,0,0,,missing_mask
0110.jpg,,0,0,,missing_mask
0080.jpg,,0,0,,missing_mask
0094.jpg,,0,0,,missing_mask
0090.jpg,,0,0,,missing_mask
0089.jpg,,0,0,,missing_mask
0112.jpg,,0,0,,missing_mask
0087.jpg,,0,0,,missing_mask
0100.jpg,0100,6779,6114,0.9019029355362148,ok
0086.jpg,,0,0,,missing_mask
0176.jpg,,0,0,,missing_mask
0093.jpg,,0,0,,missing_mask
0129.jpg,,0,0,,missing_mask
0102.jpg,,0,0,,missing_mask
0098.jpg,,0,0,,missing_mask
0097.jpg,,0,0,,missing_mask
0181.jpg,,0,0,,missing_mask
0106.jpg,,0,0,,missing_mask
0119.jpg,,0,0,,missing_mask
0117.jpg,,0,0,,missing_mask
0105.jpg,,0,0,,missing_mask
0109.jpg,,0,0,,missing_mask
0130.jpg,,0,0,,missing_mask
0121.jpg,,0,0,,missing_mask
0114.jpg,,0,0,,missing_mask
0116.jpg,,0,0,,missing_mask
0088.jpg,,0,0,,missing_mask
0124.jpg,,0,0,,missing_mask
0123.jpg,,0,0,,missing_mask
0108.jpg,,0,0,,missing_mask
0125.jpg,,0,0,,missing_mask
0132.jpg,,0,0,,missing_mask
