图像,重提示分数,IoU下降,面积变化,SSIM下降,边界变化,是否标记
0000.jpg,0.0,0.0,0.0,0.0,0.0,0
0001.jpg,0.10572178695021864,0.1252972436012958,0.002469587916860393,0.23728967370835308,0.012852908556411646,0
0002.jpg,0.5535500209450884,0.6642925306453442,1.8982703953315192,0.2407749119332233,0.07235938157274766,0
0003.jpg,0.11289957882393134,0.12139196812640274,0.04230887319619293,0.23469112337760578,0.007749272241604657,0
0004.jpg,0.13540601031969954,0.18053475891064297,0.043996886291131784,0.2435155057399787,0.0022716446213123993,0
0005.jpg,0.12565780035236868,0.12997244753561032,0.062547949073965,0.2567321249712978,0.0023161680239290514,0
0006.jpg,0.1538840754790239,0.1920560129568175,0.06993572259675195,0.25823624479180907,0.030809860646650228,0
0007.jpg,0.10617192835972145,0.11485374112672564,0.012028583574566291,0.23985473655621725,0.020015259551144002,0
0008.jpg,0.08580984131450314,0.050048682484022944,0.02035543500582748,0.24924161433917458,0.00595693405896403,0
0009.jpg,0.1251898871064496,0.15084685108774487,0.012447029225818052,0.26488160414631123,0.02040887255137708,0
0010.jpg,0.19069600679119436,0.31403513803164573,0.048975940590161325,0.2741563433412788,4.249981722107247e-06,0
0011.jpg,0.17418711791727556,0.2288460398575729,0.05915071788734695,0.28204227798053305,0.05861836666770037,0
0012.jpg,0.1548092091122416,0.18479896216931313,0.015048303986894197,0.30076062041708396,0.07451560834658319,0
0013.jpg,0.08898642268742418,0.04410425106850213,0.010385201345623592,0.27765972276633255,0.010258025236395952,0
0014.jpg,0.13677655012580298,0.16044842564086137,0.01635626246148272,0.2977151104428766,0.014011719502744479,0
0015.jpg,0.1480549503844488,0.17491496484497693,0.0425961841890076,0.298537164218058,0.010342503912936627,0
0016.jpg,0.1781182950925445,0.2268997023260425,0.06356817332925142,0.2959959280011609,0.05874915963884385,0
0017.jpg,0.19170215462115361,0.28234178299732604,0.06207315154103813,0.3070984867525536,0.0039308066579437735,0
0018.jpg,0.13418261417196975,0.1405713540358392,0.028040154410541106,0.3092379306534394,0.004420793289539426,0
0019.jpg,0.1074239964132085,0.05873329628498347,0.032945423749592175,0.29514431389916884,0.032299388675160204,0
0020.jpg,0.15147184688321938,0.18627986945685993,0.020822235121347704,0.3090011827078196,0.02545358744017722,0
0021.jpg,0.1348997679825052,0.1557331457507809,0.0005953478675721034,0.3172396218053066,0.006229497010081482,0
0022.jpg,0.12076434827050474,0.10133997012679896,0.00605544592803308,0.3076799544848021,0.045743390819442,0
0023.jpg,0.14560542999101775,0.15590002234255806,0.00924197155789299,0.3342042872766767,0.034525716416533465,0
0024.jpg,0.1733160255637329,0.20220997540362107,0.022367700999070303,0.3403905341803406,0.07901983585075187,0
0025.jpg,0.16387460439673746,0.1767503659380808,0.05257039327565087,0.32937876471074545,0.043497912145400566,0
0026.jpg,0.1516699622763424,0.16977225956733288,0.04533141615467067,0.3067844406482403,0.028138048180321257,0
0027.jpg,0.19719972725409396,0.316269549775708,0.008401215357927795,0.3347106480821661,0.00484945981715126,0
0028.jpg,0.13120988839374564,0.13983291912447227,0.01791306109790775,0.3016843099505957,0.015793492920363326,0
0029.jpg,0.10692842790549072,0.07857758769855461,0.02483617424602175,0.28496936233565073,0.01316592043718986,0
0030.jpg,0.1494975655142143,0.2036362625816167,0.012717273815048682,0.29834293969007386,0.0030654682291188454,0
0031.jpg,0.1468184988219643,0.19935571646291605,0.015243464994861042,0.28753128979447395,0.00900206241739965,0
0032.jpg,0.14093140140685995,0.19397317874658404,0.004280921310220113,0.265458484231599,0.03737291640067156,0
0033.jpg,0.16437035254474092,0.26319853991191366,0.008093914610178382,0.2753040148530176,0.0093425413984811,0
0034.jpg,0.14085646667411278,0.17110466507337818,0.04522261834894402,0.2696757772116488,0.01496823338854822,0
0035.jpg,0.13323203138655676,0.14594171812716872,0.07563704870152593,0.2478923276784365,0.008467239647047407,0
0036.jpg,0.16613331814057186,0.2326889435273466,0.08573056433923021,0.22408346962133985,0.0482578627723869,0
0037.jpg,0.1483412443823981,0.2305784891545838,0.039567301357814236,0.22172718682782866,0.015434340879220566,0
0038.jpg,0.1299000585813934,0.1758966642444849,0.02683274766854107,0.20681236186240015,0.06616632475392242,0
0039.jpg,0.10259388721835848,0.13185821554928323,0.01038877665416062,0.19750154220989924,0.029806213733962562,0
0040.jpg,0.14846312709340032,0.1751592083722605,0.049190741653320165,0.20811801016605258,0.15220144138843963,0
0041.jpg,0.31693270594174433,0.3907463056659247,0.500513721878314,0.21610195344581862,0.006783867517583398,0
0042.jpg,0.32299765758123444,0.46649125959095483,0.3719448598325106,0.2314251909602757,0.05922136017469122,0
0043.jpg,0.10721500291141703,0.13403294065384275,0.0046704909271966695,0.23167266732467184,0.008117894130699585,0
0044.jpg,0.11292395433130614,0.1580544592069697,0.0013535412610036091,0.2271868907726825,0.0031319040029681357,0
