图像,选择提示词,选择分数,前景面积比例,恢复细结构像素,A5c接受,A5c原因,A5c修正像素比例,重提示标记,SPNP后端,SPNP接受,SPNP原因,SPNP正框数,SPNP负框数,SPNP细化IoU
0000.jpg,P2,0.6511020521214667,0.12771303530092593,0,0,module_off,0.0,0,disabled,0,module_off,,,
0025.jpg,P2,0.68669687417325,0.13031659915123456,0,0,module_off,0.0,0,disabled,0,module_off,,,
0050.jpg,P2,0.5427458716234899,0.07967351466049383,0,0,module_off,0.0,0,disabled,0,module_off,,,
0075.jpg,P2,0.5750926335883164,0.09267879533179012,0,0,module_off,0.0,0,disabled,0,module_off,,,
0100.jpg,P2,0.4816828517720732,0.11608084972993828,0,0,module_off,0.0,0,disabled,0,module_off,,,
