variant,final_masks,empty_candidate_count,zero_final_mask_count,spnp_rejected_count,zero_final_masks_list,status,elapsed_sec
U00,32,0,0,0,[],success,572.5
U10,32,0,0,0,[],success,594.1
U01,32,0,0,0,[],success,626.6
U11,32,0,0,0,[],success,660.5
