图像,重提示分数,IoU下降,面积变化,SSIM下降,边界变化,是否标记
0000.jpg,0.0,0.0,0.0,0.0,0.0,0
0001.jpg,0.13204384144225076,0.11647984155633861,0.007613874242353602,0.35644466607853176,0.0017417454487393842,0
0002.jpg,0.14206760921036038,0.12466327102429653,0.004924183751737297,0.35365776975272767,0.058599839838269045,0
0003.jpg,0.13811938721508943,0.1333366577572107,0.0023857462892552064,0.34877325162499884,0.02441205014334804,0
0004.jpg,0.21950735664607282,0.3121718493915616,0.012770185752037432,0.3803481653878562,0.07978414382701918,0
0005.jpg,0.1524573719083029,0.15944718984823092,0.019931717664000394,0.34791630694625575,0.031258995392387134,0
0006.jpg,0.3054219864945177,0.5384476023413639,0.07345679454942466,0.35653467336699296,0.06311639130623933,0
0007.jpg,0.267591468124751,0.32067442714531924,0.2648893245925425,0.3475474705835857,0.014974798865714494,0
0008.jpg,0.1690626280411916,0.18740061033753774,0.03535954017852624,0.34669669939776937,0.05305569685986337,0
0009.jpg,0.27037105364823644,0.26988479893775064,0.17604126371095635,0.3449142048513356,0.3044833791963383,0
