run_tag,scene,method,image_count,mask_matched_gate_count,init_pcd_mode,final_iteration,psnr,ssim,lpips,final_point_count,final_ply_mb,final_ply_bytes,point_reduction_pct_vs_baseline,ply_size_reduction_pct_vs_baseline,train_wall_time,train_wall_elapsed_sec,train_progress_time,train_progress_elapsed_sec,train_time_reduction_pct_vs_baseline,train_final_iter_per_sec,render_time,render_elapsed_sec,metrics_time,metrics_elapsed_sec,test_render_count,test_gt_count,psnr_delta_vs_baseline,ssim_delta_vs_baseline,lpips_delta_vs_baseline,capacity_mode,capacity_initial_count,capacity_max_seen_count,capacity_final_count,capacity_rounds,capacity_total_requested,capacity_total_removed,capacity_total_blocked_by_floor,capacity_floor_active_rounds,capacity_floor_ratio,capacity_floor_reference,foreground_init_points_before,foreground_init_points_after,foreground_init_kept_ratio,pruning_gaussians_before,pruning_gaussians_after,pruning_removed,pruning_ratio,m2m3_requested_iter,m2m3_after_budget_iter,m2m3_budget_blocked_iter,floor_active_iter,floor_count_iter,floor_allowed_remove_iter,floor_blocked_iter,started_at,train_completed_at,model_dir
20260610_151144_full,CaoMei2,fg2dgs_baseline,210,210,foreground_track,30000,5.32291316986084,0.11955062299966812,0.7070202231407166,593310,144.769,144769148,-0.0,-0.0,38:15,2295,37:06,2226,-0.0,13.47,2:10,129.59968889993615,0:07,7.3970002077985555,27,27,0.0,0.0,0.0,none,,,,,,,,,,,110756,48919,0.4416826176459966,593401,593310,91,0.00015335329734867317,,,,,,,,2026-06-10T16:44:28+08:00,10/06 17:22:43,/data/fj/F2DMAS/00-论文优化重构/m2m3实验/实验输出/runs/20260610_151144_full/CaoMei2/fg2dgs_baseline
20260610_151144_full,CaoMei2,fg2dgs_m2m3,210,210,foreground_track,30000,5.326120853424072,0.1202123835682869,0.7071520686149597,404330,98.658,98658028,31.851814397195394,31.85148261009314,15:48,948,14:49,889,58.692810457516345,33.75,0:51,51.132984479889274,0:07,6.762580744922161,27,27,0.003207683563232422,0.0006617605686187744,0.00013184547424316406,m2m3,48919,412001,404330,5,7671,7671,0,0,0.4,max_seen,110756,48919,0.4416826176459966,404442,404330,112,0.0002769247506440973,112,112,0,False,0,404442,0,2026-06-10T17:22:44+08:00,10/06 17:38:32,/data/fj/F2DMAS/00-论文优化重构/m2m3实验/实验输出/runs/20260610_151144_full/CaoMei2/fg2dgs_m2m3
20260610_151144_full,CaoMei2,fg2dgs_m2m3_floor40,210,210,foreground_track,30000,5.327571392059326,0.11932002007961273,0.7073138356208801,448641,109.47,109469912,24.383374627092078,24.38312063562051,21:58,1318,20:56,1256,42.570806100217865,23.88,0:50,50.29431239282712,0:07,6.731018433813006,27,27,0.004658222198486328,-0.0002306029200553894,0.0002936124801635742,m2m3_floor,48919,457566,448641,5,8925,8925,0,5,0.4,max_seen,110756,48919,0.4416826176459966,448748,448641,107,0.0002384411741110824,107,107,0,True,183026,265722,0,2026-06-10T17:38:33+08:00,10/06 18:00:31,/data/fj/F2DMAS/00-论文优化重构/m2m3实验/实验输出/runs/20260610_151144_full/CaoMei2/fg2dgs_m2m3_floor40
20260610_151144_full,ChangShouHua2,fg2dgs_baseline,212,190,foreground_mask,30000,15.423332214355469,0.4387454092502594,0.4714488089084625,57408,14.009,14009059,-0.0,-0.0,11:51,711,11:13,673,-0.0,44.54,0:40,39.67552827298641,0:06,6.427278415998444,24,24,0.0,0.0,0.0,none,,,,,,,,,,,20796,1435,0.06900365454895172,59183,57408,1775,0.02999172059544126,,,,,,,,2026-06-10T16:07:31+08:00,10/06 16:19:22,/data/fj/F2DMAS/00-论文优化重构/m2m3实验/实验输出/runs/20260610_151144_full/ChangShouHua2/fg2dgs_baseline
20260610_151144_full,ChangShouHua2,fg2dgs_m2m3,212,190,foreground_mask,30000,15.479400634765625,0.5163443088531494,0.4325798451900482,179105,43.703,43703128,-211.98613433667782,-211.96333743758237,12:50,770,12:10,730,-8.29817158931083,41.07,0:40,39.597276248037815,0:06,6.343677551951259,24,24,0.05606842041015625,0.07759889960289001,-0.03886896371841431,m2m3,1435,208566,179105,5,104658,29461,0,0,0.4,max_seen,20796,1435,0.06900365454895172,184644,179105,5539,0.029998266935291697,9546,5539,4007,False,0,184644,0,2026-06-10T16:19:23+08:00,10/06 16:32:13,/data/fj/F2DMAS/00-论文优化重构/m2m3实验/实验输出/runs/20260610_151144_full/ChangShouHua2/fg2dgs_m2m3
20260610_151144_full,ChangShouHua2,fg2dgs_m2m3_floor40,212,190,foreground_mask,30000,15.248270988464355,0.4165250062942505,0.47595635056495667,131099,31.99,31989664,-128.36364269788183,-128.3498413419488,12:13,733,11:35,695,-3.0942334739803097,43.13,0:40,40.21364372619428,0:06,6.34874134301208,24,24,-0.17506122589111328,-0.02222040295600891,0.004507541656494141,m2m3_floor,1435,152662,131099,5,87058,21563,0,5,0.4,max_seen,20796,1435,0.06900365454895172,135153,131099,4054,0.029995634577108906,9160,4054,5106,True,61065,74088,0,2026-06-10T16:32:14+08:00,10/06 16:44:27,/data/fj/F2DMAS/00-论文优化重构/m2m3实验/实验输出/runs/20260610_151144_full/ChangShouHua2/fg2dgs_m2m3_floor40
20260610_151144_full,KongQueZhuYu,fg2dgs_baseline,210,210,foreground_track,30000,6.2525410652160645,0.2723737061023712,0.5571091175079346,538114,131.301,131301324,-0.0,-0.0,17:33,1053,16:19,979,-0.0,30.63,0:56,55.55144685506821,0:07,6.573655569925904,27,27,0.0,0.0,0.0,none,,,,,,,,,,,177918,118259,0.664682606594049,538180,538114,66,0.0001226355494444238,,,,,,,,2026-06-10T15:15:44+08:00,10/06 15:33:17,/data/fj/F2DMAS/00-论文优化重构/m2m3实验/实验输出/runs/20260610_151144_full/KongQueZhuYu/fg2dgs_baseline
20260610_151144_full,KongQueZhuYu,fg2dgs_m2m3,210,210,foreground_track,30000,6.251610279083252,0.2717118561267853,0.5571523904800415,536464,130.899,130898724,0.3066264769175305,0.3066229553024157,17:01,1021,15:53,953,3.038936372269706,31.47,0:53,52.66734700091183,0:07,6.632256662007421,27,27,-0.0009307861328125,-0.0006618499755859375,4.3272972106933594e-05,m2m3,118259,540098,536464,5,1706,1706,0,0,0.4,max_seen,177918,118259,0.664682606594049,536525,536464,61,0.00011369460882531103,61,61,0,False,0,536525,0,2026-06-10T15:33:18+08:00,10/06 15:50:19,/data/fj/F2DMAS/00-论文优化重构/m2m3实验/实验输出/runs/20260610_151144_full/KongQueZhuYu/fg2dgs_m2m3
20260610_151144_full,KongQueZhuYu,fg2dgs_m2m3_floor40,210,210,foreground_track,30000,6.252522945404053,0.27215248346328735,0.5572590827941895,536761,130.971,130971192,0.251433711072375,0.2514308233479809,17:10,1030,16:03,963,2.184235517568851,31.15,0:54,53.986489325994626,0:07,6.671547872945666,27,27,-1.811981201171875e-05,-0.0002212226390838623,0.0001499652862548828,m2m3_floor,118259,544603,536761,5,1769,1769,0,5,0.4,max_seen,177918,118259,0.664682606594049,536818,536761,57,0.000106181238334035,57,57,0,True,217841,318977,0,2026-06-10T15:50:20+08:00,10/06 16:07:30,/data/fj/F2DMAS/00-论文优化重构/m2m3实验/实验输出/runs/20260610_151144_full/KongQueZhuYu/fg2dgs_m2m3_floor40
