提示词编号,提示词文本,样本范围,序列数,帧数,标注帧数,F1,mIoU,HD95像素,边界F分数,时序IoU,面积变异系数,每帧连通域数,外部非黑比例,泄漏能量,主要失败模式,备注
P1,green plant,FourSample_GT20,4,20,20,0.797210,0.790808,685.405735,0.331294,0.301155,0.581870,1.000000,0.001207,0.000958,召回不足，部分样本偏保守,复用四样本代表集 P1-P5 候选掩膜；仅做 2D segmentation robustness，不进入 2DGS
P2,entire plant excluding pot,FourSample_GT20,4,20,20,0.969239,0.962396,193.711472,0.405071,0.392203,0.415107,1.000000,0.002864,0.002272,四样本中最稳，但仍存在边界误差和少量泄漏,复用四样本代表集 P1-P5 候选掩膜；仅做 2D segmentation robustness，不进入 2DGS
P3,leaves and stems,FourSample_GT20,4,20,20,0.647129,0.678883,2178.942864,0.201862,0.121019,1.028594,0.600000,0.001826,0.001449,多样本主体召回不足或空掩膜,复用四样本代表集 P1-P5 候选掩膜；仅做 2D segmentation robustness，不进入 2DGS
P4,crop seedling,FourSample_GT20,4,20,20,0.076755,0.419888,3922.738027,0.042270,0.010883,2.386985,0.150000,0.000073,0.000058,非幼苗/成熟盆栽形态下系统性欠分割,复用四样本代表集 P1-P5 候选掩膜；仅做 2D segmentation robustness，不进入 2DGS
P5,plant body without background,FourSample_GT20,4,20,20,0.405097,0.545545,3304.976203,0.100924,0.030766,1.804329,0.300000,0.000277,0.000220,去背景语义过保守，多样本空掩膜,复用四样本代表集 P1-P5 候选掩膜；仅做 2D segmentation robustness，不进入 2DGS
