样本名,帧编号,提示词编号,提示词文本,F1,mIoU,HD95像素,边界F分数,面积比例,连通域数,时序IoU,外部非黑比例,泄漏能量,原图路径,掩膜路径,人工标注路径,失败类型,失败描述
KongQueZhuYu,0050,P1,green plant,0.783884,0.772553,701.662354,0.338566,0.153678,1,0.517275,0.001106,0.000845,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/KongQueZhuYu_0050.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/KongQueZhuYu/候选掩膜/P1_绿色植物/mask_0050.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_KongQueZhuYu_0050.png,提示词敏感,该提示词在此帧上明显低于 P2 默认提示
KongQueZhuYu,0050,P2,entire plant excluding pot,0.977772,0.971577,51.539112,0.359771,0.228217,1,0.569803,0.001493,0.001140,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/KongQueZhuYu_0050.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/KongQueZhuYu/候选掩膜/P2_整株去花盆/mask_0050.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_KongQueZhuYu_0050.png,可用,掩膜整体可用，但仍需结合边界和泄漏指标判断
KongQueZhuYu,0050,P3,leaves and stems,0.784733,0.773256,704.361572,0.350005,0.154057,1,0.518539,0.001190,0.000909,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/KongQueZhuYu_0050.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/KongQueZhuYu/候选掩膜/P3_叶和茎/mask_0050.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_KongQueZhuYu_0050.png,提示词敏感,该提示词在此帧上明显低于 P2 默认提示
KongQueZhuYu,0050,P4,crop seedling,0.000000,0.381870,4405.814340,0.000000,0.000000,0,0.000000,0.000000,0.000000,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/KongQueZhuYu_0050.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/KongQueZhuYu/候选掩膜/P4_作物幼苗/mask_0050.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_KongQueZhuYu_0050.png,成熟植株欠分割,幼苗提示未覆盖非幼苗或成熟盆栽主体，输出近空掩膜
KongQueZhuYu,0050,P5,plant body without background,0.000000,0.381870,4405.814340,0.000000,0.000000,0,0.000000,0.000000,0.000000,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/KongQueZhuYu_0050.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/KongQueZhuYu/候选掩膜/P5_去背景植物体/mask_0050.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_KongQueZhuYu_0050.png,主体召回不足,语义提示过保守，目标植物主体未被召回
KongQueZhuYu,0075,P1,green plant,0.913583,0.892903,326.809937,0.263298,0.226380,1,0.300921,0.001087,0.000796,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/KongQueZhuYu_0075.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/KongQueZhuYu/候选掩膜/P1_绿色植物/mask_0075.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_KongQueZhuYu_0075.png,可用,掩膜整体可用，但仍需结合边界和泄漏指标判断
KongQueZhuYu,0075,P2,entire plant excluding pot,0.972241,0.963269,290.319946,0.289277,0.255069,1,0.307429,0.001440,0.001055,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/KongQueZhuYu_0075.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/KongQueZhuYu/候选掩膜/P2_整株去花盆/mask_0075.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_KongQueZhuYu_0075.png,可用,掩膜整体可用，但仍需结合边界和泄漏指标判断
KongQueZhuYu,0075,P3,leaves and stems,0.000000,0.366268,4405.814340,0.000000,0.000000,0,0.000000,0.000000,0.000000,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/KongQueZhuYu_0075.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/KongQueZhuYu/候选掩膜/P3_叶和茎/mask_0075.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_KongQueZhuYu_0075.png,主体召回不足,语义提示过保守，目标植物主体未被召回
KongQueZhuYu,0075,P4,crop seedling,0.000000,0.366268,4405.814340,0.000000,0.000000,0,0.000000,0.000000,0.000000,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/KongQueZhuYu_0075.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/KongQueZhuYu/候选掩膜/P4_作物幼苗/mask_0075.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_KongQueZhuYu_0075.png,成熟植株欠分割,幼苗提示未覆盖非幼苗或成熟盆栽主体，输出近空掩膜
KongQueZhuYu,0075,P5,plant body without background,0.000000,0.366268,4405.814340,0.000000,0.000000,0,0.000000,0.000000,0.000000,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/KongQueZhuYu_0075.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/KongQueZhuYu/候选掩膜/P5_去背景植物体/mask_0075.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_KongQueZhuYu_0075.png,主体召回不足,语义提示过保守，目标植物主体未被召回
