method,common_frames,common_block_positive_frames,plant_f1,plant_miou,plant_boundary_f1_mean,plant_hd95_mean_px,block_recall_pixel,block_detection_rate
SAM,20,17,0.9837372758115649,0.9798679076737129,0.389265434219248,41.393716382980344,0.9858406660135351,1.0
SEEM,20,17,0.9511418154197758,0.940929400650865,0.22972430130354932,281.82329692840574,0.0,0.11764705882352941
