plant,frame,method,plant_f1,plant_miou,plant_boundary_f1,plant_hd95_px,block_recall_pixel,block_detected,gt_block_present
CaoMei1,0000,SAM,0.9828804762881215,0.9806382722628957,0.3347343350495604,18.43290138244629,0.9938484234347138,1,1
CaoMei1,0000,SEEM,0.9785033662311121,0.9757065146138943,0.3722707031496185,97.08524322509766,0.0,0,1
CaoMei1,0025,SAM,0.9864061394527333,0.98453498739578,0.4427085992368311,16.235000610351562,0.9940777817699751,1,1
CaoMei1,0025,SEEM,0.9774809018848174,0.9745231038894385,0.36308775849134917,72.74148559570312,0.0,0,1
CaoMei1,0050,SAM,0.9667416058200532,0.9648576495033299,0.4359045674521501,58.669349670410156,0.0,1,0
CaoMei1,0050,SEEM,0.9628273739828141,0.9607546500731082,0.2774336629780777,113.10430145263672,0.0,0,0
CaoMei1,0075,SAM,0.9844978091294765,0.9831389104142529,0.47996057422993765,14.324999809265137,0.9878337154100254,1,1
CaoMei1,0075,SEEM,0.9715827567312716,0.9694071215946447,0.3610123226337431,54.75167465209961,0.0,0,1
CaoMei1,0100,SAM,0.9868344881350873,0.9852616558767534,0.4008947641252717,14.698197364807129,0.9923038700209159,1,1
CaoMei1,0100,SEEM,0.9785755604203331,0.9761677384592582,0.27499603058557415,339.3934631347656,0.0,0,1
ChangShouHua2,0000,SAM,0.9871528805442967,0.9807370672721694,0.3824626139251051,49.667022705078125,0.9895663061245783,1,1
ChangShouHua2,0000,SEEM,0.9497820333549153,0.9268512297307249,0.14948515710953392,460.32989501953125,0.0,0,1
ChangShouHua2,0025,SAM,0.9865724956939347,0.9826653484956206,0.40590070620120516,18.145000457763672,0.9817557229872117,1,1
ChangShouHua2,0025,SEEM,0.9659281530808019,0.9564918203722075,0.16575804174811545,434.4042053222656,0.0,0,1
ChangShouHua2,0050,SAM,0.9842537404996211,0.9806849293552524,0.42560305374678536,18.847200393676758,0.0,0,0
ChangShouHua2,0050,SEEM,0.9280835141614471,0.9148577343769404,0.14370894892909197,330.6792907714844,0.0,0,0
ChangShouHua2,0075,SAM,0.9783257772878681,0.972523254400308,0.4262373752609034,121.76535034179688,0.9697553335590925,1,1
ChangShouHua2,0075,SEEM,0.9585223450314967,0.9480268204564329,0.21277207348409727,267.43597412109375,0.0,0,1
ChangShouHua2,0100,SAM,0.9843838271313498,0.977363931772582,0.39452819926883087,17.190000534057617,0.9947847582298324,1,1
ChangShouHua2,0100,SEEM,0.9170868701991368,0.886676424521913,0.14899374746997066,397.2248840332031,0.0,0,1
DouBanLv1,0000,SAM,0.9882912787938907,0.9849377010328216,0.3642897731334749,13.784299850463867,0.9738863700574473,1,1
DouBanLv1,0000,SEEM,0.9735795893160414,0.966379433270349,0.30921755711233034,375.1916198730469,0.0,0,1
DouBanLv1,0025,SAM,0.9823542819725178,0.9792047082635327,0.44090164155770883,41.32480239868164,0.981448275862069,1,1
DouBanLv1,0025,SEEM,0.9466566533585211,0.938427852051338,0.21576739635083889,180.37875366210938,0.0,0,1
DouBanLv1,0075,SAM,0.9841494599931195,0.981383203056567,0.3938269403692496,20.48288345336914,0.9749582017462382,1,1
DouBanLv1,0075,SEEM,0.966411718269681,0.9609741240751795,0.2521793475022118,166.65809631347656,0.0,0,1
DouBanLv1,0100,SAM,0.9840858148494886,0.9824290027790313,0.4486715134017003,20.40082550048828,0.998121897777579,1,1
DouBanLv1,0100,SEEM,0.9321135248668032,0.9279404141623813,0.2425915576075969,185.2700958251953,0.0,0,1
KongQueZhuYu,0000,SAM,0.9803474136477266,0.9749768267247689,0.2933892292079982,15.027199745178223,0.9682584112411129,1,1
KongQueZhuYu,0000,SEEM,0.9340414341298464,0.9176811337609798,0.1518136222287523,270.605712890625,0.0,1,1
KongQueZhuYu,0025,SAM,0.9872046180248293,0.9806487562991093,0.35349285212062864,16.01729965209961,0.0,1,0
KongQueZhuYu,0025,SEEM,0.9218394548351174,0.8898055150799498,0.14488015161972514,431.8095397949219,0.0,0,0
KongQueZhuYu,0050,SAM,0.9828178244563339,0.9779910875900498,0.3258592127423667,19.170202255249023,0.9951735885788449,1,1
KongQueZhuYu,0050,SEEM,0.9666388678855576,0.9577209425710097,0.15151067629123655,389.99114990234375,0.0,0,1
KongQueZhuYu,0075,SAM,0.9795876404022884,0.972927372055026,0.2788976490562906,208.54473876953125,0.9717026895919797,1,1
KongQueZhuYu,0075,SEEM,0.9265820177577428,0.9069160663316934,0.09196036362536068,424.0205383300781,0.0,1,1
KongQueZhuYu,0100,SAM,0.9854801824615338,0.9797551797649966,0.34893066102327897,17.386600494384766,0.9708693930652186,1,1
KongQueZhuYu,0100,SEEM,0.9753380121735684,0.9654906283021363,0.22001808091721667,379.3013610839844,0.0,0,1
XianKeLai1,0000,SAM,0.9794810396202447,0.9753608793201778,0.4081144232756834,107.76045227050781,0.9867963227484159,1,1
XianKeLai1,0000,SEEM,0.9618934879981245,0.9548536125778688,0.3450288262365453,266.0886535644531,0.0,0,1
