variant,gaussians_30000,PSNR,SSIM,LPIPS,PSNR_fg,SSIM_fg,LPIPS_fg_black_bg,leakage_energy_ratio_mean,outside_nonblack_ratio_mean
A6,370844,5.134393838735727,0.10760365383556256,0.7065905928611755,25.08328753251296,0.8121169255330012,0.024955404850725945,0.008134688805932036,0.01465627749880346
A6+M4,284757,5.134081308658306,0.10739824204490735,0.707016619352194,25.030347457298866,0.8107896034534161,0.02511114666524988,0.008034593658521771,0.0143635743118536
Delta A6+M4 - A6,-86087,-0.0003125300774211581,-0.00020541179065521054,0.0004260264910184164,-0.052940075214092275,-0.0013273220795850804,0.00015574181452393532,-0.00010009514741026425,-0.00029270318694985843
