method,frame,mask_path,gt_path,precision,recall,f1,miou,iou_fg,hd95_px,boundary_f1,area_ratio,component_count,temporal_iou,outside_nonblack_ratio,leakage_energy
GroundedSAM1_Plant,XianKeLai1_0000,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/method_masks/GroundedSAM1_Plant/mask_XianKeLai1_0000.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/gt_masks/mask_XianKeLai1_0000.png,0.9930960248689643,0.9396496632638013,0.9656338659415398,0.958976460191258,0.9335513162566129,187.14462280273438,0.499696465464031,0.18100272472993828,1,0.3565439671144236,0.0015452395143609626,0.0012496383101851852
GroundedSAM2_Plant,KongQueZhuYu_0000,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/method_masks/GroundedSAM2_Plant/mask_KongQueZhuYu_0000.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/gt_masks/mask_KongQueZhuYu_0000.png,0.3916440849226671,0.6988347691486577,0.5019712260417071,0.4722161930418848,0.3350878399453779,402.50970458984375,0.30061743646189093,0.41999903549382717,5,,0.33416355478160725,0.25550889756944445
GroundedSAM2_Plant,KongQueZhuYu_0025,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/method_masks/GroundedSAM2_Plant/mask_KongQueZhuYu_0025.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/gt_masks/mask_KongQueZhuYu_0025.png,0.9946754367769691,0.8916670950176855,0.9403587548360667,0.9150047248617481,0.8874312500836896,372.8630676269531,0.18993875792847364,0.31328643422067903,2,0.20025318703871808,0.0025642703144196466,0.001668113425925926
GroundedSAM2_Plant,KongQueZhuYu_0050,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/method_masks/GroundedSAM2_Plant/mask_KongQueZhuYu_0050.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/gt_masks/mask_KongQueZhuYu_0050.png,0.9931353107256887,0.9299897277103306,0.9605258303458206,0.9504524734344171,0.9240497343626884,332.7536315917969,0.29740791735990857,0.22123878761574073,1,0.5361257016145797,0.001988552366396259,0.0015187355324074074
GroundedSAM2_Plant,KongQueZhuYu_0075,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/method_masks/GroundedSAM2_Plant/mask_KongQueZhuYu_0075.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/gt_masks/mask_KongQueZhuYu_0075.png,0.6877661809075385,0.8523424012260813,0.7612609720084828,0.7146674704019874,0.6145450775396863,583.73388671875,0.19120569804714804,0.33146520543981484,3,0.19226087933488129,0.14128259778306274,0.10349464699074074
GroundedSAM2_Plant,KongQueZhuYu_0100,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/method_masks/GroundedSAM2_Plant/mask_KongQueZhuYu_0100.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/gt_masks/mask_KongQueZhuYu_0100.png,0.8632450558658112,0.973676254984574,0.9151412291474382,0.884034933165267,0.843557939277435,442.18206787109375,0.33195651546089033,0.33511851369598766,4,0.25676085135594356,0.06520101810499984,0.04582911361882716
GroundedSAM2_Plant,XianKeLai1_0000,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/method_masks/GroundedSAM2_Plant/mask_XianKeLai1_0000.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/gt_masks/mask_XianKeLai1_0000.png,0.9946509460166875,0.9388259421113732,0.9659325303548559,0.9593341184658065,0.9341097739844098,291.70843505859375,0.563391664532202,0.1805613425925926,2,0.3461713982856143,0.0011942994452045993,0.0009658323688271605
RAP-FSAM3-v2,KongQueZhuYu_0000,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/method_masks/RAP-FSAM3-v2/mask_KongQueZhuYu_0000.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/gt_masks/mask_KongQueZhuYu_0000.png,0.9926868667039237,0.9635161707857894,0.9778840235554409,0.9717290097321665,0.9567251134817603,11.90939998626709,0.47116679370536907,0.22846100983796297,1,,0.0021850865086439266,0.0016707658179012346
RAP-FSAM3-v2,KongQueZhuYu_0025,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/method_masks/RAP-FSAM3-v2/mask_KongQueZhuYu_0025.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/gt_masks/mask_KongQueZhuYu_0025.png,0.9951649155820396,0.9851872192935278,0.9901509319021705,0.9850238866962007,0.9804939799243834,12.288599967956543,0.4958200175587316,0.3459743923611111,1,0.3959305110592537,0.0025714983096684443,0.0016728153935185186
RAP-FSAM3-v2,KongQueZhuYu_0050,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/method_masks/RAP-FSAM3-v2/mask_KongQueZhuYu_0050.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/gt_masks/mask_KongQueZhuYu_0050.png,0.9933015623918211,0.9663979269672354,0.9796650720797268,0.9739288133841768,0.9601406805474718,59.93295669555664,0.4157907177508395,0.22986159336419754,1,0.6079926041041027,0.002016019867527715,0.0015397135416666667
