图像,重提示分数,IoU下降,面积变化,SSIM下降,边界变化,是否标记
0000.jpg,0.0,0.0,0.0,0.0,0.0,0
0001.jpg,0.13771978819515904,0.22792160799327665,0.017660116210746327,0.20955086659640287,0.007629864638166145,0
0002.jpg,0.23504802312912162,0.49806839564054173,0.0023185268524716766,0.23470279559788032,0.009791693615626946,0
0003.jpg,0.14792130832923522,0.24450741359747952,0.007852967178746215,0.2381615862588915,0.005600501404719734,0
0004.jpg,0.08888686309380836,0.07921340598807725,0.014643747464177171,0.22908083550424452,0.0015401683725059646,0
0005.jpg,0.12290829038673658,0.1557702247231908,0.027127579835957386,0.24204285426428307,0.007307354723731266,0
0006.jpg,0.1284019137897873,0.1729203081866022,0.03583256789397116,0.23137138666022206,0.007192115239521564,0
0007.jpg,0.0889088123829424,0.0858621195591962,0.009816171205482765,0.2203293949525823,0.008804526651383133,0
0008.jpg,0.11790923768404532,0.1272947557456151,0.05248518322494778,0.2242954807059232,0.027739381269082004,0
0009.jpg,0.47504025607983735,0.6495404578652995,0.6446764399532381,0.23979895862627099,0.17721497454736868,0
0010.jpg,0.39914185474617625,0.4608139060892521,0.6666377078031993,0.215402393169966,0.11564641581097798,0
0011.jpg,0.2840197066355241,0.33994712968247764,0.4159942021479629,0.22615652152592902,0.030003535521226428,0
0012.jpg,0.30957458904887913,0.5311384412697419,0.1623235355588911,0.2366176323329292,0.15960561754342936,0
0013.jpg,0.2753680911244241,0.41860020583728796,0.2283599185714852,0.19057593989420651,0.16082702976633595,0
0014.jpg,0.24659190487013613,0.4110464336580787,0.16047732807072224,0.23094362531661838,0.032469431619822915,0
0015.jpg,0.1761375943762654,0.2667928597754915,0.10597071032338778,0.22125244658167675,0.00636202819051493,0
0016.jpg,0.1690625307742423,0.215094228460751,0.1127928861915229,0.2550545134726866,0.012118005979513938,0
0017.jpg,0.12055939549309315,0.11013633553350233,0.06076342960311444,0.26232960527721727,0.008256128908562728,0
0018.jpg,0.5036522962595922,0.8286144476256628,0.5232105360816209,0.31138333480683034,0.033258479123315664,0
0019.jpg,0.10165084369229886,0.09554296386571914,0.02129780246547181,0.24363604065369104,0.01318230373004299,0
0020.jpg,0.5946968445679408,0.7638584357004716,1.4325785404901583,0.28550195755871355,0.03980601788731504,0
0021.jpg,0.1942853327559236,0.3186250973960544,0.04031527368947757,0.2888826324697569,0.0031138141833064177,0
0022.jpg,0.19203851377583708,0.3029431920487681,0.05218441606274299,0.2899485736045748,0.003167660946258688,0
0023.jpg,0.11664055380813702,0.08291716376911085,0.07290824799264498,0.26546647645110844,0.020172435853399184,0
0024.jpg,0.13179084276007175,0.14664589839724274,0.044914256433286455,0.2698221648762493,0.011871153291019159,0
0025.jpg,0.15271518318064561,0.2348829904193498,0.0022214569414789735,0.27060684838452576,0.015327068015813287,0
0026.jpg,0.12875406171437573,0.1295539799369121,0.07007506340805471,0.2526210988022851,0.01824085455914371,0
0027.jpg,0.14321024144338104,0.14035099669633,0.11693836045672935,0.25429906313968376,0.008520244670415315,0
0028.jpg,0.09914639468372635,0.07615928587353205,0.045358634487514385,0.24379593096749663,0.0013466884282492893,0
0029.jpg,0.07553582834366353,0.03126184052877168,0.022415056671743403,0.22782736713393936,0.013557188047818311,0
0030.jpg,0.09753604791700984,0.06384328346133061,0.05182127268445381,0.24464948647259166,0.007154726108551717,0
0031.jpg,0.08911645102471144,0.0760432900970488,0.020716332969946072,0.22534464159580603,0.006573705662042249,0
0032.jpg,0.4192867063272853,0.6143002753780964,0.5538027083175825,0.22916560095612037,0.0569302175101727,0
0033.jpg,0.22524552961675146,0.23341991044142862,0.20590319955515984,0.21213763324217128,0.2602556850861245,0
0034.jpg,0.5296726871519087,0.6158169981455583,1.1359987809366998,0.19362840525527825,0.10486424324762486,0
0035.jpg,0.12655471964748635,0.11212557889834085,0.08100187801169804,0.19703505231950458,0.11867689633510939,0
0036.jpg,0.08165652015040069,0.06848357724392284,0.020111805061976715,0.20455553385434366,0.010136222572984103,0
0037.jpg,0.144783524676076,0.23302444610337347,0.03278832716973002,0.20816756279144588,0.01990664033067543,0
0038.jpg,0.3616832820060207,0.47791472274447,0.5100116647257356,0.2390979121618495,0.0475715654903994,0
0039.jpg,0.4096540833791766,0.5459113224438061,0.5198291011014513,0.26335482703320456,0.15192758993453612,0
0040.jpg,0.42970930972681365,0.6424423130037411,0.5728797409048797,0.22837168479783265,0.030277624998841023,0
0041.jpg,0.24740111322438563,0.5161705352175874,0.0027376519844886722,0.24403940101781285,0.033647750984364476,0
0042.jpg,0.5132234559944788,0.6187333233895159,1.0818683536658644,0.17586572363728392,0.018002412658848718,0
0043.jpg,0.1273931669242654,0.2206901844081588,0.024838294282204198,0.17072475423095634,0.008405601687464435,0
0044.jpg,0.1967146958609498,0.411519510597267,0.010895577787694996,0.19149645016640315,0.013899067755878848,0
0045.jpg,0.18083540336713877,0.3489243888061627,0.03675419473254607,0.18048555645382292,0.02934619658926378,0
0046.jpg,0.08778313127805078,0.12350691503081423,0.01855586759772289,0.15709517418823293,0.004286337138512331,0
0047.jpg,0.18501452804047816,0.28995327518803116,0.14071762309646255,0.18991507587787504,0.005818046540552335,0
0048.jpg,0.213309411468998,0.39839637083224433,0.06722108952459424,0.2043193951536204,0.03990373672105908,0
0049.jpg,0.11933058972737871,0.20497014684524772,0.014993427113415912,0.16953383337876937,0.009728154723304717,0
0050.jpg,0.18612642161758494,0.2628911533206585,0.14154110258436817,0.23193705027175915,0.004966531608817677,0
