sample,frame,image,mask,detector_id,sam_model,prompt,box_threshold,text_threshold,num_boxes,best_score,boxes_xyxy,foreground_ratio
KongQueZhuYu,0000,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/KongQueZhuYu_0000.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/GroundedSAM2_potted/mask_KongQueZhuYu_0000.png,IDEA-Research/grounding-dino-base,facebook/sam2.1-hiera-large,potted plant.,0.2,0.2,3,0.49420756101608276,49.0 599.8 2156.5 2524.4;6.0 1615.7 388.6 2723.8;10.6 1430.2 399.1 2721.6,0.18897991415895063
KongQueZhuYu,0025,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/KongQueZhuYu_0025.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/GroundedSAM2_potted/mask_KongQueZhuYu_0025.png,IDEA-Research/grounding-dino-base,facebook/sam2.1-hiera-large,potted plant.,0.2,0.2,1,0.7202767133712769,3.4 798.9 2161.0 3183.2,0.3070234133873457
KongQueZhuYu,0050,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/KongQueZhuYu_0050.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/GroundedSAM2_potted/mask_KongQueZhuYu_0050.png,IDEA-Research/grounding-dino-base,facebook/sam2.1-hiera-large,potted plant.,0.2,0.2,1,0.7346421480178833,-4.6 961.7 1923.2 3055.9,0.22127700617283952
KongQueZhuYu,0075,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/KongQueZhuYu_0075.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/GroundedSAM2_potted/mask_KongQueZhuYu_0075.png,IDEA-Research/grounding-dino-base,facebook/sam2.1-hiera-large,potted plant.,0.2,0.2,1,0.7128531336784363,-5.5 246.2 1620.2 2370.6,0.2602225597993827
KongQueZhuYu,0100,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/KongQueZhuYu_0100.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/GroundedSAM2_potted/mask_KongQueZhuYu_0100.png,IDEA-Research/grounding-dino-base,facebook/sam2.1-hiera-large,potted plant.,0.2,0.2,3,0.5392252206802368,244.6 390.0 2167.8 2713.8;5.7 -12.2 897.4 817.0;10.8 13.8 916.3 1271.0,0.32829185956790125
DouBanLv1,0000,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/DouBanLv1_0000.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/GroundedSAM2_potted/mask_DouBanLv1_0000.png,IDEA-Research/grounding-dino-base,facebook/sam2.1-hiera-large,potted plant.,0.2,0.2,1,0.7030982971191406,205.8 227.5 1884.9 2406.1,0.2159864486882716
DouBanLv1,0025,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/DouBanLv1_0025.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/GroundedSAM2_potted/mask_DouBanLv1_0025.png,IDEA-Research/grounding-dino-base,facebook/sam2.1-hiera-large,potted plant.,0.2,0.2,1,0.7279608845710754,425.8 655.7 1680.2 2615.0,0.1589086612654321
DouBanLv1,0050,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/DouBanLv1_0050.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/GroundedSAM2_potted/mask_DouBanLv1_0050.png,IDEA-Research/grounding-dino-base,facebook/sam2.1-hiera-large,potted plant.,0.2,0.2,1,0.7502124309539795,842.6 1059.5 1888.8 2543.0,0.07898811246141975
DouBanLv1,0075,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/DouBanLv1_0075.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/GroundedSAM2_potted/mask_DouBanLv1_0075.png,IDEA-Research/grounding-dino-base,facebook/sam2.1-hiera-large,potted plant.,0.2,0.2,1,0.7589921951293945,184.5 807.1 1552.1 2684.2,0.15869273244598767
DouBanLv1,0100,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/DouBanLv1_0100.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/GroundedSAM2_potted/mask_DouBanLv1_0100.png,IDEA-Research/grounding-dino-base,facebook/sam2.1-hiera-large,potted plant.,0.2,0.2,1,0.7128317952156067,248.7 675.1 1371.2 2139.3,0.1044920669367284
