sample,role,fg_psnr,fg_ssim,fg_lpips_black_bg,outside_nonblack_ratio_mean,leakage_energy_ratio_mean,gaussians_30000
KongQueZhuYu,复杂背景/主样本,25.007228992603444,0.8547798549687421,0.04384410257140795,0.029438171466743504,0.018883968703448772,591623
XianKeLai1,薄叶/细结构,23.727610661433292,0.8278282789083627,0.030883122163896378,0.04835627048921127,0.037885093273451693,253827
CaoMei2,密集叶/遮挡,25.08328753251296,0.8121169255330012,0.024955404850725945,0.01465627749880346,0.008134688805932036,370844

