样本,帧,类别,早前F1,plant_only_IoU,plant_only_F1,plant_only_Prec,plant_only_Recall,plant_plus_pot_IoU,plant_plus_pot_F1,plant_plus_pot_Prec,plant_plus_pot_Recall
CaoMei1,0100,失败→修复,0.229,0.9774,0.9886,0.9965,0.9808,0.8985,0.9465,0.9965,0.9014
ChangShouHua2,0100,失败→修复,0.436,0.9314,0.9645,0.9937,0.9369,0.9201,0.9584,0.9937,0.9255
DouBanLv1,0000,失败→修复(GT混标),0.481,0.9791,0.9895,0.9984,0.9807,0.9429,0.9706,0.9984,0.9443
