image_stem,source_mask,output_mask,orig_area,clean_area,delta_pixels,components_after
0084,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0084.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0084.png,3065670,3042940,-22730,1
0085,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0085.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0085.png,2970455,2948459,-21996,1
0086,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0086.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0086.png,2799603,2779078,-20525,1
0087,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0087.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0087.png,2804064,2783705,-20359,1
0088,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0088.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0088.png,2754153,2734337,-19816,1
0089,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0089.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0089.png,2778324,2758204,-20120,1
0090,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0090.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0090.png,2791337,2771304,-20033,1
0091,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0091.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0091.png,2766499,2746461,-20038,1
0092,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0092.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0092.png,2849350,2828874,-20476,1
0093,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0093.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0093.png,2847635,2827114,-20521,1
0094,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0094.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0094.png,2790871,2770827,-20044,1
0095,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0095.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0095.png,2594847,2575646,-19201,1
0096,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0096.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0096.png,2487627,2468890,-18737,1
0097,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0097.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0097.png,2432718,2414442,-18276,1
0098,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0098.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0098.png,2410687,2392543,-18144,1
0099,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0099.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0099.png,2381916,2364142,-17774,1
0100,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0100.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0100.png,2403539,2385811,-17728,1
0101,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0101.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0101.png,2480889,2463261,-17628,1
0102,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0102.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0102.png,2514276,2496769,-17507,1
0103,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0103.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0103.png,2450580,2433129,-17451,1
0104,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0104.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0104.png,2390470,2373077,-17393,1
0105,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0105.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0105.png,2384568,2367315,-17253,1
0106,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0106.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0106.png,2611544,2593513,-18031,1
0107,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0107.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0107.png,2846192,2829472,-16720,1
0108,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0108.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0108.png,2734636,2719212,-15424,1
0109,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0109.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0109.png,2662098,2648462,-13636,1
0110,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0110.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0110.png,2616932,2605673,-11259,1
0111,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0111.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0111.png,2705230,2701202,-4028,1
0112,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0112.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0112.png,2854304,2854444,140,1
0113,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0113.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0113.png,2762867,2762984,117,1
0114,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0114.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0114.png,2681615,2681769,154,1
0115,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0115.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0115.png,2675745,2675869,124,1
0116,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0116.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0116.png,2660045,2660178,133,1
0117,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0117.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0117.png,2752801,2752945,144,1
0118,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0118.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0118.png,2801316,2801481,165,1
0119,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0119.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0119.png,2672889,2673058,169,1
0120,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0120.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0120.png,2612313,2612452,139,1
0121,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0121.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0121.png,2621618,2621756,138,1
0122,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0122.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0122.png,2620237,2620346,109,1
0123,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0123.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0123.png,2714381,2714541,160,1
0124,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0124.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0124.png,2893629,2893756,127,1
0125,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0125.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0125.png,2811555,2811703,148,1
0126,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0126.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0126.png,2843607,2843706,99,1
0127,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0127.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0127.png,2812175,2812313,138,1
0128,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0128.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0128.png,2731846,2731946,100,1
0129,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0129.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0129.png,2820018,2820143,125,1
0130,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0130.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0130.png,2776499,2776631,132,1
0131,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0131.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0131.png,2610427,2610541,114,1
0132,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0132.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0132.png,2586544,2586659,115,1
0133,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0133.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0133.png,2667309,2667445,136,1
0134,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0134.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0134.png,2728427,2728539,112,1
0135,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0135.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0135.png,2871773,2871903,130,1
0136,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0136.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0136.png,2705720,2705846,126,1
0137,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0137.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0137.png,2575388,2575520,132,1
0138,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0138.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0138.png,2520994,2521107,113,1
0139,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0139.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0139.png,2483569,2483670,101,1
0140,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0140.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0140.png,2581748,2581878,130,1
0141,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0141.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0141.png,2685292,2685428,136,1
0142,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0142.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0142.png,2506620,2506738,118,1
0143,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0143.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0143.png,2403934,2404066,132,1
0144,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0144.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0144.png,2382704,2382832,128,1
0145,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0145.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0145.png,2401719,2401873,154,1
0146,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0146.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0146.png,2397279,2397424,145,1
0147,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0147.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0147.png,2553626,2553784,158,1
0148,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0148.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0148.png,2416128,2416277,149,1
0149,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0149.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0149.png,2392076,2392195,119,1
0150,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0150.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0150.png,2394220,2394370,150,1
0151,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0151.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0151.png,2404489,2404622,133,1
0152,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0152.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0152.png,2472821,2472952,131,1
0153,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0153.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0153.png,2414103,2397581,-16522,1
0154,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0154.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0154.png,2408623,2391170,-17453,1
0155,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0155.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0155.png,2466878,2449321,-17557,1
0156,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0156.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0156.png,2440251,2422174,-18077,1
0157,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0157.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0157.png,2147793,2130907,-16886,1
0158,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0158.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0158.png,2067032,2051035,-15997,1
0159,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0159.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0159.png,2052114,2035854,-16260,1
0160,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0160.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0160.png,1941619,1925759,-15860,1
0161,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0161.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0161.png,1925584,1909866,-15718,1
0162,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0162.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0162.png,2003172,1986357,-16815,1
0163,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0163.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0163.png,1956088,1940015,-16073,1
0164,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0164.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0164.png,1883847,1868541,-15306,1
0165,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0165.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0165.png,1997397,1981596,-15801,1
0166,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0166.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0166.png,2163454,2146869,-16585,1
0167,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0167.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0167.png,2479654,2461855,-17799,1
0168,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0168.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0168.png,2694270,2674875,-19395,1
0169,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0169.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0169.png,2775567,2752179,-23388,1
0170,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0170.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0170.png,3061274,3031635,-29639,1
0171,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0171.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0171.png,2834348,2807317,-27031,1
0172,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0172.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0172.png,2536455,2512657,-23798,1
0173,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0173.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0173.png,2427777,2404558,-23219,1
0174,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0174.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0174.png,2402547,2380043,-22504,1
0175,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0175.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0175.png,2379336,2356565,-22771,1
0176,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0176.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0176.png,2366998,2344765,-22233,1
0177,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0177.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0177.png,2376157,2353270,-22887,1
