运行,输出目录,图像数,候选数,空候选数,最终空掩膜数,选择提示词分布,平均前景面积比例,SPNP接受数,几何low数,几何missing数_本次处理帧,几何有效均值,重提示标记数
KongQueZhuYu_A5_10帧,00-论文优化重构/数据管理/03-分割Mask/05-RAP-FSAM3掩膜/KongQueZhuYu_A5_完整RAP-FSAM3_最新SAM3_小批量10帧,10,50,14,0,"{""P2"": 8, ""P3"": 2}",0.238208,10,10,0,0.596611,10
XianKeLai1_A5_1帧,00-论文优化重构/数据管理/03-分割Mask/05-RAP-FSAM3掩膜/XianKeLai1_A5_完整RAP-FSAM3_最新SAM3_细结构冒烟1帧,1,5,1,0,"{""P3"": 1}",0.146403,1,0,0,0.975197,0
