设置编号,设置名称,多提示词候选,语义门控选择,结构化正负提示,重建一致性修正,保护性后处理与日志,样本范围,序列数,帧数,F1,mIoU,HD95像素,边界F分数,时序IoU,面积变异系数,每帧连通域数,外部非黑比例,泄漏能量,几何内点覆盖率,几何修正像素比例,PSNR_fg,SSIM_fg,LPIPS_fg,高斯数量,备注
A0,SAM3单提示词P2,否,否,否,否,基础清理,KongQueZhuYu GT5 完整sam3_if_supported重跑,1,5,0.972268,0.962618,114.23,0.347889,0.401749,0.190915,1.000000,0.007309,0.005283,不适用,0,待下游2DGS,待下游2DGS,待下游2DGS,待下游2DGS,基线；5帧均完整输出
A1,旧多提示词选择,是,否,否,否,基础清理,KongQueZhuYu GT5 完整sam3_if_supported重跑,1,5,0.972268,0.962618,114.23,0.347889,0.401749,0.190915,1.000000,0.007309,0.005283,不适用,0,待下游2DGS,待下游2DGS,待下游2DGS,待下游2DGS,5/5 仍选择 P2；在本 GT5 上与 A0 持平；XianKeLai1 GT1 诊断显示旧 A1 可能选错 P3
A1s,语义门控多提示词选择,是,是,否,否,基础清理,KongQueZhuYu GT5 完整sam3_if_supported重跑,1,5,0.972268,0.962618,114.23,0.347889,0.401749,0.190915,1.000000,0.007309,0.005283,不适用,0,待下游2DGS,待下游2DGS,待下游2DGS,待下游2DGS,KongQueZhuYu GT5 仍稳定选择 P2；XianKeLai1 GT1 已把旧 A1 的 P3 错选修正为 P2
A2,A1s+结构化正负提示,是,是,是,否,基础清理,KongQueZhuYu GT5 完整sam3_if_supported重跑,1,5,0.982026,0.975619,84.09,0.428347,0.412628,0.163043,1.000000,0.001898,0.001372,不适用,0,待下游2DGS,待下游2DGS,待下游2DGS,待下游2DGS,完整 sam3_if_supported A2 后端有效；相对 A0 F1 +0.0098、mIoU +0.0130、泄漏能量下降约74%
A5c,完整RAP-FSAM3-v2,是,是,是,是,残差保底/重提示日志/几何日志,KongQueZhuYu GT5 完整sam3_if_supported重跑,1,5,0.982031,0.975623,83.76,0.432007,0.412769,0.162976,1.000000,0.002013,0.001455,0.988294,0.000166,待下游2DGS,待下游2DGS,待下游2DGS,待下游2DGS,5/5 几何修正接受且产生可解释 delta；相对 A2 边界F和HD95小幅改善；不宣称所有GT指标大幅提升
