提示词编号,提示词文本,样本范围,序列数,帧数,标注帧数,F1,mIoU,HD95像素,边界F分数,时序IoU,面积变异系数,每帧连通域数,外部非黑比例,泄漏能量,主要失败模式,备注
P1,green plant,KongQueZhuYu_GT5,1,5,5,0.875502,0.850033,466.605672,0.321659,0.367388,0.246207,1.000000,0.000976,0.000705,召回不足，部分绿色区域边界偏保守,基于 03-GT/KongQueZhuYu 的 0000/0025/0050/0075/0100 五帧闭合 linestrip GT
P2,entire plant excluding pot,KongQueZhuYu_GT5,1,5,5,0.972268,0.962618,114.227540,0.347889,0.401749,0.190915,1.000000,0.007309,0.005283,本子集最稳定，但仍有少量花盆/背景泄漏,基于 03-GT/KongQueZhuYu 的 0000/0025/0050/0075/0100 五帧闭合 linestrip GT
P3,leaves and stems,KongQueZhuYu_GT5,1,5,5,0.756112,0.737475,1282.976175,0.258789,0.208212,0.577582,0.800000,0.005396,0.003901,粗茎/主体召回不足,基于 03-GT/KongQueZhuYu 的 0000/0025/0050/0075/0100 五帧闭合 linestrip GT
P4,crop seedling,KongQueZhuYu_GT5,1,5,5,0.000000,0.361431,4405.814340,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,成熟植株欠分割，基本空掩膜,基于 03-GT/KongQueZhuYu 的 0000/0025/0050/0075/0100 五帧闭合 linestrip GT
P5,plant body without background,KongQueZhuYu_GT5,1,5,5,0.672768,0.673824,2023.139616,0.212296,0.080697,0.871575,0.600000,0.000527,0.000381,去背景较保守，主体召回不足,基于 03-GT/KongQueZhuYu 的 0000/0025/0050/0075/0100 五帧闭合 linestrip GT
多提示词选择,可靠性最高候选掩膜,KongQueZhuYu_GT5,1,5,5,0.972268,0.962618,114.227540,0.347889,0.401749,0.190915,1.000000,0.007309,0.005283,本子集全选 P2，等价于 P2,基于 03-GT/KongQueZhuYu 的 0000/0025/0050/0075/0100 五帧闭合 linestrip GT
