# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 152, mean track length: 2
102 0.82755439897151695 -4.1621792350936211 47.213124571221257 216 233 227 0.056868470627069345 190 8962 160 10407
101 0.52293680058790404 -4.1779726518118716 47.32876880386852 136 180 147 0.51431040029398767 190 8961 160 10400
100 0.84075588922055133 -4.2920427171544855 46.979173717717664 216 231 228 0.13750941380800069 190 8955 160 10398
99 1.2994447038270276 -4.3641881546764605 46.469434062663261 133 179 133 0.57888698643859438 190 8951 160 10401
98 -2.9850117591371208 3.4646731019369197 52.941787927908152 215 236 217 0.59270592480028461 190 8882 160 9695
97 -3.0422715338197714 3.4389340094192673 52.957282440258204 171 206 165 0.15287661804607075 190 8881 160 9694
96 -3.0090987268470215 2.9250490209799915 54.194939806980415 205 230 211 0.36341814225705849 190 8874 160 9690
95 -3.0090987268470215 2.9250490209799915 54.194939806980415 205 230 211 0.36341814225705849 190 8873 160 9689
94 -3.5867411028668799 2.5336510789151565 54.864980455571192 199 222 206 0.41695978103369136 190 8864 160 9676
93 -3.7008924490587352 2.5232969047869238 54.814558932943854 211 229 221 0.50978462868171381 190 8863 160 9675
92 -3.6288164609404721 2.3587875482997367 55.125774694749111 187 212 190 0.28777135606065163 190 8855 160 9670
91 -3.7308915038210819 -0.28353910049740316 57.106454070203149 202 221 219 0.12002459849664865 190 8815 160 8335
90 -3.0526530142137389 -0.34055389462875141 56.98396253778845 132 166 154 0.45472295801450718 190 8808 160 8377
89 -2.5245810934576953 -0.61916123158586034 57.107566084398201 110 147 116 0.48042949151017644 190 8789 160 9423
88 2.5612008149874881 -1.2352848549644688 55.287814554006623 198 216 210 0.55224898838555225 190 8727 160 9569
87 0.24532465406942558 -3.5674704782326776 48.183038517863167 210 232 221 0.71816667101104681 190 8537 160 9832
86 0.12054948025039536 -3.6990183227916416 48.024567970740094 216 238 227 0.083236569498986085 190 8527 160 9816
85 1.1283032323627613 -4.0914361213321619 47.090424730524845 140 178 146 0.055636616019106362 190 8501 160 8950
84 -1.3578071775521285 -4.2959019332252293 46.69154148070281 239 225 238 1.5337180912663979 190 8489 160 9734
83 1.3733543464662954 -4.3779243604997173 46.306016716353078 212 233 217 0.27839086947023162 190 8477 160 9780
82 -3.1627445601654185 2.8038626394309802 54.493420286764426 133 177 116 0.62523090220156585 190 8355 160 8760
81 -3.5647709823050842 2.6952389607875324 54.561346995094603 203 227 211 0.044369249133610983 190 8354 160 8749
80 -3.4631625980417984 2.2589374869771714 55.184363129356619 167 202 174 0.050267969069155934 190 8343 160 9669
79 -3.4207281442788613 2.1645276615313516 55.358759577397471 161 195 159 0.16146957316502669 190 8338 160 8734
78 -3.7949883569208502 1.9143132938401977 55.704421793582881 137 175 146 1.1085892809791642 190 8334 160 8717
145 0.68497839035271502 -3.7866189263370611 47.756922256826385 114 160 124 2.2779346689356843 190 9686 160 11108
18 0.38913521514038835 -3.198875225414425 48.46945328211671 161 193 169 0.24757470469323048 190 5553 160 3507
17 0.29867060411137542 -3.2252825987799807 48.410170692283742 152 192 152 0.10852853487427266 190 5548 160 5908
144 0.72001761972169676 -4.2466412884088349 47.164588924671413 123 172 122 0.4042455915273413 190 9676 160 11082
16 0.24533329498745943 -3.4479194233018422 48.247704194357198 152 184 162 0.11560728590913924 190 5503 160 3446
143 -3.0879566904924176 2.783659909237405 54.435594603779727 118 164 117 0.17320777359212461 190 9646 160 11050
15 1.1810428730939868 -4.1737169864292376 46.922327622873482 170 197 180 0.0029086169030703856 190 5378 160 5767
142 -2.8073297524913401 2.5788292938254886 54.128795415005477 95 135 111 0.70695630008865762 190 9645 160 11263
14 1.0667295555453749 -4.2296792098694844 46.937120427423537 175 202 185 0.48829559222442115 190 5370 160 5748
141 -2.337138081964838 -0.53962009331285454 56.79340735513177 186 206 197 1.3366145759151693 190 9619 160 10654
13 0.97196239470726775 -4.230108835205999 46.979382617513878 179 203 190 0.29150844818084898 190 5369 160 5739
140 -3.0377265203663 -0.83276617175811207 57.865269527905973 188 210 197 0.35432489688507529 190 9609 160 10629
