state,variant,total_gaussians,total_gaussians_1e5,avg_PSNR_fg,avg_SSIM_fg,avg_LPIPS_fg,avg_outside,avg_leakage,delta_vs_before,percent_delta_vs_before
Before (Full config),A6,1216294,12.16294,24.606033333333333,0.8315666666666667,0.03323333333333333,0.030833333333333334,0.021633333333333334,0,0
After (Compact),A6+M1-soft+M4,997049,9.97049,24.540366666666667,0.8304666666666667,0.0335,0.029966666666666666,0.021033333333333334,-219245,-18.025658270122193
