sample,before_gaussians,after_gaussians,delta_gaussians,percent_delta,delta_PSNR_fg,delta_SSIM_fg,delta_LPIPS_fg,delta_outside,delta_leakage
CaoMei2,370844,246452,-124392,-33.54294528157392,-0.11149999999999949,-0.0020000000000000018,0.0001999999999999988,-0.0011000000000000003,-0.0004999999999999996
KongQueZhuYu,591623,530936,-60687,-10.257714794725695,-0.06490000000000151,-0.0008000000000000229,0.00030000000000000165,-0.0009999999999999974,-0.0006999999999999992
XianKeLai1,253827,219661,-34166,-13.460348977847117,-0.020599999999998175,-0.0004999999999999449,0.0002999999999999982,-0.0005000000000000004,-0.0006000000000000033
