图像,重提示分数,IoU下降,面积变化,SSIM下降,边界变化,是否标记
0000.jpg,0.0,0.0,0.0,0.0,0.0,0
0001.jpg,0.18839439463503485,0.2117761380447779,0.07745047341613259,0.35644466607853176,0.03865974297130994,0
0002.jpg,0.1586787719345614,0.15401462589820714,0.020061468539849126,0.35365776975272767,0.07562562198029818,0
0003.jpg,0.15231574937749598,0.16418583413780863,0.011412215188060753,0.34877325162499884,0.032028938173320406,0
0004.jpg,0.2504324093895247,0.4104667254055723,0.00011587803054320458,0.3803481653878562,0.07768696428649727,0
0005.jpg,0.16432102654640382,0.20905020414921383,0.0100222882789644,0.34791630694625575,0.01112537525249301,0
0006.jpg,0.3834429915806407,0.4546908012840566,0.5391051843697882,0.35653467336699296,0.0026083113135041,0
0007.jpg,0.15387806115844105,0.167472770448574,0.02583085552570362,0.3475474705835857,0.012786733160785557,0
0008.jpg,0.18935638459950796,0.2588402257100699,0.027688774754048465,0.34669669939776937,0.034439580420193655,0
0009.jpg,0.15509973279708703,0.1660600913906749,0.01725680158176953,0.3449142048513356,0.04290632801383006,0
