图像,提示词编号,提示词文本,总分,面积得分,连通域得分,边界得分,时序得分,前背景对比得分,面积比例,连通域数量,边界密度,时序IoU,前背景对比,SAM3原始分数
0000.jpg,P1,green plant,0.7107896720136069,0.37566355582903577,1.0,0.6404561799904935,1.0,0.5378286242485046,0.15838710455246913,1,11.22774145187711,1.0,0.13445715606212616,0.326172;0.371094;0.423828;0.328125;0.808594;0.882812;0.470703;0.310547;0.359375
0000.jpg,P2,entire plant excluding pot,0.7563033469563974,0.5436439043209875,1.0,0.6587875400290231,1.0,0.5790852904319763,0.22473934220679012,1,10.358801259536412,1.0,0.14477132260799408,0.789062;0.972656
0000.jpg,P3,leaves and stems,0.7248211089954928,0.4110673420651664,1.0,0.6467629639215137,1.0,0.5662752389907837,0.17237160011574074,1,10.923230171891927,1.0,0.14156880974769592,0.306641;0.302734;0.416016;0.316406;0.742188;0.318359;0.867188;0.333984;0.306641
0000.jpg,P4,crop seedling,0.5904761904761905,0.0,1.0,0.9523809523809523,1.0,0.0,0.0,0,1.0,1.0,0.0,
0000.jpg,P5,plant body without background,0.7091864672408839,0.3749380396350992,1.0,0.6362457423395835,1.0,0.5347485542297363,0.1581005256558642,1,11.43439502865136,1.0,0.13368713855743408,0.480469;0.613281
