policy,DEV10_mean_F1,catastrophic_failures,oracle_regret_mean,DEV10_material_regressions_nonfail,Easy21_material_regressions,selection_churn_DEV10_pct,selection_churn_Easy21_pct,winner_note
R0 (baseline),0.6767,3,0.2961,0,0,0.0,0.0,
R1,0.9728,0,0.0000,0,0,30.0,0.0,"R1 selected by decision order (rescue→non-regression→regret→churn→simplicity), NOT highest mean F1"
R2,0.9728,0,0.0000,0,0,30.0,0.0,
R3,0.9728,0,0.0000,0,0,30.0,0.0,
