variant,label,A6,A7,F1_mean,F1_median,material_regressions,code_state
V00,V00 Control,OFF,OFF,0.983498,0.983911,0,Phase14
V10,V10 A6,ON,OFF,0.9807,0.9836,1,Phase14
V01,V01-R1 A7,OFF,ON,0.9836,0.985,0,Phase14.1 (corrected)
V11,V11-R1 A6+A7,ON,ON,0.9807,0.9833,1,Phase14.1 (corrected)
