paper_label,value,source_file,source_column,filter,aggregation,source_commit
ABL_R2_DEV10_mean_F1,0.9728100000000002,阶段十七C_候选排序修复开发/Phase17C_policy_comparison.csv,new_F1,source=DEV10 & policy=R2,mean,d704faa8
ABL_R2_catastrophic,0,阶段十七C_候选排序修复开发/Phase17C_policy_comparison.csv,new_F1,policy=R2 & new_F1==0,count,d704faa8
ABL_R2_oracle_regret,0.0,阶段十七C_候选排序修复开发/Phase17C_policy_comparison.csv,regret,source=DEV10 & policy=R2,mean,d704faa8
ABL_R2_Easy21_material_regressions,0,阶段十七C_候选排序修复开发/Phase17C_easy21_safety.csv,delta_F1,policy=R2 & delta<-0.005,count,d704faa8
ABL_R2_churn_DEV10,30.0,阶段十七C_候选排序修复开发/Phase17C_policy_comparison.csv|/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七C_候选排序修复开发/Phase17C_selection_churn.csv,changed,source=DEV10 & policy=R2,changed/10*100,
ABL_R3_DEV10_mean_F1,0.9728100000000002,阶段十七C_候选排序修复开发/Phase17C_policy_comparison.csv,new_F1,source=DEV10 & policy=R3,mean,d704faa8
ABL_R3_catastrophic,0,阶段十七C_候选排序修复开发/Phase17C_policy_comparison.csv,new_F1,policy=R3 & new_F1==0,count,d704faa8
ABL_R3_oracle_regret,0.0,阶段十七C_候选排序修复开发/Phase17C_policy_comparison.csv,regret,source=DEV10 & policy=R3,mean,d704faa8
ABL_R3_Easy21_material_regressions,0,阶段十七C_候选排序修复开发/Phase17C_easy21_safety.csv,delta_F1,policy=R3 & delta<-0.005,count,d704faa8
ABL_R3_churn_DEV10,30.0,阶段十七C_候选排序修复开发/Phase17C_policy_comparison.csv|/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七C_候选排序修复开发/Phase17C_selection_churn.csv,changed,source=DEV10 & policy=R3,changed/10*100,
ABN_A6_Easy21_dF1,-0.0028000000000000247,阶段十四点一_A7有效性封口/Phase14_1_manifest.json,variants.f1_mean,A6,mean(V)-mean(V00),79471fe7
ABN_A6_GT10_dF1,-0.007049000000000083,阶段十七A_10GT困难样本Pilot与无GT测试审计/04_metrics/trackA_summary.json,Pxx.f1_mean,A6,mean(Pxx)-mean(P00),d656851e
ABN_A7_Easy21_dF1,9.999999999998899e-05,阶段十四点一_A7有效性封口/Phase14_1_manifest.json,variants.f1_mean,A7,mean(V)-mean(V00),79471fe7
ABN_A7_GT10_dF1,0.0009799999999999809,阶段十七A_10GT困难样本Pilot与无GT测试审计/04_metrics/trackA_summary.json,Pxx.f1_mean,A7,mean(Pxx)-mean(P00),d656851e
ABN_A6+A7_Easy21_dF1,-0.0028000000000000247,阶段十四点一_A7有效性封口/Phase14_1_manifest.json,variants.f1_mean,A6+A7,mean(V)-mean(V00),79471fe7
ABN_A6+A7_GT10_dF1,-0.007049000000000083,阶段十七A_10GT困难样本Pilot与无GT测试审计/04_metrics/trackA_summary.json,Pxx.f1_mean,A6+A7,mean(Pxx)-mean(P00),d656851e
ABN_interaction_I_AB,-0.0001,阶段十四点一_A7有效性封口/Phase14_1_manifest.json,factorial.I_AB,—,single_value,79471fe7
ABN_E_A6,-0.0028,阶段十四点一_A7有效性封口/Phase14_1_manifest.json,factorial.E_A6,—,single_value,79471fe7
ABN_E_A7,0.0,阶段十四点一_A7有效性封口/Phase14_1_manifest.json,factorial.E_A7,—,single_value,79471fe7
