policy,mean_F1,median_F1,min_F1,catastrophic_F1_eq_0,material_regressions_nonfail_frames,evidence_label
"R0 (original ranking, baseline)",0.6767,0.9575,0.0000,3,0,"DESCRIPTIVE DEVELOPMENT/PILOT EVIDENCE, N=10 frames from 2 sequences (not held-out)"
R1 (winner),0.9728,0.9739,0.9536,0,0,"DESCRIPTIVE DEVELOPMENT/PILOT EVIDENCE, N=10 frames from 2 sequences (not held-out)"
