module,Easy21_dF1_mean,Easy21_material_regressions,GT10_dF1_mean,GT10_material_regressions,GT10_improvements,exposure,final_status,note
A6 (cross-view consensus),-0.0028,1,-0.0070,4,0,Easy21 min-frame limited,DEMOTED / DEFAULT OFF,"1 material regression Easy21 (ChangShouHua2_0075, ΔF1=-0.058)"
"A7 (memory propagation, corrected 14.1)",+0.0001,0,+0.0010,0,1,"valid propagation after 14.1 (V01-R1: 13 propagated, 9 selected)",DEMOTED / DEFAULT OFF,empirically near-neutral under valid exposure
A6+A7 (interaction),-0.0028,1,-0.0070,4,0,—,DEMOTED / DEFAULT OFF,I_AB = -0.0001 (no interaction)
