challenge_id,sample,frame,variant,difficulty_score,mask_path,pred_empty,tp,fp,fn,tn,precision,recall,f1,iou,pred_area,gt_area,area_ratio,delta_f1_vs_p00,material
HARD-DouBanLv2-0037,DouBanLv2,0037,P01,,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/02_trackA_variants/P01_A7/最终掩膜/mask_DouBanLv2_0037.png,False,1760534,4610,47051,6482205,0.997388,0.97397,0.98554,0.971493,1765144,1807585,0.9765,0.0,neutral
HARD-DouBanLv2-0037,DouBanLv2,0037,P11,,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/02_trackA_variants/P11_A6A7/最终掩膜/mask_DouBanLv2_0037.png,False,1760534,4610,47051,6482205,0.997388,0.97397,0.98554,0.971493,1765144,1807585,0.9765,0.0,neutral
HARD-DouBanLv2-0038,DouBanLv2,0038,P00,,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/02_trackA_variants/P00_Control/最终掩膜/mask_DouBanLv2_0038.png,False,1599718,8245,24572,6661865,0.994872,0.984872,0.989847,0.979898,1607963,1624290,0.9899,0.0,neutral
HARD-DouBanLv2-0038,DouBanLv2,0038,P10,,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/02_trackA_variants/P10_A6/最终掩膜/mask_DouBanLv2_0038.png,False,1599718,8245,24572,6661865,0.994872,0.984872,0.989847,0.979898,1607963,1624290,0.9899,0.0,neutral
HARD-DouBanLv2-0038,DouBanLv2,0038,P01,,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/02_trackA_variants/P01_A7/最终掩膜/mask_DouBanLv2_0038.png,False,1599718,8245,24572,6661865,0.994872,0.984872,0.989847,0.979898,1607963,1624290,0.9899,0.0,neutral
HARD-DouBanLv2-0038,DouBanLv2,0038,P11,,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/02_trackA_variants/P11_A6A7/最终掩膜/mask_DouBanLv2_0038.png,False,1599718,8245,24572,6661865,0.994872,0.984872,0.989847,0.979898,1607963,1624290,0.9899,0.0,neutral
HARD-DouBanLv2-0039,DouBanLv2,0039,P00,,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/02_trackA_variants/P00_Control/最终掩膜/mask_DouBanLv2_0039.png,False,0,296612,1510266,6487522,0.0,0.0,0.0,0.0,296612,1510266,0.1964,0.0,neutral
HARD-DouBanLv2-0039,DouBanLv2,0039,P10,,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/02_trackA_variants/P10_A6/最终掩膜/mask_DouBanLv2_0039.png,False,0,296612,1510266,6487522,0.0,0.0,0.0,0.0,296612,1510266,0.1964,0.0,neutral
HARD-DouBanLv2-0039,DouBanLv2,0039,P01,,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/02_trackA_variants/P01_A7/最终掩膜/mask_DouBanLv2_0039.png,False,0,296612,1510266,6487522,0.0,0.0,0.0,0.0,296612,1510266,0.1964,0.0,neutral
HARD-DouBanLv2-0039,DouBanLv2,0039,P11,,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/02_trackA_variants/P11_A6A7/最终掩膜/mask_DouBanLv2_0039.png,False,0,296612,1510266,6487522,0.0,0.0,0.0,0.0,296612,1510266,0.1964,0.0,neutral
HARD-DouBanLv2-0040,DouBanLv2,0040,P00,,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/02_trackA_variants/P00_Control/最终掩膜/mask_DouBanLv2_0040.png,False,0,375389,1420596,6498415,0.0,0.0,0.0,0.0,375389,1420596,0.2642,0.0,neutral
HARD-DouBanLv2-0040,DouBanLv2,0040,P10,,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/02_trackA_variants/P10_A6/最终掩膜/mask_DouBanLv2_0040.png,False,0,375389,1420596,6498415,0.0,0.0,0.0,0.0,375389,1420596,0.2642,0.0,neutral
HARD-DouBanLv2-0040,DouBanLv2,0040,P01,,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/02_trackA_variants/P01_A7/最终掩膜/mask_DouBanLv2_0040.png,False,0,375389,1420596,6498415,0.0,0.0,0.0,0.0,375389,1420596,0.2642,0.0,neutral
HARD-DouBanLv2-0040,DouBanLv2,0040,P11,,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/02_trackA_variants/P11_A6A7/最终掩膜/mask_DouBanLv2_0040.png,False,0,375389,1420596,6498415,0.0,0.0,0.0,0.0,375389,1420596,0.2642,0.0,neutral
HARD-DouBanLv2-0041,DouBanLv2,0041,P00,,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/02_trackA_variants/P00_Control/最终掩膜/mask_DouBanLv2_0041.png,False,0,241718,1349934,6702748,0.0,0.0,0.0,0.0,241718,1349934,0.1791,0.0,neutral
HARD-DouBanLv2-0041,DouBanLv2,0041,P10,,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/02_trackA_variants/P10_A6/最终掩膜/mask_DouBanLv2_0041.png,False,0,241718,1349934,6702748,0.0,0.0,0.0,0.0,241718,1349934,0.1791,0.0,neutral
HARD-DouBanLv2-0041,DouBanLv2,0041,P01,,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/02_trackA_variants/P01_A7/最终掩膜/mask_DouBanLv2_0041.png,False,0,241718,1349934,6702748,0.0,0.0,0.0,0.0,241718,1349934,0.1791,0.0,neutral
HARD-DouBanLv2-0041,DouBanLv2,0041,P11,,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/02_trackA_variants/P11_A6A7/最终掩膜/mask_DouBanLv2_0041.png,False,0,241718,1349934,6702748,0.0,0.0,0.0,0.0,241718,1349934,0.1791,0.0,neutral
