model,test_sample,train_samples,epoch,loss,lr,elapsed_sec
DeepLabv3+ lite,KongQueZhuYu,XianKeLai1,1,1.0772338584065437,0.0009996145181203615,0.4380769729614258
DeepLabv3+ lite,KongQueZhuYu,XianKeLai1,10,0.16166305728256702,0.0009619397662556433,3.075730323791504
DeepLabv3+ lite,KongQueZhuYu,XianKeLai1,20,0.06983644794672728,0.0008535533905932737,5.926953554153442
DeepLabv3+ lite,KongQueZhuYu,XianKeLai1,30,0.044779392424970865,0.000691341716182545,8.821849346160889
DeepLabv3+ lite,KongQueZhuYu,XianKeLai1,40,0.03585834987461567,0.0005,11.638405084609985
DeepLabv3+ lite,KongQueZhuYu,XianKeLai1,50,0.031648168340325356,0.0003086582838174553,14.38649320602417
DeepLabv3+ lite,KongQueZhuYu,XianKeLai1,60,0.029499951284378767,0.00014644660940672636,17.365047931671143
DeepLabv3+ lite,KongQueZhuYu,XianKeLai1,70,0.02828100579790771,3.806023374435665e-05,20.195391416549683
DeepLabv3+ lite,KongQueZhuYu,XianKeLai1,80,0.02872221847064793,0.0,22.965933561325073
DeepLabv3+ lite,XianKeLai1,KongQueZhuYu,1,0.6463691689074039,0.0009996145181203615,1.3694987297058105
DeepLabv3+ lite,XianKeLai1,KongQueZhuYu,10,0.07324303593486547,0.0009619397662556433,13.94381332397461
DeepLabv3+ lite,XianKeLai1,KongQueZhuYu,20,0.036726820608600975,0.0008535533905932737,27.744614839553833
DeepLabv3+ lite,XianKeLai1,KongQueZhuYu,30,0.026346978405490516,0.000691341716182545,41.34471845626831
DeepLabv3+ lite,XianKeLai1,KongQueZhuYu,40,0.023112912429496646,0.0005,54.783406496047974
DeepLabv3+ lite,XianKeLai1,KongQueZhuYu,50,0.020434464560821652,0.0003086582838174553,68.04648399353027
DeepLabv3+ lite,XianKeLai1,KongQueZhuYu,60,0.017938853381201623,0.00014644660940672636,81.75172305107117
DeepLabv3+ lite,XianKeLai1,KongQueZhuYu,70,0.016899838880635797,3.806023374435665e-05,94.39203429222107
DeepLabv3+ lite,XianKeLai1,KongQueZhuYu,80,0.01688865872565657,0.0,108.15511441230774
