setting,setting_name,samples,frames,aggregation,f1,miou,hd95_px,boundary_f1,leakage_energy,precision,recall,iou_fg,temporal_iou,area_cv,component_count_mean,outside_nonblack_ratio,f1_std,miou_std,hd95_px_std,boundary_f1_std,leakage_energy_std,source_stage,status,notes
A0,SAM3单提示词P2,4,20,sample_equal_mean,0.9664255563893045,0.9597262143337336,193.71147222518923,0.40507095889394934,0.002271779755015432,0.9900484809429091,0.9443605251714291,0.935282900930182,0.39220275930645854,0.21786931249912864,1.0,0.0030455637688431413,0.013667799865213897,0.012397262524980713,205.54986238550046,0.039273261536837654,0.0021161550204014264,候选掩膜/P2_整株去花盆,已评估,单提示词 P2 基线；复用四样本代表集 SAM3_P2 候选掩膜。
A1,旧多提示词选择,4,20,sample_equal_mean,0.8429236453172854,0.8533112666514975,1008.9038223366607,0.3213656449186996,0.0020347041377314816,0.9906976147813542,0.7576293663379905,0.7505453157244732,0.2851763109692284,0.5533188007107062,0.8,0.0027658231272271435,0.14995444509996134,0.12736973408136332,1066.6771564449755,0.08684064093101673,0.0023064966644647765,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/e3_multisample_ablation_masks/A1_old_replayed,已评估-离线重放,由 RAP-FSAM3-v2 提示词评分离线重放旧 A1：old_score = 总分 - 语义门控总修正，并复制被选候选掩膜。
A1s,语义门控多提示词选择,4,20,sample_equal_mean,0.9664255563893045,0.9597262143337336,193.71147222518923,0.40507095889394934,0.002271779755015432,0.9900484809429091,0.9443605251714291,0.935282900930182,0.39220275930645854,0.21786931249912864,1.0,0.0030455637688431413,0.013667799865213897,0.012397262524980713,205.54986238550046,0.039273261536837654,0.0021161550204014264,选择后掩膜,已评估,复用 RAP-FSAM3-v2 四样本运行的语义门控选择后掩膜。
A2,A1s+结构化正负提示,4,20,sample_equal_mean,0.9680722673620985,0.9617532966569721,190.70053358078005,0.4675264194916495,0.0015588348765432098,0.9919717310156374,0.9456207614818306,0.938414329654245,0.3960278535563443,0.20849166306461264,1.0,0.0020207249764501306,0.014728752940688974,0.014645232441620238,206.36241910130525,0.028571705389193566,0.000717967742041818,正负提示细化掩膜,已评估,复用 RAP-FSAM3-v2 四样本运行的 SPNP/结构化正负提示细化掩膜。
A5c,完整RAP-FSAM3-v2,4,20,sample_equal_mean,0.9676619299862943,0.961313348491487,183.416201210022,0.4642562384361621,0.0017390166859567904,0.9906526986353443,0.9459975744063354,0.9376704916026892,0.39618692511846026,0.20853229534357676,1.0,0.00223793813406902,0.015393681672868692,0.015288462480670112,192.6635875006555,0.02348346504601262,0.0005916160484785056,最终掩膜,已评估,复用 RAP-FSAM3-v2 四样本运行的最终掩膜，包含重建一致性修正。
