setting,setting_name,sample,frame_id,frame,status,precision,recall,f1,miou,iou_fg,hd95_px,boundary_f1,area_ratio,component_count,temporal_iou,outside_nonblack_ratio,leakage_energy,mask_path,gt_path
A2,A1s+结构化正负提示,CaoMei1,0025,CaoMei1_0025,ok,0.9957158616914079,0.9159824983607001,0.9541864152926435,0.9489750975540808,0.9123867094914889,798.0875854492188,0.5548235508106437,0.13125325520833334,1,0.4493321068736273,0.00065588819975002,0.0005623070987654321,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/CaoMei1/正负提示细化掩膜/mask_0025.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_CaoMei1_0025.png
A2,A1s+结构化正负提示,CaoMei1,0050,CaoMei1_0050,ok,0.9888725030164901,0.9508789872416861,0.9695036595170445,0.967669601309178,0.9408123264782038,49.6600341796875,0.4860147732453466,0.08093532986111111,1,0.5869244731296813,0.0009833777564690657,0.0009006076388888889,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/CaoMei1/正负提示细化掩膜/mask_0050.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_CaoMei1_0050.png
A2,A1s+结构化正负提示,CaoMei1,0075,CaoMei1_0075,ok,0.993302672847089,0.9147993128630745,0.9524360955448402,0.9495044481113077,0.9091914025428398,640.2330932617188,0.49692977678685135,0.09314079378858024,1,0.08476342452559439,0.0006939790011665125,0.0006237943672839506,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/CaoMei1/正负提示细化掩膜/mask_0075.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_CaoMei1_0075.png
A2,A1s+结构化正负提示,CaoMei1,0100,CaoMei1_0100,ok,0.99603835540668,0.9031451849093255,0.9473199673169739,0.942632891796784,0.8999125450327816,551.987548828125,0.4762137093027585,0.1168308738425926,1,0.07735062614905341,0.0005312989616073876,0.000462842399691358,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/CaoMei1/正负提示细化掩膜/mask_0100.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_CaoMei1_0100.png
A5c,完整RAP-FSAM3-v2,KongQueZhuYu,0000,KongQueZhuYu_0000,ok,0.9926868667039237,0.9635161707857894,0.9778840235554409,0.9717290097321665,0.9567251134817603,11.90939998626709,0.47116679370536907,0.22846100983796297,1,,0.0021850865086439266,0.0016707658179012346,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/KongQueZhuYu/最终掩膜/mask_0000.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_KongQueZhuYu_0000.png
A5c,完整RAP-FSAM3-v2,KongQueZhuYu,0025,KongQueZhuYu_0025,ok,0.9951649155820396,0.9851872192935278,0.9901509319021705,0.9850238866962007,0.9804939799243834,12.288599967956543,0.4958200175587316,0.3459743923611111,1,0.3959305110592537,0.0025714983096684443,0.0016728153935185186,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/KongQueZhuYu/最终掩膜/mask_0025.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_KongQueZhuYu_0025.png
A5c,完整RAP-FSAM3-v2,KongQueZhuYu,0050,KongQueZhuYu_0050,ok,0.9933015623918211,0.9663979269672354,0.9796650720797268,0.9739288133841768,0.9601406805474718,59.93295669555664,0.4157907177508395,0.22986159336419754,1,0.6079926041041027,0.002016019867527715,0.0015397135416666667,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/KongQueZhuYu/最终掩膜/mask_0050.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_KongQueZhuYu_0050.png
A5c,完整RAP-FSAM3-v2,KongQueZhuYu,0075,KongQueZhuYu_0075,ok,0.9948422918907539,0.9543154003921657,0.9741575285279489,0.9657167813924177,0.9496170763236815,286.86053466796875,0.30984652232690174,0.2565679253472222,1,0.3091110555910668,0.001806466478493075,0.0013233024691358024,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/KongQueZhuYu/最终掩膜/mask_0075.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_KongQueZhuYu_0075.png
A5c,完整RAP-FSAM3-v2,KongQueZhuYu,0100,KongQueZhuYu_0100,ok,0.9963207419006259,0.9731361537896559,0.9845919825264402,0.9784608930445879,0.9696515741289959,47.78824996948242,0.467412535496558,0.29019663869598766,1,0.33804221054050887,0.0015190272050980035,0.0010677083333333333,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/KongQueZhuYu/最终掩膜/mask_0100.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_KongQueZhuYu_0100.png
A5c,完整RAP-FSAM3-v2,DouBanLv1,0000,DouBanLv1_0000,ok,0.9958437136037688,0.9518107412487995,0.9733294741801725,0.9658429584150862,0.9480446255169732,319.9245300292969,0.5559991521531035,0.23084129050925925,1,,0.0012649551781777906,0.0009594425154320987,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/DouBanLv1/最终掩膜/mask_0000.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_DouBanLv1_0000.png
A5c,完整RAP-FSAM3-v2,DouBanLv1,0025,DouBanLv1_0025,ok,0.9851913783026811,0.9636501918551531,0.9743017341717852,0.969832265453549,0.9498911781673641,81.98706817626953,0.5040946033020206,0.16482313368055557,1,0.42858032121084166,0.002935448693011225,0.0024408034336419753,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/DouBanLv1/最终掩膜/mask_0025.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_DouBanLv1_0025.png
A5c,完整RAP-FSAM3-v2,DouBanLv1,0050,DouBanLv1_0050,ok,0.9894405648924677,0.98289972285071,0.9861592982241919,0.9846646831743939,0.9726964961032534,10.919300079345703,0.5172613284831938,0.10825014467592593,1,0.40577758220151156,0.001282853588127008,0.0011430603780864198,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/DouBanLv1/最终掩膜/mask_0050.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_DouBanLv1_0050.png
A5c,完整RAP-FSAM3-v2,DouBanLv1,0075,DouBanLv1_0075,ok,0.987390322111572,0.9659730705998472,0.9765642838291854,0.9725699669759043,0.9542018794135905,31.513944625854492,0.4430154767848228,0.16084755979938273,1,0.3201609268554083,0.0024273210472960396,0.0020282359182098764,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/DouBanLv1/最终掩膜/mask_0075.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_DouBanLv1_0075.png
A5c,完整RAP-FSAM3-v2,DouBanLv1,0100,DouBanLv1_0100,ok,0.9777649099915643,0.9633861087323611,0.9705222548949848,0.9677625709298225,0.9427326229339551,62.60303497314453,0.4105840818540678,0.1084766830632716,1,0.4053352692830087,0.002710391314608882,0.002411988811728395,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/DouBanLv1/最终掩膜/mask_0100.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_DouBanLv1_0100.png
A5c,完整RAP-FSAM3-v2,ChangShouHua2,0000,ChangShouHua2_0000,ok,0.9921375390635374,0.9559623404907965,0.9737140624934836,0.9606173479605093,0.9487746318138565,90.74465942382812,0.4509758798790901,0.34046163676697533,1,,0.00413956040452583,0.0026768663194444444,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/ChangShouHua2/最终掩膜/mask_0000.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_ChangShouHua2_0000.png
A5c,完整RAP-FSAM3-v2,ChangShouHua2,0025,ChangShouHua2_0025,ok,0.9895506872521465,0.9698716981132075,0.9796123720770682,0.973718656694824,0.9600394450794505,25.244298934936523,0.48993499249511296,0.23485423900462962,1,0.5410157095182643,0.0032274175902582886,0.0024540653935185186,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/ChangShouHua2/最终掩膜/mask_0025.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_ChangShouHua2_0025.png
A5c,完整RAP-FSAM3-v2,ChangShouHua2,0050,ChangShouHua2_0050,ok,0.9871812843062031,0.9837459441443738,0.9854606203141341,0.9821272016711255,0.9713379687827045,15.062299728393555,0.4647908991279237,0.19609953703703703,1,0.5185978695039294,0.0031296005879146082,0.002513744212962963,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/ChangShouHua2/最终掩膜/mask_0050.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_ChangShouHua2_0050.png
A5c,完整RAP-FSAM3-v2,ChangShouHua2,0075,ChangShouHua2_0075,ok,0.987614466278047,0.9644808884031222,0.9759106034973393,0.9692884876767505,0.9529545045873382,58.7879524230957,0.48682933641436965,0.2283740837191358,1,0.43777776961033543,0.0036918898334156866,0.002828534915123457,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/ChangShouHua2/最终掩膜/mask_0075.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_ChangShouHua2_0075.png
A5c,完整RAP-FSAM3-v2,ChangShouHua2,0100,ChangShouHua2_0100,ok,0.9922694198027996,0.87191286576437,0.928205873566042,0.9022608581374426,0.8660300058317555,192.8224334716797,0.42289230297569796,0.28671006944444444,1,0.43202567803376407,0.0032898792726689663,0.002216435185185185,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/ChangShouHua2/最终掩膜/mask_0100.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_ChangShouHua2_0100.png
A5c,完整RAP-FSAM3-v2,CaoMei1,0000,CaoMei1_0000,ok,0.9864794409111078,0.8719554843770427,0.9256887578070784,0.9189757765739839,0.8616578896796521,414.6401062011719,0.4426490616244388,0.13042052469135804,1,,0.0020685773121223777,0.001763358410493827,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/CaoMei1/最终掩膜/mask_0000.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_CaoMei1_0000.png
A5c,完整RAP-FSAM3-v2,CaoMei1,0025,CaoMei1_0025,ok,0.9915014138407374,0.916430348342786,0.9524889768893421,0.9471406329100562,0.9092877839708634,717.518798828125,0.5346925672940841,0.13187560281635802,1,0.4520121442115106,0.0013072763089357173,0.0011207561728395063,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/CaoMei1/最终掩膜/mask_0025.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_CaoMei1_0025.png
A5c,完整RAP-FSAM3-v2,CaoMei1,0050,CaoMei1_0050,ok,0.9811600560693274,0.951486321374294,0.9660953843647829,0.9641519577257683,0.9344144225250672,47.209327697753906,0.4536532170119956,0.0816236255787037,1,0.5833705888033305,0.0016791142280807138,0.0015377845293209876,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/CaoMei1/最终掩膜/mask_0050.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_CaoMei1_0050.png
A5c,完整RAP-FSAM3-v2,CaoMei1,0075,CaoMei1_0075,ok,0.9914109209171845,0.9150568103924095,0.9517048730318731,0.9487547373324828,0.9078596747696315,635.318603515625,0.4839201652917312,0.0933447868441358,1,0.08533347692188036,0.0008919521371776783,0.0008017457561728395,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/CaoMei1/最终掩膜/mask_0075.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_CaoMei1_0075.png
A5c,完整RAP-FSAM3-v2,CaoMei1,0100,CaoMei1_0100,ok,0.9947937595176423,0.903435253430996,0.9469160423855686,0.9422065393921033,0.8991838072727205,545.2479248046875,0.4637951171931906,0.11701461226851852,1,0.07792708444664653,0.0006993106676223313,0.0006092062114197531,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/CaoMei1/最终掩膜/mask_0100.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_CaoMei1_0100.png
