sample,frame_id,frame,selected_prompt_old_a1,old_a1_score,semantic_gate_total_correction,a1s_total_score,candidate_mask,replayed_mask
ChangShouHua2,0000,ChangShouHua2_0000,P2,0.9116269656408367,0.6026679465520701,1.5142949121929068,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/ChangShouHua2/候选掩膜/P2_整株去花盆/mask_0000.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/e3_multisample_ablation_masks/A1_old_replayed/mask_ChangShouHua2_0000.png
ChangShouHua2,0025,ChangShouHua2_0025,P2,0.6538728535392201,0.4625653261462558,1.1164381796854759,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/ChangShouHua2/候选掩膜/P2_整株去花盆/mask_0025.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/e3_multisample_ablation_masks/A1_old_replayed/mask_ChangShouHua2_0025.png
ChangShouHua2,0050,ChangShouHua2_0050,P2,0.7379686141744866,0.6018205628328384,1.339789177007325,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/ChangShouHua2/候选掩膜/P2_整株去花盆/mask_0050.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/e3_multisample_ablation_masks/A1_old_replayed/mask_ChangShouHua2_0050.png
ChangShouHua2,0075,ChangShouHua2_0075,P2,0.6071867775190972,0.48950002291932415,1.0966868004384214,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/ChangShouHua2/候选掩膜/P2_整株去花盆/mask_0075.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/e3_multisample_ablation_masks/A1_old_replayed/mask_ChangShouHua2_0075.png
ChangShouHua2,0100,ChangShouHua2_0100,P2,0.7681346283324797,0.4317559079346464,1.1998905362671262,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/ChangShouHua2/候选掩膜/P2_整株去花盆/mask_0100.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/e3_multisample_ablation_masks/A1_old_replayed/mask_ChangShouHua2_0100.png
CaoMei1,0000,CaoMei1_0000,P2,0.6511020521214667,0.4037836697753202,1.0548857218967869,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/CaoMei1/候选掩膜/P2_整株去花盆/mask_0000.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/e3_multisample_ablation_masks/A1_old_replayed/mask_CaoMei1_0000.png
CaoMei1,0025,CaoMei1_0025,P2,0.68669687417325,0.05305274094265596,0.739749615115906,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/CaoMei1/候选掩膜/P2_整株去花盆/mask_0025.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/e3_multisample_ablation_masks/A1_old_replayed/mask_CaoMei1_0025.png
CaoMei1,0050,CaoMei1_0050,P2,0.5427458716234899,0.0826619714005081,0.625407843023998,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/CaoMei1/候选掩膜/P2_整株去花盆/mask_0050.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/e3_multisample_ablation_masks/A1_old_replayed/mask_CaoMei1_0050.png
CaoMei1,0075,CaoMei1_0075,P4,0.5904761904761905,0.0,0.5904761904761905,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/CaoMei1/候选掩膜/P4_作物幼苗/mask_0075.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/e3_multisample_ablation_masks/A1_old_replayed/mask_CaoMei1_0075.png
CaoMei1,0100,CaoMei1_0100,P5,0.5904761904761905,0.0,0.5904761904761905,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/rap_runs/RAP-FSAM3-v2/CaoMei1/候选掩膜/P5_去背景植物体/mask_0100.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/e3_multisample_ablation_masks/A1_old_replayed/mask_CaoMei1_0100.png
