图像,提示词编号,提示词文本,总分,面积得分,连通域得分,边界得分,时序得分,前背景对比得分,下方泄漏得分,侧边泄漏得分,语义门控启用,语义门控总修正,目标框得分,垂直覆盖得分,花盆重叠惩罚,侧边干扰惩罚,中心先验得分,面积比例,连通域数量,边界密度,时序IoU,前背景对比,下方区域占比,侧边区域占比,SAM3原始分数
0025.jpg,P2,entire plant excluding pot,0.6777968032747228,0.05860504326847937,1.0,0.8303789731051345,0.5,1.0,1.0,0.03695826332414813,0,0.0,0.0,0.0,0.0,0.0,0.0,0.033148992091049385,1,6.240015137410788,0.5,0.3540119230747223,0.0,0.1082301937436125,0.664062;0.957031
0025.jpg,P2,entire plant excluding pot,0.750847489002217,0.30038842739099847,1.0,1.0,0.5,0.9538490176200867,0.7315187660668381,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.12865342881944444,1,7.688236110131157,0.5,0.23846225440502167,0.027340378576388595,0.0,0.664062;0.957031
