image_name,foreground_ratio,largest_component_ratio,hole_ratio,boundary_ratio,area_score,hole_score,boundary_score,temporal_score,mask_score,accepted,accept_rule
crop_0012,0.18992030767746915,0.9632407040034513,0.007389186015135523,0.009544994212961812,0.5426294505070548,0.5701977014541626,0.6635156273841858,1.0,0.7429320591693371,True,threshold_0.450
crop_0017,0.16016939139660494,0.9773234505743075,0.005390253283940575,0.007167727623455925,0.4576268325617284,0.6887834370136261,0.8031397312879562,0.9079386666417122,0.7273139139678793,True,threshold_0.450
crop_0025,0.18831440489969137,0.996515904746938,0.002740155766329542,0.006946252893517681,0.5380411568562611,0.845999225974083,0.8161476105451584,0.8995928093791008,0.7914079429254545,True,threshold_0.450
crop_0061,0.18561921296296297,0.6220420888538438,0.0034099766173009806,0.006965301890431258,0.5303406084656085,0.806262418627739,0.8150288164615631,0.2410566210746765,0.5696428165058653,True,threshold_0.450
crop_0062,0.19109254436728396,0.9936788563764789,0.0026694039992462646,0.006893205054011514,0.5459786981922399,0.8501965403556824,0.8192632794380188,0.24103277921676636,0.695390426233879,True,threshold_0.450
crop_0064,0.18520085841049383,0.9890328292520887,0.004075826915688076,0.007696156442900307,0.5291453097442681,0.7667611688375473,0.772103488445282,0.9760084915906191,0.7816642146922228,True,threshold_0.450
crop_0066,0.17745695891203703,0.9848644506172062,0.0045628130734482715,0.007602961033949701,0.5070198826058201,0.7378709614276886,0.7775771468877792,0.9750942997634411,0.7667546313472526,True,threshold_0.450
crop_0067,0.16554976851851852,0.9817956852045377,0.005348341315058852,0.007466362847221322,0.4729993386243386,0.6912698447704315,0.7855999767780304,0.968340802937746,0.743593563474628,True,threshold_0.450
crop_0069,0.1736159336419753,0.963109358072718,0.0031631065803705708,0.006239993248456038,0.4960455246913581,0.8209078758955002,0.8576284199953079,0.9418744295835495,0.7680114806804232,True,threshold_0.450
crop_0070,0.1735496238425926,0.9755191074609928,0.002742638017629339,0.006027681327159767,0.49585606812169314,0.8458519577980042,0.8700981438159943,0.9740954767912626,0.7814900691591807,True,threshold_0.450
crop_0071,0.17421115451388888,0.9738660200121013,0.005094890783725212,0.007672767168208952,0.4977461557539683,0.7063056826591492,0.7734772115945816,0.9906259207054973,0.7562259851551736,True,threshold_0.450
crop_0072,0.17469750675154322,0.5850866556564546,0.005402305434530585,0.007652391975307719,0.49913573357583785,0.6880684494972229,0.7746738940477371,0.21748656034469604,0.5204601773996286,True,threshold_0.450
crop_0073,0.16437174479166666,0.5793789630798947,0.006819157012240435,0.007721595293208945,0.46963355654761907,0.6040144264698029,0.7706093788146973,0.9649485610425472,0.6037306031659777,True,threshold_0.450
crop_0074,0.1520387249228395,0.9591680081193279,0.0036183558406721133,0.005711805555554866,0.43439635692239864,0.7939004153013229,0.8886504843831062,0.20593738555908203,0.6294598182527648,True,threshold_0.450
crop_0075,0.14431230709876544,0.5688313294074366,0.004639995187901726,0.005976562499999279,0.4123208774250442,0.7332921624183655,0.8731005042791367,0.19838112592697144,0.4913773072937153,True,threshold_0.450
