image_name,fft_score,is_fft_blurry,fft_kept,exposure_mean,exposure_score,contrast_score,entropy_score,contrast_norm,entropy_norm,raw_score,accepted,accept_rule
crop_0000,0.547973,False,True,0.12197715372485884,0.2439543074497177,1.0473553746832263,2.0003204345703125,0.4323365092277527,0.2781451940536499,0.4100764021462241,False,threshold_0.450
crop_0001,0.545671,False,True,0.12062265340791826,0.24124530681583656,1.0423286902445823,1.9839510917663574,0.4263729751110077,0.27307769656181335,0.40640759569773155,False,threshold_0.450
crop_0002,0.49818,False,True,0.11796443530941005,0.23592887061882006,1.0327464044302617,1.940811038017273,0.41500481963157654,0.2597227692604065,0.3814032919021606,False,threshold_0.450
crop_0003,0.439454,False,True,0.11479584839800468,0.22959169679600933,1.022338697941276,1.887312889099121,0.4026574194431305,0.24316126108169556,0.3508636754641671,False,threshold_0.450
crop_0004,0.527083,False,True,0.11375974633168993,0.2275194926633799,1.019589848701484,1.8854069709777832,0.39939627051353455,0.24257124960422516,0.38473060255622793,False,threshold_0.450
crop_0005,0.434176,False,True,0.11156867722489426,0.22313735444978855,1.0140720389423294,1.8344535827636719,0.3928500711917877,0.22679753601551056,0.3422273923314174,False,threshold_0.450
crop_0006,0.484178,False,True,0.10950782933320832,0.2190156586664167,1.0088399892768687,1.797447919845581,0.38664284348487854,0.21534162759780884,0.3578712259498208,False,threshold_0.450
crop_0007,0.512787,False,True,0.10908707887815731,0.21817415775631466,1.0102088644142102,1.7789950370788574,0.3882668614387512,0.2096291482448578,0.3683288334879848,False,threshold_0.450
crop_0008,0.3134,False,True,0.1160676524603276,0.23213530492065515,1.0415737593090637,1.8402451276779175,0.4254773259162903,0.22859042882919312,0.30260061193322774,False,threshold_0.450
crop_0009,0.344196,False,True,0.12427879929304492,0.24855759858608983,1.0719223148071422,1.9510822296142578,0.4614819884300232,0.2629024386405945,0.3322668051313415,False,threshold_0.450
crop_0010,0.40346,False,True,0.13555278452372516,0.2711055690474503,1.1132083964272557,2.0873827934265137,0.5104626417160034,0.30509719252586365,0.37871708065786347,False,threshold_0.450
crop_0011,0.459444,False,True,0.14673815174270094,0.2934763034854019,1.1488068612657238,2.2252259254455566,0.552695631980896,0.34776949882507324,0.42256588685827423,False,threshold_0.450
crop_0012,0.597281,False,True,0.14061508412211296,0.281230168244226,1.1221790700167185,2.2065186500549316,0.521105170249939,0.3419782817363739,0.46777512404610777,True,threshold_0.450
crop_0013,0.518437,False,True,0.13431900529766036,0.2686380105953208,1.103896740494504,2.0932579040527344,0.4994155466556549,0.3069159686565399,0.42236870518150316,False,threshold_0.450
crop_0014,0.519063,False,True,0.13571104901906628,0.27142209803813255,1.1130960671669827,2.0790202617645264,0.5103294253349304,0.3025084137916565,0.42447718743294394,False,threshold_0.450
crop_0015,0.498156,False,True,0.13425198746081932,0.2685039749216387,1.1102834272546132,2.033754825592041,0.5069924592971802,0.2884955108165741,0.4120607890070786,False,threshold_0.450
crop_0016,0.583261,False,True,0.12548919378514392,0.2509783875702878,1.0756611986260687,1.94533109664917,0.4659176766872406,0.26112204790115356,0.4289080224317364,False,threshold_0.450
crop_0017,0.681415,False,True,0.11754034160506414,0.23508068321012832,1.0451517879914383,1.8530569076538086,0.42972224950790405,0.23255659639835358,0.45203790582327724,True,threshold_0.450
crop_0018,0.668214,False,True,0.11002964298218178,0.22005928596436353,1.0134902057682809,1.7579399347305298,0.39215975999832153,0.20311108231544495,0.430351625655626,False,threshold_0.450
crop_0019,0.654655,False,True,0.1094804704747167,0.2189609409494334,1.014658969868804,1.7164108753204346,0.39354631304740906,0.19025486707687378,0.42241442421474323,False,threshold_0.450
crop_0020,0.643855,False,True,0.11598216399866927,0.23196432799733857,1.0441167305781403,1.7957473993301392,0.4284942150115967,0.2148151993751526,0.43259674847681756,False,threshold_0.450
crop_0021,0.44652,False,True,0.12476270785522538,0.24952541571045073,1.0774468451324466,1.8780876398086548,0.46803611516952515,0.24030539393424988,0.37018138496284514,False,threshold_0.450
crop_0022,0.456109,False,True,0.13787208827015413,0.27574417654030825,1.1203153803328032,2.07125186920166,0.5188942551612854,0.3001035153865814,0.40139198941763504,False,threshold_0.450
crop_0023,0.522241,False,True,0.13867977796745412,0.27735955593490824,1.117228416747971,2.087938070297241,0.5152318477630615,0.3052690923213959,0.4284684992038731,False,threshold_0.450
crop_0025,0.589379,False,True,0.14136128733693093,0.28272257467386186,1.1242774289382342,2.1472597122192383,0.5235946774482727,0.3236334025859833,0.4617417309416236,True,threshold_0.450
crop_0028,0.538955,False,True,0.11367334125115823,0.2273466825023165,1.0256406679790864,1.839648723602295,0.4065748155117035,0.22840580344200134,0.3880474602912043,False,threshold_0.450
crop_0029,0.442038,False,True,0.11161878604782917,0.2232375720956583,1.0184184598862738,1.786710500717163,0.39800646901130676,0.21201764047145844,0.3434675363156847,False,threshold_0.450
crop_0030,0.349203,False,True,0.11774913891433261,0.23549827782866517,1.0429556695847129,1.8687903881072998,0.427116721868515,0.237427219748497,0.31968964388913546,False,threshold_0.450
crop_0031,0.345135,False,True,0.12750168674545137,0.25500337349090274,1.079598572476116,2.000084400177002,0.4705888628959656,0.2780721187591553,0.33878687102920474,False,threshold_0.450
crop_0032,0.245502,True,True,0.1369764406435672,0.27395288128713435,1.1140211257703876,2.115185499191284,0.5114269256591797,0.31370413303375244,0.3180175879960133,False,threshold_0.450
crop_0033,0.158251,True,False,0.1374245796510829,0.2748491593021658,1.0938888783715834,2.254364252090454,0.4875425100326538,0.3567899167537689,0.2871367172177177,False,threshold_0.450
