图像,重提示分数,IoU下降,面积变化,SSIM下降,边界变化,是否标记
0000.jpg,0.0,0.0,0.0,0.0,0.0,0
0001.jpg,0.07816997879990381,0.05699870071955204,0.01011595309230181,0.21982335823599175,0.004904038106581453,0
0002.jpg,0.10737317741872265,0.10940587010305614,0.022787407060725687,0.2498461075397319,0.006151628216923972,0
0003.jpg,0.12235204922593768,0.15338195660876242,0.029181641859379683,0.24374892128960268,0.002904824170834953,0
0004.jpg,0.16319037719099613,0.20004377507547044,0.02913801754125336,0.26106811679376585,0.13749014887217784,0
0005.jpg,0.14419468089213147,0.19653116609882604,0.028156814909181434,0.266626514373583,0.011419602912341696,0
0006.jpg,0.1420723402022296,0.19827794013688727,0.023797481516140747,0.2610060884893064,0.00982779101971513,0
0007.jpg,0.09322947411647499,0.06764102302236963,0.013469232799985966,0.26261011046528815,0.0035685349488472217,0
0008.jpg,0.14843378020282974,0.14629833839273676,0.05605078742252436,0.2455483353191128,0.1455305405330841,0
0009.jpg,0.1682683301759074,0.25101747591973655,0.07119645386963444,0.24236256903140518,0.013483052524931354,0
0010.jpg,0.12725900439925728,0.1270450503036944,0.0868219855134214,0.2429215439668172,0.002382362819364099,0
0011.jpg,0.15606035267627855,0.2049414319900118,0.07783936089603027,0.25748631965942304,0.003329542272740693,0
0012.jpg,0.19892385028560275,0.3067387785717105,0.028041244792897293,0.28537860757825595,0.08806876461810512,0
0013.jpg,0.12118143108129766,0.09619191120386705,0.05118606681348049,0.2572955433393276,0.06929239747828117,0
0014.jpg,0.1365589913363424,0.1904406528029683,0.009068856671551025,0.26096075464976143,0.015982400166502552,0
0015.jpg,0.18872144234107807,0.3141348928614617,0.020906489892278186,0.2605650761936831,0.05604225545384118,0
0016.jpg,0.20692180634519422,0.3504864398875822,0.05920560553655323,0.2592430684573179,0.030929225907151,0
0017.jpg,0.16184339583858562,0.2156867150323738,0.058840942003648485,0.2765247484251442,0.01674415313371069,0
0018.jpg,0.1600899926924519,0.20872753357510065,0.05451308435215944,0.28797637367220075,0.00941994290051082,0
0019.jpg,0.1514282943226286,0.21307826806088592,0.00853229040458756,0.2898466305187256,0.015041135136601616,0
0020.jpg,0.14298876555084747,0.13451871721523645,0.04650611588436949,0.29350694215522444,0.07269300010410809,0
0021.jpg,0.18985431400408376,0.26516526363883586,0.09686018064311186,0.278911110695127,0.020690992639543493,0
0022.jpg,0.23086079273549998,0.35278417761287817,0.15466321990344853,0.27277680002430305,0.003508837260364897,0
0023.jpg,0.1496078294006451,0.1729500286323059,0.006132731242351917,0.2607623010121656,0.1490104087713909,0
