图像,COLMAP图像,后端,接受,原因,注册点数,掩膜内点数,正修正点支撑像素,负修正删除像素,几何修正像素,几何修正像素比例,修正前后IoU,正提示框xyxy,负提示框xyxy
0174.jpg,0174.jpg,colmap_tracks,1,ok,7564,7387,40430,0,14894,0.0017956693672839506,0.993802940669835,"0,169,1655,3365",
0175.jpg,0175.jpg,colmap_tracks,1,ok,6571,6420,36083,0,14342,0.0017291184413580248,0.9939701644645841,"0,66,1643,3347",
0176.jpg,0176.jpg,colmap_tracks,1,ok,6706,6533,39054,0,15905,0.0019175588348765433,0.993284337072655,"0,85,1754,3328",
0177.jpg,0177.jpg,colmap_tracks,1,ok,6862,6698,38170,0,15255,0.0018391927083333333,0.9935749754665566,"0,80,1618,3313",
0178.jpg,0178.jpg,colmap_tracks,1,ok,2202,2104,25821,0,5515,0.0006649064429012346,0.9977418077576171,"0,183,1783,3374",
0179.jpg,0179.jpg,colmap_tracks,1,ok,1944,1832,29673,0,5799,0.0006991464120370371,0.9981013565854671,"0,0,1989,3835",
0180.jpg,0180.jpg,colmap_tracks,1,ok,4230,4080,37126,0,12975,0.001564308449074074,0.9961886023494659,"0,0,2113,3840",
0181.jpg,0181.jpg,colmap_tracks,1,ok,6399,6216,43525,0,18881,0.0022763551311728394,0.9947384569168489,"0,0,2108,3838",
0182.jpg,0182.jpg,colmap_tracks,1,ok,8646,8403,50021,0,27098,0.003267023533950617,0.9926854148013323,"0,0,2125,3840",
0183.jpg,0183.jpg,colmap_tracks,1,ok,10089,9847,49172,0,26827,0.003234350887345679,0.9930423790618325,"0,0,2139,3182",
0184.jpg,0184.jpg,colmap_tracks,1,ok,10004,9782,47412,0,24903,0.003002387152777778,0.9936530372929616,"0,0,2155,3837",
0185.jpg,0185.jpg,colmap_tracks,1,ok,9092,8868,45654,0,23951,0.0028876109182098767,0.9939648788251181,"0,0,2126,3412",
