图像,选择提示词,选择分数,前景面积比例,恢复细结构像素,A5c接受,A5c原因,A5c修正像素比例,重提示标记,SPNP后端,SPNP接受,SPNP原因,SPNP正框数,SPNP负框数,SPNP细化IoU,几何分数,几何标记
0000.jpg,P2,1.1688098016889006,0.23077136381172839,9,1,ok,0.002482518325617284,1,sam3_if_supported,1,ok,1,9,0.9845964462193222,0.6199811053377421,low
0001.jpg,P2,1.1459752393818037,0.23276945891203704,12,1,ok,0.0021344521604938272,1,sam3_if_supported,1,ok,1,9,0.9820678154820869,0.6151631477927063,low
0002.jpg,P2,1.1700312231906143,0.2326175491898148,8,1,ok,0.002126977237654321,1,sam3_if_supported,1,ok,1,9,0.9777698041539674,0.6260523854069223,low
0003.jpg,P2,1.1625829857818366,0.23025233892746913,13,1,ok,0.0013864776234567902,1,sam3_if_supported,1,ok,1,9,0.987034919277057,0.6415886341620923,low
0004.jpg,P2,1.1140450062382365,0.22847354841820988,11,1,ok,0.0024321228780864197,1,sam3_if_supported,1,ok,1,9,0.9866936619417823,0.5772257747171667,low
0005.jpg,P2,1.124156945713646,0.22352008584104938,4,1,ok,0.0022737027391975307,1,sam3_if_supported,1,ok,1,9,0.9879633423862105,0.5893605870020965,low
0006.jpg,P3,1.1428743628254205,0.23716242283950617,24,1,ok,0.003158154899691358,1,sam3_if_supported,1,ok,1,9,0.9669526620033032,0.5353448275862069,low
0007.jpg,P2,1.2298844903400554,0.2869313030478395,99,1,ok,0.0016301359953703703,0,sam3_if_supported,1,ok,1,9,0.9443435896485931,0.7056037884767167,ok
0008.jpg,P2,1.2453942811315684,0.2605981143904321,45,1,ok,0.0016079523533950616,1,sam3_if_supported,1,ok,1,9,0.813647371721409,0.6440064360418343,low
0009.jpg,P3,1.1434614882301686,0.23999083719135803,19,1,ok,0.001773365162037037,1,sam3_if_supported,1,ok,1,9,0.9301941526658026,0.6044718581341557,low
0010.jpg,P2,1.2209563974379638,0.30205994405864195,28,1,ok,0.0015053530092592592,1,sam3_if_supported,1,ok,1,9,0.9639884539190217,0.6599221789883268,low
0011.jpg,P2,1.149286906082753,0.27985990547839507,17,1,ok,0.002159770447530864,0,sam3_if_supported,1,ok,1,9,0.9872030369560282,0.7598583234946872,ok
0012.jpg,P2,1.1699488270230742,0.3003120177469136,4,1,ok,0.0017467206790123457,0,sam3_if_supported,1,ok,1,9,0.9620556686617099,0.7665841584158416,ok
0013.jpg,P2,1.1714110981662529,0.31694999035493826,6,1,ok,0.0020187114197530863,0,sam3_if_supported,1,ok,1,9,0.9844915053554514,0.7934897484675544,ok
0014.jpg,P2,1.1677276334695497,0.3204761043595679,5,1,ok,0.0018328028549382716,0,sam3_if_supported,1,ok,1,9,0.9931736856800625,0.8351628247347237,ok
0015.jpg,P2,1.1271832797847745,0.3170073784722222,4,1,ok,0.0016060233410493828,0,sam3_if_supported,1,ok,1,9,0.9924557164661241,0.8529660300828122,ok
