图像,重提示分数,IoU下降,面积变化,SSIM下降,边界变化,是否标记,几何分数,几何标记,最终重提示标记
0000.jpg,0.0,0.0,0.0,0.0,0.0,0,0.6199811053377421,low,1
0001.jpg,0.13556097951029586,0.11536498939008555,0.00865833207077969,0.35644466607853176,0.026049891242920422,0,0.6151631477927063,low,1
0002.jpg,0.1324010135683672,0.12260967597910999,0.0006526187882734151,0.35365776975272767,0.006066865602856191,0,0.6260523854069223,low,1
0003.jpg,0.14978861258611487,0.1380307073317174,0.010167806644784479,0.34877325162499884,0.07828400301711962,0,0.6415886341620923,low,1
0004.jpg,0.20559643956362578,0.3081927034769846,0.007725396048287605,0.3803481653878562,0.004737353250968277,0,0.5772257747171667,low,1
0005.jpg,0.1499813556796676,0.15629659646624205,0.021680683000088175,0.34791630694625575,0.019188662865979377,0,0.5893605870020965,low,1
0006.jpg,0.29688220761116174,0.5148209487599361,0.06103405404093391,0.35653467336699296,0.08201795795468281,0,0.5353448275862069,low,1
0007.jpg,0.2539671149597276,0.3187039722207934,0.20985145796901045,0.3475474705835857,0.0204732836286727,0,0.7056037884767167,ok,0
0008.jpg,0.20569120026323923,0.24830526681609244,0.09177523810644278,0.34669669939776937,0.06110915001035888,0,0.6440064360418343,low,1
0009.jpg,0.23926082375527746,0.3414581048990295,0.07907684691916057,0.3449142048513356,0.09168482731995409,0,0.6044718581341557,low,1
0010.jpg,0.27846150942484404,0.32756099529773863,0.25863115272935516,0.3597110799672686,0.061530685976530324,0,0.6599221789883268,low,1
0011.jpg,0.1995518681957299,0.21012476568192817,0.07349547338834495,0.3807581501952211,0.08296529540775675,0,0.7598583234946872,ok,0
0012.jpg,0.16754821448967586,0.10389872388278176,0.07307982268327248,0.39029384212037144,0.10226829953194187,0,0.7665841584158416,ok,0
0013.jpg,0.1556889467493334,0.10926335094021333,0.05540228703749796,0.3933069043025078,0.03512984056838195,0,0.7934897484675544,ok,0
0014.jpg,0.13956446150231902,0.09746765250203049,0.011125143120152538,0.39971504162309823,0.018271579605304317,0,0.8351628247347237,ok,0
0015.jpg,0.14237793392356363,0.1032113670793352,0.010823664666910267,0.4020820265244538,0.02018355098636872,0,0.8529660300828122,ok,0
0016.jpg,0.13185048415481124,0.0719199135195494,0.024695118936512057,0.38119054921457196,0.03471398256798641,0,0.8493632707774799,ok,0
0017.jpg,0.14551988034157873,0.11645326452905669,0.005753663646789393,0.3855471615312597,0.04624020974597736,0,0.8329309512312892,ok,0
0018.jpg,0.14628507641695684,0.08553074736125421,0.04741726917720472,0.3805609274917071,0.062365104488599325,0,0.793469387755102,ok,0
0019.jpg,0.17553317880851524,0.14348147036049408,0.09185835905663026,0.37756832601165113,0.053053286101813084,0,0.7710978342046303,ok,0
0020.jpg,0.21383614464270717,0.21014820552302116,0.07917040014401643,0.39458885120047604,0.14562973249017763,0,0.8525738653670424,ok,0
0021.jpg,0.1815714710704672,0.1805795643014092,0.07086164220848967,0.3912167342229077,0.018993529714164358,0,0.8960918114143921,ok,0
0022.jpg,0.15538463206551137,0.11163626519676728,0.03615308228370767,0.38334382440005577,0.0762514171713464,0,0.9272685818513452,ok,0
0023.jpg,0.14653229400220602,0.12375277135884488,0.016347998523213027,0.3912252391605997,0.008836764037714237,0,0.9364418540105468,ok,0
0024.jpg,0.19393001868204926,0.20930797871444284,0.07262630132365215,0.3798915193223722,0.050285139803254664,0,0.9420010995052226,ok,0
0025.jpg,0.19556113943896802,0.18846816600742666,0.10490702929828688,0.3804635453719022,0.055030917792142746,0,0.9279365841940908,ok,0
0026.jpg,0.17134752723864954,0.14812749940481396,0.08228609194549376,0.38536812803436216,0.0172623163466712,0,0.8771218647073726,ok,0
0027.jpg,0.12796841252456126,0.07801768882154603,0.03210133381495407,0.3553389711537318,0.025347634632324506,0,0.8769822200864968,ok,0
0028.jpg,0.14838489094402607,0.13712123654735608,0.007356170356788382,0.3566786422053636,0.0625583667460898,0,0.835691823899371,ok,0
0029.jpg,0.1655057660201147,0.17187947478499332,0.04082382388239817,0.3466528704386732,0.0565251751006612,0,0.8641451177151679,ok,0
0030.jpg,0.1557976344833458,0.18220988609080768,0.0009946843775969934,0.3528005956271415,0.023835695669190096,0,0.8646684831970936,ok,0
0031.jpg,0.11520864291589637,0.08501817640987386,0.010869112446136826,0.3288717919915245,0.00344703375350131,0,0.8742810188989318,ok,0
0032.jpg,0.12937418013851207,0.08537185839334838,0.007963385679807157,0.3453970533421603,0.07435946630232178,0,0.8881922675026124,ok,0
0033.jpg,0.12962941870443512,0.08563653109123859,0.03972139653818441,0.35522114327969956,0.006139985786870777,0,0.8752289377289377,ok,0
0034.jpg,0.16152920289876,0.13664156875222844,0.05069336407348075,0.39070194139883074,0.02237218311601452,0,0.8559009483667018,ok,0
0035.jpg,0.12309418094357923,0.06712940148922508,0.024566146693833286,0.34422253780716194,0.04934479531401094,0,0.8145306859205776,ok,0
0036.jpg,0.1525187417937302,0.15114863225873154,0.019205496466991198,0.3372775366186902,0.06997308154502548,0,0.7234693877551021,ok,0
0037.jpg,0.17542954196691138,0.20338467171402352,0.044894051113179186,0.35229265148190814,0.0329882081215421,0,0.8728139904610492,ok,0
0038.jpg,0.20823485353507898,0.27643372937035726,0.06791838505735175,0.35228046852998796,0.04288889905746023,0,0.8546137339055794,ok,0
