image,mask_stem,registered_points,inside_mask_points,geometry_score,geometry_flag
0093.jpg,0093,10098,9240,0.9150326797385621,ok
0129.jpg,0129,2129,1966,0.923438233912635,ok
0102.jpg,0102,5780,5525,0.9560477591278768,ok
0098.jpg,0098,8841,8213,0.9289673113901142,ok
0097.jpg,0097,9246,8601,0.9302401038286827,ok
0181.jpg,0181,6399,6302,0.9848413814658541,ok
0106.jpg,0106,4878,4549,0.9325543255432555,ok
0119.jpg,0119,4950,4576,0.9244444444444444,ok
0117.jpg,0117,5774,5398,0.9348804987876689,ok
0105.jpg,0105,5168,4720,0.913312693498452,ok
0109.jpg,0109,5914,5492,0.9286438958403788,ok
0130.jpg,0130,3154,2890,0.9162967660114141,ok
0121.jpg,0121,5461,5072,0.9287676249771104,ok
0114.jpg,0114,7211,6720,0.9319095825821662,ok
0116.jpg,0116,6446,5939,0.92134657151722,ok
0088.jpg,0088,12407,11386,0.9177077456274684,ok
0124.jpg,0124,4060,3860,0.9507389162561576,ok
0123.jpg,0123,5315,5014,0.9433678269049859,ok
0108.jpg,0108,6360,5940,0.9339622641509434,ok
0125.jpg,0125,5198,4857,0.934397845325125,ok
0132.jpg,0132,4993,4602,0.9216903665131184,ok
