# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 158, mean track length: 2
96 -1.9191743534925569 0.0048993041495000444 47.587674036187565 8 9 0 1.3785034791671076 122 4717 129 3013
95 0.78070745446008827 -0.096576132133498638 46.669461829777028 51 51 39 0.062484582121825491 122 4714 129 3025
94 0.78070745446008827 -0.096576132133498638 46.669461829777028 51 51 39 0.062484582121825491 122 4713 129 3024
93 0.47868403577180452 -0.1957441900520504 46.894591745655951 58 57 50 0.56434315694862058 122 4705 129 2655
92 -1.7626981086885487 -0.30790620414584852 47.832023940386165 14 21 0 1.2433330296975702 122 4702 129 3303
91 0.96827264541863589 -0.36751463184558608 46.62933153361454 63 62 46 0.72869354296702649 122 4700 129 3016
90 -5.792008424693976 -7.5640383652553833 38.938244518768272 133 158 66 1.4395886403359079 122 4510 129 2447
89 -5.7024687370303342 -7.9554320996648062 39.610558033854041 192 214 142 0.1354681560253215 122 4507 129 3190
88 -5.9585613263473336 -8.114250803363344 39.56272889694462 192 213 146 0.66067903608271805 122 4501 129 2853
87 -5.9868246837224621 -8.6238143659427333 39.866606617021553 144 173 89 0.2309431888382332 122 4489 129 3169
86 1.6306152221723951 -8.6204023402002061 39.907409216387904 125 149 71 0.2783886998984465 122 4483 129 2450
85 2.9651296847627155 -8.653126530438195 38.634264324211998 75 102 31 0.38513694212802796 122 4471 129 2443
84 -6.8113134133482189 -9.2461544495385102 40.305863870650882 129 158 78 1.2464369612428245 122 4468 129 3157
83 -0.1926335847252246 -8.7048121933529199 37.798896964547069 89 119 22 0.071153522521545276 122 4460 129 2847
82 0.32765065781948305 -8.6501288836429371 37.437054549357612 123 155 72 0.03257499567886589 122 4459 129 2417
81 0.0010959498813306666 -8.7399872874189803 37.682288895257585 143 168 87 0.10841731703148823 122 4456 129 2413
80 5.1046104037244602 -8.6581987425411278 37.55864713378125 143 168 108 0.42883620199939049 122 4450 129 2861
79 -3.1573870578428544 -9.9775313258907854 41.036390167642985 102 135 32 0.30447352527384863 122 4433 129 2379
78 -3.1882604552130194 -10.169073495806856 41.11213377289166 158 187 97 0.27161027573029506 122 4429 129 2813
77 0.41035100768232075 -9.3599677163864499 37.577837019287543 133 161 73 0.64884558525325953 122 4416 129 2393
76 0.30088209892694323 -9.4354948610441198 37.703615747319219 123 146 57 0.42452835277369316 122 4414 129 2389
75 0.51879464896479965 -9.6302035286990524 37.523620747243314 107 138 44 0.43779017555480726 122 4400 129 2374
74 -1.7295494263806181 -11.200638298277312 40.6075189379699 194 216 133 1.2161735359386803 122 4367 129 2781
73 -1.9714273060447445 -11.30250272923776 40.683807145115928 134 164 74 0.11102994053823995 122 4365 129 2778
72 2.3233215110175327 -10.383521028389628 37.451967482280068 130 152 68 1.7068674291584776 122 4355 129 2794
71 -14.678790165548572 -11.70675541313951 40.820934885575724 92 120 45 1.2365122025248529 122 4348 129 2285
70 -0.31086695305417356 -11.865508249509015 39.766562759340196 109 140 47 2.7320903961301837 122 4332 129 2313
69 3.0871078949380815 -11.050803645693819 37.214867235550152 126 148 66 0.50460439803694279 122 4327 129 2328
68 0.097735880605433811 -12.245973699823649 39.277575007810782 125 149 65 0.95518674366287293 122 4311 129 1687
67 0.89425480347571662 -12.463058302635051 38.620138297476913 161 186 102 0.36631402281849895 122 4292 129 2291
66 -8.8012893364780407 -15.197142113770102 45.18087439007828 147 169 97 0.27125342580420969 122 4275 129 2722
148 0.34807487579299073 -12.282918562993379 39.055725557867689 126 155 71 0.45220825497626588 122 5625 129 3565
21 -9.3084683840178162 -5.5050866056504359 40.207239724297906 183 202 140 0.1315674489861732 122 3127 129 1929
20 -0.10045081657742189 -8.7874114160307109 37.773781871277343 109 140 43 0.17012126201336786 122 2927 129 1158
147 -4.7139525873597927 1.3399693766600169 44.978632315525566 3 3 1 0.61205620813684813 122 5602 129 3673
19 -2.8104024155950604 -9.9487885227906769 40.949515927473847 131 150 83 0.30845709258254367 122 2896 129 1131
146 -1.9347623202334734 0.89897458813554587 45.876423620009007 64 63 40 0.011543174891471771 122 5599 129 3771
129 -9.16156393010397 -5.4530819135292408 40.297247312339167 186 202 137 0.41812638243305628 122 5337 129 3450
2 0.66815845529397533 0.72320270983998458 44.82338154770175 96 75 56 0.084148390196429557 122 1519 129 937
128 -9.554555962080288 -5.5624425097363037 40.124264124410089 109 133 70 0.39291460039480641 122 5335 129 3223
1 4.6248696336340283 -9.8158854265999675 39.275861114213207 103 125 79 0.29531650606847398 122 1026 129 626
97 -1.866394427190573 0.44891254276503628 47.255510605353408 21 19 7 0.052160085264427655 122 4726 129 3029
98 -3.794440284748879 0.54770519872935297 46.745828810231494 11 6 0 0.053755252620279775 122 4731 129 3018
56 1.8827131293014063 -0.44738598528209145 46.31575400968913 30 24 1 0.081804409540869122 122 4112 129 3020
115 2.007055855437188 -0.81144079245939438 46.77466199942512 38 32 12 0.31788930370476731 122 5114 129 3307
57 -4.8887001856251224 -0.035597438896252886 47.302217486567251 32 25 6 1.4626316683126803 122 4130 129 2107
116 -1.5938929788009506 -0.49294269401838192 48.086369447562461 155 165 127 0.45056955322115999 122 5127 129 3514
58 -1.1829286436656774 0.47846100047060386 46.696672600295003 18 17 0 0.76790607703777436 122 4145 129 2674
117 2.0604482882508934 -0.19690508012411162 46.108450944713461 11 3 0 1.1033300914059703 122 5130 129 3031
59 -3.9358273042310818 0.66608634036822079 46.962887230961336 71 68 57 0.17591847444476666 122 4148 129 2147
118 2.0139524391694645 0.00055623163183519259 45.459731826140178 145 120 90 0.41374449753398601 122 5132 129 3324
119 -3.4436742620918244 0.58136351318583113 46.887003024224732 9 10 2 0.026470480128904274 122 5144 129 3524
120 -1.5358649318562811 0.96573259152322111 46.168390049994002 0 1 0 0.17012544174742933 122 5147 129 3328
121 -3.1922453517161431 -13.311871127864555 40.039961894342802 219 236 151 0.78987996778441738 122 5212 129 3360
122 1.1135383801214951 -12.439480576316953 38.384648958091347 104 138 52 0.18272125028882474 122 5214 129 3364
123 -1.2717525292046528 -11.315958789403501 40.300330776300619 214 228 177 0.080620301163736974 122 5236 129 3381
124 6.0818215718525988 -8.5055039418681933 37.541632806607865 110 133 63 0.17488986999572492 122 5271 129 3432
125 -0.30542079926547794 -8.5256387705690955 37.771885033805276 186 204 131 0.15879471262747244 122 5275 129 3421
126 -5.966983272314339 -7.5028936114100206 39.036013445281327 176 198 116 0.48406496983364533 122 5304 129 3591
127 -6.2450707631692994 -7.3592689970248033 38.693559454291361 169 191 108 0.27840786621184133 122 5307 129 3594
55 2.2190184806562101 -0.74564585797358562 46.719444019549435 189 183 156 0.097234087950586162 122 4099 129 3012
114 -5.8893417914796231 -8.4075751341029097 39.729053112739287 146 175 86 0.16907048709278361 122 4975 129 3176
54 2.246757382505673 -0.95918880317769462 46.772115677817226 105 100 71 0.11886452188321874 122 4085 129 2638
113 -0.27451305455048292 -8.3861802289800114 37.940228630956007 129 154 60 0.19690252533328143 122 4960 129 2854
53 0.24485038665915615 -1.7300156269133433 37.00701900486402 23 22 0 0.69178673048451489 122 4051 129 840
112 -0.053856250382835834 -8.4771733856840736 37.7867766409205 109 136 39 0.55736316386671003 122 4955 129 3185
52 -9.2666651928426358 -5.595464931010345 40.277513093206352 92 118 57 0.099205455293465972 122 3949 129 2482
111 2.655777166555759 -8.9405555768316471 39.166457786817254 162 182 113 0.14060013004177899 122 4947 129 3188
51 -3.4572260451965224 -9.1219345248576911 41.079637039095573 159 187 89 0.0037823844257263619 122 3823 129 1829
110 0.51913322129508788 -8.5949369325849858 37.361026559463234 73 99 34 0.32504598665543372 122 4945 129 2849
50 -7.1420434267894821 -8.857947933489621 39.841170840403159 154 181 100 0.70326879600386438 122 3822 129 2836
109 -0.28907459553203868 -8.832451768639384 37.957616042554157 201 215 154 0.27080712569276166 122 4941 129 2845
49 -1.0599182115762851 -8.619803624345943 39.00793988033351 91 99 61 0.68227504978552389 122 3820 129 1848
108 -2.8984480053000827 -10.249641529603375 40.967320525615747 172 198 107 0.21326546317978895 122 4925 129 2809
48 -9.3907737299093448 -8.8750585987344035 39.289426078733172 112 140 52 0.18436358732946059 122 3811 129 1781
107 2.6264033121356056 -10.357825197859881 37.053378837148358 121 143 68 0.064779884545058786 122 4876 129 3140
47 -9.713453541161476 -8.9876311210220621 39.282381815130023 144 171 87 0.062932972825871902 122 3804 129 1775
106 -1.1439715573990381 -11.600626080922323 40.347189206092672 182 204 122 0.73024771208560568 122 4868 129 2769
46 -0.086447938142556663 -8.6176596840024118 37.763039025753201 148 173 89 0.067662967865547291 122 3799 129 2421
105 -15.541468401452418 -12.557434825414719 41.09532244921941 198 214 151 0.59689963387893075 122 4857 129 3095
45 -7.8261151941465013 -9.2470664298024712 39.941305742419829 103 135 47 0.48635731989016073 122 3798 129 2375
104 -0.44409328943555298 -12.009882905111491 39.812913417619463 142 167 83 0.015970473303295613 122 4855 129 2755
44 -7.7414799384248703 -9.424323771166387 40.134427489019679 80 111 43 1.0362153359018911 122 3792 129 2371
103 -0.014953432371945219 -12.076891598746432 39.377500661707387 104 130 49 1.0725237542786989 122 4848 129 2752
