sample,frame,oracle_total_pipeline,selected_total_pipeline,selection_margin,driver,driver_weighted_gap,oracle_area,oracle_comp,oracle_edge,oracle_temp,oracle_contrast,oracle_leak,oracle_side,selected_area,selected_comp,selected_edge,selected_temp,selected_contrast,selected_leak,selected_side,oracle_sam_raw,selected_sam_raw,oracle_instance,selected_instance,oracle_f1,selected_f1
DouBanLv2,0039,0.640427,0.678797,0.03837,contrast,-0.160447,0.432511,1.0,1.0,0.5,0.117544,0.228639,1.0,0.065216,1.0,1.0,0.5,1.0,1.0,1.0,0.386719,0.386719,1,0,0.98666,0.0
DouBanLv2,0040,0.645943,0.693336,0.047393,contrast,-0.149321,0.40356,1.0,1.0,0.5,0.178732,0.218809,1.0,0.089261,1.0,0.968231,0.5,1.0,1.0,0.094945,0.960938,0.960938,0,1,0.98816,0.0
DouBanLv2,0041,0.657518,0.719815,0.062297,contrast,-0.133363,0.380115,1.0,1.0,0.5,0.266501,0.198026,1.0,0.048462,1.0,1.0,0.5,1.0,0.506216,0.520383,0.753906,0.753906,3,0,0.986485,0.0
