图像,COLMAP图像,后端,接受,原因,注册点数,掩膜内点数,正修正点支撑像素,负修正删除像素,几何修正像素,几何修正像素比例,修正前后IoU,正提示框xyxy,负提示框xyxy
0000.jpg,crop_0000.png,colmap_tracks,1,ok,3548,3478,13208,0,4525,0.0005455488040123457,0.9969797251116,"559,276,2126,2683",
0001.jpg,crop_0001.png,colmap_tracks,1,ok,3632,3568,12645,0,4640,0.0005594135802469136,0.9968685485520073,"504,318,2119,2697",
0002.jpg,crop_0002.png,colmap_tracks,1,ok,2827,2763,13372,0,4200,0.0005063657407407407,0.9970985017215557,"556,341,2123,2714",
0003.jpg,crop_0003.png,colmap_tracks,1,ok,1965,1911,11300,0,2903,0.0003499951774691358,0.9979321889023435,"543,422,2095,2734",
0004.jpg,crop_0004.png,colmap_tracks,1,ok,3540,3473,14083,0,4284,0.0005164930555555555,0.9969715692276371,"519,491,2045,2733",
0005.jpg,crop_0005.png,colmap_tracks,1,ok,2247,2199,11766,0,3599,0.00043390721450617284,0.9973868177699295,"482,547,1968,2808",
0006.jpg,crop_0006.png,colmap_tracks,1,ok,2151,2103,11358,0,4715,0.000568455825617284,0.9964313718366742,"411,629,1893,2828",
0007.jpg,crop_0007.png,colmap_tracks,1,ok,2693,2640,11762,0,4712,0.0005680941358024691,0.9963807911565953,"388,622,1844,2827",
0008.jpg,crop_0008.png,colmap_tracks,1,ok,936,904,7047,0,2152,0.0002594521604938272,0.9984316663472182,"433,869,1945,2767",
0009.jpg,crop_0009.png,colmap_tracks,1,ok,1164,1121,9919,0,3161,0.0003811005015432099,0.9978469663749412,"482,844,2037,2865",
0010.jpg,crop_0010.png,colmap_tracks,1,ok,1233,1195,9465,0,2864,0.0003452932098765432,0.9981970764184016,"464,573,2103,2857",
0011.jpg,crop_0011.png,colmap_tracks,1,ok,1050,1007,10898,0,2652,0.0003197337962962963,0.9984193172308726,"408,590,2136,3051",
0012.jpg,crop_0012.png,colmap_tracks,1,ok,1667,1611,12086,0,5536,0.0006674382716049383,0.9966866350372784,"500,724,2140,3110",
