图像,重提示分数,IoU下降,面积变化,SSIM下降,边界变化,是否标记,几何分数,几何标记,最终重提示标记
0000.jpg,0.0,0.0,0.0,0.0,0.0,0,0.9867531003382187,ok,0
0001.jpg,0.07922962273686493,0.05387527086209576,0.01099113073752105,0.21982335823599175,0.017797704611688073,0,0.9887114537444934,ok,0
0002.jpg,0.10482950689076229,0.10246339690695605,0.023089730256502388,0.2498461075397319,0.004889056828460602,0,0.9837283339228865,ok,0
0003.jpg,0.12483055772540258,0.14643862161496302,0.030139658783802457,0.24374892128960268,0.03403263427876167,0,0.9770992366412213,ok,0
0004.jpg,0.14883956044703853,0.19988848673432824,0.007617351663223805,0.26106811679376585,0.0780481531718415,0,0.9864406779661017,ok,0
0005.jpg,0.146873821038275,0.20652010519945885,0.02640050784889508,0.266626514373583,0.008900191085632716,0,0.9839786381842457,ok,0
0006.jpg,0.1607012620408116,0.2116477856376937,0.04066950904993153,0.2610060884893064,0.07470425121872871,0,0.9869827986982799,ok,0
0007.jpg,0.09410427120124318,0.06833491901253919,0.014602992955081332,0.26261011046528815,0.0058918246117473415,0,0.9877460081693279,ok,0
0008.jpg,0.1410479578962533,0.14784741986134997,0.05393097388362917,0.2455483353191128,0.0962102242939689,0,0.9764957264957265,ok,0
0009.jpg,0.1697275979205098,0.2500551417358249,0.06996575464760947,0.24236256903140518,0.02750811595478287,0,0.9750859106529209,ok,0
0010.jpg,0.12667828324321764,0.12552462390199992,0.08198692105293631,0.2429215439668172,0.0101169908171954,0,0.9789132197891321,ok,0
0011.jpg,0.16425321083348848,0.200248064031597,0.056168246008419166,0.25748631965942304,0.10501831336979317,0,0.9685714285714285,ok,0
0012.jpg,0.18818646496720057,0.3123283570204215,0.00414064977267252,0.28537860757825595,0.043278171148806235,0,0.982003599280144,ok,0
0013.jpg,0.24493596662387182,0.26905866750185536,0.23694090706956938,0.2572955433393276,0.18137546930665482,0,0.9699170124481328,ok,0
0014.jpg,0.2528405644528704,0.3115742709902407,0.25424142263943167,0.26096075464976143,0.09992683522658583,0,0.9763313609467456,ok,0
0015.jpg,0.2810562663123566,0.42283081915815235,0.20686901408010297,0.2605650761936831,0.10804638025704515,0,0.9331395348837209,ok,0
0016.jpg,0.22599816476805495,0.3991819019117221,0.06494920631916912,0.2592430684573179,0.03490953603220302,0,0.9430255402750491,ok,0
0017.jpg,0.19114558307849028,0.2713898333746022,0.06913765552599521,0.2765247484251442,0.06495693606396437,0,0.9518348623853211,ok,0
0018.jpg,0.17964791071735461,0.2577568041999264,0.061568703828680876,0.28797637367220075,0.013645065814399686,0,0.9585439838220424,ok,0
0019.jpg,0.17184349525335516,0.26528250268840836,0.019264647821927803,0.2898466305187256,0.011445331514992602,0,0.9546191247974068,ok,0
0020.jpg,0.1562040768302268,0.18300239563081733,0.04400471661899516,0.29350694215522444,0.05183549110590566,0,0.9750566893424036,ok,0
0021.jpg,0.2168199714419273,0.3272908258267313,0.11815044923587491,0.278911110695127,0.02001861613213909,0,0.9713603818615751,ok,0
0022.jpg,0.22619315080186828,0.37108315615556575,0.10977385538582698,0.27277680002430305,0.0045092152992517644,0,0.9707692307692307,ok,0
0023.jpg,0.14734670092988975,0.20174108065829466,0.04197677563660344,0.2607623010121656,0.007017023581962367,0,0.9680451127819549,ok,0
0024.jpg,0.14671493746963643,0.17994312652683475,0.03334709002270578,0.26923532758888835,0.05392825854897169,0,,,0
0025.jpg,0.2404535545506743,0.288243069341228,0.21414590019108262,0.2850755561724001,0.09842077460249206,0,0.9962453066332916,ok,0
0026.jpg,0.13258217456218221,0.13042024504498106,0.04050798728172063,0.2741111858156815,0.055201970147255454,0,,,0
0027.jpg,0.16958072267516733,0.21418566267676387,0.07715697177178049,0.26564577522287725,0.059433693264236885,0,,,0
0028.jpg,0.29100403104052314,0.33380584991502904,0.2657325996266708,0.2633655691975517,0.27931627576138224,0,0.9941690962099126,ok,0
0029.jpg,0.2248657035553797,0.2649965429370488,0.10236958097684759,0.2536466847344835,0.2874189806638657,0,0.927536231884058,ok,0
0030.jpg,0.147925955274529,0.22616699539776464,0.023101021910021703,0.23585537750591035,0.026856046875522507,0,0.9742765273311897,ok,0
0031.jpg,0.22214131676148913,0.18886261824869888,0.1450638312782998,0.2287155564602542,0.4172970229320402,0,0.9866962305986696,ok,0
0032.jpg,0.1574668764839413,0.24683992648886632,0.07425150922193675,0.20976102341967473,0.0004651270162348104,0,0.9952830188679245,ok,0
0033.jpg,0.2604316677806221,0.40465323892092997,0.07409165792309776,0.2352383618851447,0.27647019470824014,0,0.977859778597786,ok,0
0034.jpg,0.27875989002168267,0.3187290733165884,0.009555185232662489,0.23886686891809084,0.7006613388212563,0,0.9808695652173913,ok,0
0035.jpg,0.4073485340146697,0.5452013589702484,0.5580053346606498,0.22143529501120518,0.1444526730474603,0,0.9864406779661017,ok,0
0036.jpg,0.4395519277310484,0.594738713117668,0.5352259144154913,0.22552625500879564,0.27470223855861914,0,0.9810126582278481,ok,0
0037.jpg,0.13769139821212284,0.20446746622262502,0.008350225501679836,0.22709026899051243,0.048451076074373586,0,0.960514233241506,ok,0
0038.jpg,0.14656807972833372,0.23090934492196513,0.0295526375042292,0.21318890863755902,0.03376281646799247,0,0.9445277361319341,ok,0
0039.jpg,0.22106697771985057,0.3432987510828269,0.06530501181952697,0.20806735336507887,0.21712882363139782,0,0.9529702970297029,ok,0
0040.jpg,0.12842979494180193,0.1868009640371947,0.039173339232405936,0.20191313108994802,0.018518932987968518,0,0.957388939256573,ok,0
0041.jpg,0.36333663265539035,0.47351610924831866,0.5372236999192387,0.21434587123610604,0.0647573441976173,0,0.9923809523809524,ok,0
0042.jpg,0.14802095013285466,0.2502954435222777,0.0291759314448058,0.2046711969618582,0.013038418655943011,0,0.9916083916083916,ok,0
0043.jpg,0.15691316097809113,0.30758685765191296,0.002834674723329632,0.190375000169846,0.006368947177517939,0,0.9900332225913622,ok,0
0044.jpg,0.15374159166157975,0.27448801090181596,0.024316071582951456,0.1942501869267348,0.020194821456817467,0,0.9831932773109243,ok,0
